number,value,state,datetime_start,datetime_complete,duration,channels,dilations,ln_blocks,dropout_blocks,dr_p,activation,batch_size,channels_pattern,convs_per_block,dilation_mode,fc_hidden,kernel_size,lr,momentum_sgd,norm,num_blocks,optimizer,pooling,use_weight_norm,weight_decay,wn_on_skip
12,0.2164048865619546,PRUNED,2025-10-09 00:28:33.237072,2025-10-09 00:29:01.887490,0 days 00:00:28.650418,"[768, 768, 768]","[1, 3, 5]",[0],"[0, 2]",0.3,relu,96,uniform,1,linear,512.0,3,0.0002,,minmax,3,RMSprop,last,True,1e-05,True
13,0.178030303030303,PRUNED,2025-10-09 00:29:01.888490,2025-10-09 00:29:12.953309,0 days 00:00:11.064819,[128],[2],[0],[],0.1,gelu,16,increasing,1,linear,512.0,9,0.0001,,L2,1,AdamW,max,True,1e-07,True
14,0.178030303030303,PRUNED,2025-10-09 00:29:12.953309,2025-10-09 00:30:01.423520,0 days 00:00:48.470211,"[896, 768]","[2, 5]",[0],"[0, 1]",0.3,leakyrelu,64,decreasing,2,linear,64.0,7,0.0002,,L2,2,Adam,max,True,5e-07,True
15,0.21875,PRUNED,2025-10-09 00:30:01.424523,2025-10-09 00:30:06.176322,0 days 00:00:04.751799,"[64, 64, 64]","[3, 5, 7]","[0, 2]",[2],0.3,silu,128,uniform,1,linear,,2,0.0002,,minmax,3,RMSprop,last,True,5e-07,True
16,0.2591191847820059,COMPLETE,2025-10-09 00:30:06.176322,2025-10-09 00:31:08.060656,0 days 00:01:01.884334,"[96, 128, 192, 256, 384, 512]","[1, 3, 5, 7, 9, 11]","[0, 4]","[1, 2, 3]",0.1,gelu,64,increasing,3,linear,512.0,3,0.0001,,minmax,6,RMSprop,max,True,5e-07,True
17,0.178030303030303,PRUNED,2025-10-09 00:31:08.062662,2025-10-09 00:31:32.590647,0 days 00:00:24.527985,"[896, 896]","[2, 5]",[0],[0],0.2,leakyrelu,128,uniform,2,linear,512.0,3,0.001,,L2,2,Adam,last,True,1e-07,True
18,0.4032185194623177,COMPLETE,2025-10-09 00:31:32.590647,2025-10-09 00:32:11.824555,0 days 00:00:39.233908,[512],[2],[],[0],0.3,mish,32,increasing,1,linear,512.0,3,0.0002,,minmax,1,AdamW,max,True,2e-06,False
19,0.4303447659235135,COMPLETE,2025-10-09 00:32:11.827460,2025-10-09 00:33:02.749413,0 days 00:00:50.921953,[512],[3],[],[],0.2,mish,32,increasing,2,linear,,7,0.0002,,L2,1,AdamW,last,True,2e-06,False
20,0.178030303030303,PRUNED,2025-10-09 00:33:02.749413,2025-10-09 00:33:24.907023,0 days 00:00:22.157610,[512],[3],[],[0],0.2,mish,32,increasing,3,linear,,7,0.0002,,minmax,1,AdamW,max,True,2e-06,False
21,0.4315012986976601,COMPLETE,2025-10-09 00:33:24.909079,2025-10-09 00:34:35.813604,0 days 00:01:10.904525,[640],[3],[],[],0.3,mish,32,increasing,2,linear,,7,0.0002,,L2,1,AdamW,last,True,2e-06,False
22,0.4282328221722161,COMPLETE,2025-10-09 00:34:35.815610,2025-10-09 00:36:10.712783,0 days 00:01:34.897173,[768],[3],[],[],0.2,mish,32,increasing,2,linear,,7,0.0002,,L2,1,AdamW,last,True,2e-06,False
23,0.2164048865619546,PRUNED,2025-10-09 00:36:10.712783,2025-10-09 00:37:08.610384,0 days 00:00:57.897601,[768],[3],[],[],0.1,mish,32,increasing,2,linear,,7,0.0002,,L2,1,AdamW,last,True,2e-06,False
24,0.21875,PRUNED,2025-10-09 00:37:08.611388,2025-10-09 00:37:36.809697,0 days 00:00:28.198309,[768],[3],[],[],0.2,mish,32,increasing,2,linear,,7,0.0002,,L2,1,AdamW,last,True,2e-06,False
25,0.4104342682031334,COMPLETE,2025-10-09 00:37:36.810700,2025-10-09 00:39:36.253644,0 days 00:01:59.442944,"[512, 640]","[3, 4]",[1],[1],0.2,mish,32,increasing,2,linear,,7,0.0001,,L2,2,AdamW,last,True,2e-06,False
26,0.3202614379084967,PRUNED,2025-10-09 00:39:36.255128,2025-10-09 00:42:28.938404,0 days 00:02:52.683276,[896],[2],[],[],0.1,mish,32,increasing,2,pow2,,7,1e-05,,L2,1,AdamW,last,False,2e-06,False
27,0.2164048865619546,PRUNED,2025-10-09 00:42:28.940845,2025-10-09 00:43:21.279592,0 days 00:00:52.338747,[640],[3],[],[],0.2,relu,32,increasing,2,linear,,7,0.001,,L2,1,AdamW,last,True,1e-05,False
28,0.1179908675799086,PRUNED,2025-10-09 00:43:21.280592,2025-10-09 00:45:18.673878,0 days 00:01:57.393286,"[640, 512]","[3, 4]",[1],[],0.2,mish,32,decreasing,3,linear,,7,0.0005,,L2,2,AdamW,last,True,2e-06,False
29,0.2175904889576118,COMPLETE,2025-10-09 00:45:18.674878,2025-10-09 00:46:13.717123,0 days 00:00:55.042245,"[384, 512]","[3, 4]",[1],[1],0.1,mish,96,increasing,2,linear,128.0,7,0.001,,L2,2,AdamW,mean,False,1e-06,False
30,0.4052973012335737,COMPLETE,2025-10-09 00:46:13.719124,2025-10-09 00:47:58.578002,0 days 00:01:44.858878,[768],[3],[],[],0.2,mish,16,increasing,2,linear,,7,0.0002,,L2,1,AdamW,last,True,2e-06,False
31,0.4157295633810298,COMPLETE,2025-10-09 00:47:58.580003,2025-10-09 00:49:54.933627,0 days 00:01:56.353624,"[512, 640]","[3, 4]",[1],[1],0.2,mish,32,increasing,2,linear,,7,0.0002,,L2,2,AdamW,last,True,2e-06,False
32,0.4445329213826841,COMPLETE,2025-10-09 00:49:54.936131,2025-10-09 00:50:56.278095,0 days 00:01:01.341964,[512],[3],[],[],0.2,mish,32,increasing,2,linear,,7,0.0002,,L2,1,AdamW,last,True,2e-06,False
33,0.4273933835073996,COMPLETE,2025-10-09 00:50:56.280615,2025-10-09 00:52:40.556252,0 days 00:01:44.275637,[640],[3],[],[],0.2,elu,32,increasing,2,linear,,7,0.0002,,L2,1,AdamW,last,True,2e-06,False
34,0.3739661831079984,COMPLETE,2025-10-09 00:52:40.558312,2025-10-09 00:53:16.896711,0 days 00:00:36.338399,[384],[1],[],[],0.3,mish,32,increasing,2,pow2,,2,0.0002,,L2,1,AdamW,attention,False,2e-06,False
35,0.178030303030303,PRUNED,2025-10-09 00:53:16.898714,2025-10-09 00:53:32.063368,0 days 00:00:15.164654,"[256, 384]","[3, 4]",[],[],0.1,prelu,32,increasing,2,linear,256.0,7,1e-05,,L2,2,AdamW,last,True,2e-06,False
36,0.2164048865619546,PRUNED,2025-10-09 00:53:32.064368,2025-10-09 00:54:35.746374,0 days 00:01:03.682006,[768],[3],[],[],0.2,mish,96,increasing,2,linear,64.0,9,0.0005,,L2,1,AdamW,attention,True,0.0,False
37,0.2164048865619546,PRUNED,2025-10-09 00:54:35.747878,2025-10-09 00:55:26.396631,0 days 00:00:50.648753,[640],[2],[],[],0.3,hardswish,32,decreasing,3,pow2,128.0,5,0.0002,,L2,1,AdamW,mean,False,1e-06,False
38,0.4279670094200407,COMPLETE,2025-10-09 00:55:26.396631,2025-10-09 01:01:20.630196,0 days 00:05:54.233565,"[192, 256, 384, 512, 640, 768]","[3, 4, 5, 6, 7, 8]","[1, 4, 5]",[5],0.0,elu,16,increasing,2,linear,,7,0.0002,0.9,L2,6,SGD,last,True,2e-06,False
39,0.2175904889576118,COMPLETE,2025-10-09 01:01:20.632264,2025-10-09 01:02:48.199196,0 days 00:01:27.566932,"[384, 512, 640, 768]","[3, 4, 5, 6]",[],[2],0.2,relu,32,increasing,2,linear,256.0,2,1e-05,,L2,4,AdamW,last,True,1e-05,False
40,0.2164048865619546,PRUNED,2025-10-09 01:02:48.201259,2025-10-09 01:04:33.734097,0 days 00:01:45.532838,"[512, 640]","[2, 4]",[1],[1],0.3,leakyrelu,32,increasing,3,pow2,,7,0.002,,L2,2,AdamW,attention,False,1e-07,False
41,0.178030303030303,PRUNED,2025-10-09 01:04:33.735139,2025-10-09 01:06:36.596944,0 days 00:02:02.861805,"[128, 192, 256, 384, 512, 640]","[3, 4, 5, 6, 7, 8]","[1, 4, 5]",[5],0.0,elu,16,increasing,2,linear,,7,0.0002,0.9,L2,6,SGD,last,True,2e-06,False
42,0.178030303030303,PRUNED,2025-10-09 01:06:36.598056,2025-10-09 01:10:05.213861,0 days 00:03:28.615805,"[256, 384, 512, 640, 768]","[3, 4, 5, 6, 7]","[1, 4]",[],0.0,elu,16,increasing,2,linear,,7,0.0002,0.9,L2,5,SGD,last,True,2e-06,False
43,0.178030303030303,PRUNED,2025-10-09 01:10:05.215653,2025-10-09 01:10:38.262048,0 days 00:00:33.046395,"[192, 256, 384, 512]","[3, 4, 5, 6]",[1],[],0.0,elu,16,increasing,2,linear,,7,0.0002,0.5,L2,4,SGD,last,True,2e-07,False
44,0.178030303030303,PRUNED,2025-10-09 01:10:38.263125,2025-10-09 01:13:04.228517,0 days 00:02:25.965392,"[256, 384, 512, 640, 768]","[3, 4, 5, 6, 7]","[1, 4]",[],0.1,prelu,16,increasing,2,linear,,5,0.0002,0.7000000000000001,L2,5,SGD,last,True,2e-06,False
45,0.2439547232301369,COMPLETE,2025-10-09 01:13:04.229517,2025-10-09 01:16:38.053239,0 days 00:03:33.823722,"[768, 640, 512, 384, 256, 192]","[3, 4, 5, 6, 7, 8]","[1, 3, 4, 5]","[3, 5]",0.2,elu,128,decreasing,2,linear,128.0,7,0.0002,0.3,L2,6,SGD,mean,True,0.0,False
46,0.2777874476384099,COMPLETE,2025-10-09 01:16:38.055752,2025-10-09 01:17:57.937955,0 days 00:01:19.882203,"[128, 192, 256, 384]","[3, 4, 5, 6]",[1],[],0.1,hardswish,16,increasing,2,linear,64.0,9,0.0005,,L2,4,Adam,last,True,2e-06,False
47,0.2590287590935259,COMPLETE,2025-10-09 01:17:57.939968,2025-10-09 01:18:52.833823,0 days 00:00:54.893855,"[192, 256, 384]","[2, 3, 4]",[1],[],0.2,mish,96,increasing,2,linear,,7,0.002,0.7000000000000001,L2,3,SGD,last,True,2e-06,False
48,0.178030303030303,PRUNED,2025-10-09 01:18:52.835890,2025-10-09 01:19:34.779072,0 days 00:00:41.943182,"[512, 512, 512]","[1, 2, 4]",[1],[],0.3,mish,32,uniform,2,pow2,256.0,7,0.0002,,L2,3,RMSprop,last,True,2e-07,False
49,0.3995353622401508,COMPLETE,2025-10-09 01:19:34.780073,2025-10-09 01:21:32.808454,0 days 00:01:58.028381,[896],[3],[],[],0.0,gelu,32,increasing,2,linear,,5,0.0001,,L2,1,AdamW,last,True,1e-06,False
