id,embedding,best_f1_v1_v2,best_f1_v3,difference,f1_per_class_v1_v2_fmt,f1_per_class_v3_fmt,diff_f1_per_class
439,gaitset_GREW.csv,0.53704,0.40877,-0.12827,0.578 / 0.533 / 0.500,0.681 / 0.000 / 0.545,0.103 / -0.533 / 0.045
440,gaitset_OUMVLP.csv,0.46907,0.4846,0.01553,0.636 / 0.333 / 0.438,0.483 / 0.421 / 0.550,-0.154 / 0.088 / 0.113
441,gln_phase1.csv,0.38302,0.37605,-0.00697,0.558 / 0.167 / 0.424,0.583 / 0.222 / 0.323,0.025 / 0.056 / -0.102
442,gln_phase2.csv,0.52519,0.46667,-0.05852,0.513 / 0.533 / 0.529,0.524 / 0.476 / 0.400,0.011 / -0.057 / -0.129
456,baseline_CASIAB.csv,0.51524,0.52072,0.00548,0.694 / 0.333 / 0.519,0.680 / 0.364 / 0.519,-0.014 / 0.030 / 0.000
457,baseline_OUMVLP.csv,0.58123,0.58269,0.00146,0.585 / 0.533 / 0.625,0.683 / 0.444 / 0.621,0.098 / -0.089 / -0.004
458,gaitgl.csv,0.36806,0.4008,0.03274,0.667 / 0.000 / 0.438,0.591 / 0.267 / 0.345,-0.076 / 0.267 / -0.093
459,gaitgl_GREW.csv,0.46834,0.49034,0.022,0.667 / 0.222 / 0.516,0.581 / 0.286 / 0.605,-0.086 / 0.063 / 0.089
460,gaitgl_GREW_BNNeck.csv,0.42593,0.47529,0.04936,0.476 / 0.444 / 0.357,0.486 / 0.333 / 0.606,0.010 / -0.111 / 0.249
461,gaitgl_OUMVLP.csv,0.21538,0.0915,-0.12388,0.646 / 0.000 / 0.000,0.000 / 0.275 / 0.000,-0.646 / 0.275 / 0.000
462,gaitpart_GREW.csv,0.56381,0.5556,-0.00821,0.720 / 0.400 / 0.571,0.650 / 0.429 / 0.588,-0.070 / 0.029 / 0.017
463,gaitpart_OUMVLP.csv,0.21538,0.21538,0.0,0.646 / 0.000 / 0.000,0.646 / 0.000 / 0.000,0.000 / 0.000 / 0.000
464,gaitset.csv,0.43152,0.47074,0.03922,0.486 / 0.444 / 0.364,0.432 / 0.556 / 0.424,-0.054 / 0.111 / 0.061
465,gaitset_GREW.csv,0.62567,0.21538,-0.41029,0.634 / 0.500 / 0.743,0.646 / 0.000 / 0.000,0.012 / -0.500 / -0.743
466,gaitset_OUMVLP.csv,0.21538,0.0915,-0.12388,0.646 / 0.000 / 0.000,0.000 / 0.275 / 0.000,-0.646 / 0.275 / 0.000
467,gln_phase1.csv,0.49046,0.45877,-0.03169,0.625 / 0.364 / 0.483,0.558 / 0.333 / 0.485,-0.067 / -0.030 / 0.002
468,gln_phase2.csv,0.43311,0.4505,0.01739,0.465 / 0.364 / 0.471,0.526 / 0.364 / 0.462,0.061 / 0.000 / -0.009
482,baseline_CASIAB.csv,0.41551,0.44553,0.03002,0.537 / 0.286 / 0.424,0.541 / 0.421 / 0.375,0.004 / 0.135 / -0.049
483,baseline_OUMVLP.csv,0.49238,0.47776,-0.01462,0.537 / 0.400 / 0.541,0.513 / 0.375 / 0.545,-0.024 / -0.025 / 0.005
484,gaitgl.csv,0.49313,0.4505,-0.04263,0.583 / 0.444 / 0.452,0.526 / 0.364 / 0.462,-0.057 / -0.081 / 0.010
485,gaitgl_GREW.csv,0.42839,0.44011,0.01172,0.640 / 0.000 / 0.645,0.591 / 0.200 / 0.529,-0.049 / 0.200 / -0.116
486,gaitgl_GREW_BNNeck.csv,0.21538,0.21538,0.0,0.646 / 0.000 / 0.000,0.646 / 0.000 / 0.000,0.000 / 0.000 / 0.000
487,gaitgl_OUMVLP.csv,0.51608,0.45845,-0.05763,0.667 / 0.250 / 0.632,0.609 / 0.167 / 0.600,-0.058 / -0.083 / -0.032
488,gaitpart_GREW.csv,0.21538,0.0915,-0.12388,0.646 / 0.000 / 0.000,0.000 / 0.275 / 0.000,-0.646 / 0.275 / 0.000
489,gaitpart_OUMVLP.csv,0.65929,0.58632,-0.07297,0.684 / 0.571 / 0.722,0.683 / 0.444 / 0.632,-0.001 / -0.127 / -0.091
490,gaitset.csv,0.42019,0.40961,-0.01058,0.578 / 0.167 / 0.516,0.565 / 0.316 / 0.348,-0.013 / 0.149 / -0.168
491,gaitset_GREW.csv,0.21538,0.37304,0.15766,0.646 / 0.000 / 0.000,0.444 / 0.261 / 0.414,-0.202 / 0.261 / 0.414
492,gaitset_OUMVLP.csv,0.47485,0.46159,-0.01326,0.579 / 0.375 / 0.471,0.723 / 0.143 / 0.519,0.144 / -0.232 / 0.048
493,gln_phase1.csv,0.42179,0.47719,0.0554,0.650 / 0.000 / 0.615,0.632 / 0.200 / 0.600,-0.018 / 0.200 / -0.015
494,gln_phase2.csv,0.51341,0.56131,0.0479,0.565 / 0.600 / 0.375,0.634 / 0.462 / 0.588,0.069 / -0.138 / 0.213
534,baseline_CASIAB.csv,0.50779,0.5675,0.05971,0.638 / 0.333 / 0.552,0.682 / 0.400 / 0.621,0.044 / 0.067 / 0.069
535,baseline_OUMVLP.csv,0.63261,0.64127,0.00866,0.667 / 0.545 / 0.686,0.667 / 0.571 / 0.686,0.000 / 0.026 / 0.000
536,gaitgl.csv,0.37879,0.42442,0.04563,0.591 / 0.182 / 0.364,0.649 / 0.240 / 0.385,0.058 / 0.058 / 0.021
537,gaitgl_GREW.csv,0.54046,0.53524,-0.00522,0.579 / 0.526 / 0.516,0.595 / 0.400 / 0.611,0.016 / -0.126 / 0.095
538,gaitgl_GREW_BNNeck.csv,0.45869,0.44949,-0.0092,0.513 / 0.308 / 0.556,0.500 / 0.364 / 0.485,-0.013 / 0.056 / -0.071
539,gaitgl_OUMVLP.csv,0.21538,0.21538,0.0,0.646 / 0.000 / 0.000,0.646 / 0.000 / 0.000,0.000 / 0.000 / 0.000
540,gaitpart_GREW.csv,0.21538,0.477,0.26162,0.646 / 0.000 / 0.000,0.698 / 0.267 / 0.467,0.052 / 0.267 / 0.467
541,gaitpart_OUMVLP.csv,0.21538,0.17778,-0.0376,0.646 / 0.000 / 0.000,0.000 / 0.000 / 0.533,-0.646 / 0.000 / 0.533
542,gaitset.csv,0.48027,0.52544,0.04517,0.612 / 0.429 / 0.400,0.585 / 0.462 / 0.529,-0.027 / 0.033 / 0.129
