id,embedding,best_f1_v1_v2,best_f1_v3,difference,f1_per_class_v1_v2_fmt,f1_per_class_v3_fmt,diff_f1_per_class
1429,gln_phase1.csv,0.59293,0.71564,0.12271,0.545 / 0.533 / 0.700,0.766 / 0.714 / 0.667,0.221 / 0.181 / -0.033
1430,gln_phase2.csv,0.57335,0.61111,0.03776,0.605 / 0.615 / 0.500,0.682 / 0.545 / 0.606,0.077 / -0.070 / 0.106
1470,baseline_CASIAB.csv,0.4494,0.54228,0.09288,0.585 / 0.250 / 0.513,0.564 / 0.533 / 0.529,-0.021 / 0.283 / 0.017
1471,baseline_OUMVLP.csv,0.59425,0.55235,-0.0419,0.667 / 0.429 / 0.688,0.636 / 0.400 / 0.621,-0.030 / -0.029 / -0.067
1472,gaitgl.csv,0.40864,0.54432,0.13568,0.514 / 0.200 / 0.512,0.600 / 0.462 / 0.571,0.086 / 0.262 / 0.060
1473,gaitgl_GREW.csv,0.44956,0.60388,0.15432,0.558 / 0.250 / 0.541,0.634 / 0.571 / 0.606,0.076 / 0.321 / 0.066
1474,gaitgl_GREW_BNNeck.csv,0.46407,0.47998,0.01591,0.457 / 0.364 / 0.571,0.524 / 0.400 / 0.516,0.067 / 0.036 / -0.055
1475,gaitgl_OUMVLP.csv,0.49283,0.42572,-0.06711,0.667 / 0.167 / 0.645,0.652 / 0.000 / 0.625,-0.014 / -0.167 / -0.020
1476,gaitpart_GREW.csv,0.52142,0.56068,0.03926,0.632 / 0.381 / 0.552,0.615 / 0.400 / 0.667,-0.016 / 0.019 / 0.115
1477,gaitpart_OUMVLP.csv,0.66456,0.6686,0.00404,0.718 / 0.588 / 0.688,0.739 / 0.667 / 0.600,0.021 / 0.078 / -0.088
1478,gaitset.csv,0.44099,0.43865,-0.00234,0.609 / 0.286 / 0.429,0.565 / 0.364 / 0.387,-0.043 / 0.078 / -0.041
1479,gaitset_GREW.csv,0.38357,0.37646,-0.00711,0.612 / 0.154 / 0.385,0.375 / 0.333 / 0.421,-0.237 / 0.179 / 0.036
1480,gaitset_OUMVLP.csv,0.52435,0.50798,-0.01637,0.744 / 0.182 / 0.647,0.696 / 0.222 / 0.606,-0.049 / 0.040 / -0.041
1481,gln_phase1.csv,0.63441,0.64843,0.01402,0.711 / 0.571 / 0.621,0.684 / 0.571 / 0.690,-0.027 / 0.000 / 0.069
1482,gln_phase2.csv,0.57018,0.47944,-0.09074,0.579 / 0.500 / 0.632,0.558 / 0.429 / 0.452,-0.021 / -0.071 / -0.180
1522,baseline_CASIAB.csv,0.49457,0.46,-0.03457,0.653 / 0.250 / 0.581,0.680 / 0.200 / 0.500,0.027 / -0.050 / -0.081
1523,baseline_OUMVLP.csv,0.63471,0.525,-0.10971,0.750 / 0.444 / 0.710,0.667 / 0.375 / 0.533,-0.083 / -0.069 / -0.176
1524,gaitgl.csv,0.43338,0.45287,0.01949,0.524 / 0.250 / 0.526,0.588 / 0.400 / 0.370,0.064 / 0.150 / -0.156
1525,gaitgl_GREW.csv,0.47933,0.47632,-0.00301,0.605 / 0.222 / 0.611,0.579 / 0.200 / 0.650,-0.026 / -0.022 / 0.039
1526,gaitgl_GREW_BNNeck.csv,0.57673,0.48235,-0.09438,0.622 / 0.545 / 0.562,0.578 / 0.222 / 0.647,-0.044 / -0.323 / 0.085
1527,gaitgl_OUMVLP.csv,0.41425,0.48187,0.06762,0.622 / 0.154 / 0.467,0.694 / 0.200 / 0.552,0.072 / 0.046 / 0.085
1528,gaitpart_GREW.csv,0.49392,0.49333,-0.00059,0.634 / 0.333 / 0.514,0.571 / 0.480 / 0.429,-0.063 / 0.147 / -0.086
