id,embedding,best_f1_v1_v2,best_f1_v3,difference,f1_per_class_v1_v2_fmt,f1_per_class_v3_fmt,diff_f1_per_class
226,gaitgl_GREW_BNNeck.csv,0.49558,0.51207,0.01649,0.591 / 0.333 / 0.562,0.622 / 0.333 / 0.581,0.031 / 0.000 / 0.018
227,gaitgl_OUMVLP.csv,0.60714,0.60445,-0.00269,0.750 / 0.500 / 0.571,0.723 / 0.571 / 0.519,-0.027 / 0.071 / -0.053
228,gaitpart_GREW.csv,0.58546,0.53813,-0.04733,0.723 / 0.462 / 0.571,0.744 / 0.308 / 0.562,0.021 / -0.154 / -0.009
229,gaitpart_OUMVLP.csv,0.56795,0.56522,-0.00273,0.681 / 0.333 / 0.690,0.696 / 0.333 / 0.667,0.015 / 0.000 / -0.023
230,gaitset.csv,0.52006,0.54895,0.02889,0.667 / 0.375 / 0.519,0.651 / 0.375 / 0.621,-0.016 / 0.000 / 0.102
231,gaitset_GREW.csv,0.51229,0.57429,0.062,0.651 / 0.200 / 0.686,0.680 / 0.400 / 0.643,0.029 / 0.200 / -0.043
232,gaitset_OUMVLP.csv,0.37937,0.44033,0.06096,0.609 / 0.000 / 0.529,0.605 / 0.154 / 0.562,-0.004 / 0.154 / 0.033
233,gln_phase1.csv,0.59617,0.63132,0.03515,0.682 / 0.462 / 0.645,0.650 / 0.615 / 0.629,-0.032 / 0.154 / -0.017
234,gln_phase2.csv,0.47844,0.49239,0.01395,0.634 / 0.222 / 0.579,0.652 / 0.200 / 0.625,0.018 / -0.022 / 0.046
235,baseline_CASIAB.csv,0.58171,0.48889,-0.09282,0.680 / 0.444 / 0.621,0.667 / 0.200 / 0.600,-0.013 / -0.244 / -0.021
236,baseline_OUMVLP.csv,0.47756,0.58343,0.10587,0.622 / 0.222 / 0.588,0.681 / 0.444 / 0.625,0.059 / 0.222 / 0.037
