number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_do_layer,params_dropout_rate,params_lr,params_n_layers,params_norm,params_norm_layer,params_pca_frac,params_pooling,params_use_pca,params_wd,user_attrs_final_train_loss,state,final_train_loss
10,0.285,2025-08-14 17:18:46.527878,2025-08-14 17:19:06.956148,0 days 00:00:20.428270,tanh,128,32,2,0.2,1e-05,2,L2,2,0.95,mean,True,1e-05,0.9560706998757611,COMPLETE,0.9560706998757611
11,0.4105,2025-08-14 17:19:06.957148,2025-08-14 17:19:15.288806,0 days 00:00:08.331658,tanh,128,128,2,0.3,0.0001,2,L2,2,,mean,False,0.0001,0.4017148093586949,COMPLETE,0.4017148093586949
12,0.3724,2025-08-14 17:19:15.288806,2025-08-14 17:19:35.346799,0 days 00:00:20.057993,tanh,256,32,0,0.2,0.0001,2,L2,2,0.95,mean,True,0.0001,0.07733276347447054,COMPLETE,0.07733276347447054
13,0.394,2025-08-14 17:19:35.353898,2025-08-14 17:19:44.376127,0 days 00:00:09.022229,elu,128,128,2,0.3,0.0001,3,L2,3,,mean,False,0.0001,0.6752885330911618,COMPLETE,0.6752885330911618
14,0.3935,2025-08-14 17:19:44.383179,2025-08-14 17:20:04.914564,0 days 00:00:20.531385,gelu,512,32,1,0.5,0.0001,2,L2,1,0.7,mean,True,0.0001,0.7392923950765677,COMPLETE,0.7392923950765677
15,0.4113,2025-08-14 17:20:04.915564,2025-08-14 17:20:43.488191,0 days 00:00:38.572627,tanh,256,16,0,0.2,1e-05,2,L2,1,,mean,False,0.0001,0.5554797594761925,COMPLETE,0.5554797594761925
16,0.3836,2025-08-14 17:20:43.488191,2025-08-14 17:21:06.304101,0 days 00:00:22.815910,leakyrelu,128,32,2,0.4,0.0001,3,L2,3,,mean,False,0.0001,0.264658348688742,COMPLETE,0.264658348688742
17,0.377,2025-08-14 17:21:06.304101,2025-08-14 17:21:14.377402,0 days 00:00:08.073301,tanh,128,128,1,0.4,0.0001,2,L2,1,0.85,mean,True,1e-05,0.8184392358329136,COMPLETE,0.8184392358329136
18,0.434,2025-08-14 17:21:14.378402,2025-08-14 17:21:57.783115,0 days 00:00:43.404713,leakyrelu,256,16,3,0.2,0.001,3,minmax,2,,mean,False,0.0,0.0004249086831603686,COMPLETE,0.0004249086831603686
19,0.4225,2025-08-14 17:21:57.790242,2025-08-14 17:22:20.037320,0 days 00:00:22.247078,leakyrelu,512,32,3,0.2,0.001,3,minmax,3,0.95,mean,True,0.0,3.46447704123128e-05,COMPLETE,3.46447704123128e-05
20,0.3759,2025-08-14 17:22:20.038320,2025-08-14 17:23:01.771425,0 days 00:00:41.733105,leakyrelu,128,16,3,0.2,0.001,3,minmax,2,0.75,mean,True,0.0,0.0026524699267061348,COMPLETE,0.0026524699267061348
21,0.3998,2025-08-14 17:23:01.771425,2025-08-14 17:23:45.423366,0 days 00:00:43.651941,leakyrelu,256,16,2,0.2,0.001,3,minmax,2,,mean,False,0.0,0.00024795374616687083,COMPLETE,0.00024795374616687083
22,0.444,2025-08-14 17:23:45.423366,2025-08-14 17:24:28.519505,0 days 00:00:43.096139,leakyrelu,256,16,3,0.2,0.001,3,minmax,3,,mean,False,0.0,0.0007013096767956829,COMPLETE,0.0007013096767956829
23,0.4527,2025-08-14 17:24:28.526498,2025-08-14 17:25:11.386548,0 days 00:00:42.860050,leakyrelu,256,16,3,0.2,0.001,3,minmax,3,,mean,False,0.0,0.0007821803433757719,COMPLETE,0.0007821803433757719
24,0.4423,2025-08-14 17:25:11.386548,2025-08-14 17:25:54.045166,0 days 00:00:42.658618,leakyrelu,256,16,3,0.2,0.001,3,minmax,3,,mean,False,0.0,0.08382567268619584,COMPLETE,0.08382567268619584
25,0.4303,2025-08-14 17:25:54.045166,2025-08-14 17:26:36.891210,0 days 00:00:42.846044,leakyrelu,256,16,3,0.2,0.001,3,minmax,3,,mean,False,0.0,0.0009090959579591008,COMPLETE,0.0009090959579591008
26,0.3847,2025-08-14 17:26:36.892209,2025-08-14 17:27:19.709427,0 days 00:00:42.817218,leakyrelu,256,16,3,0.2,0.001,3,minmax,3,,max,False,0.0,0.0009518241582040067,COMPLETE,0.0009518241582040067
27,0.3971,2025-08-14 17:27:19.709427,2025-08-14 17:28:02.590497,0 days 00:00:42.881070,elu,256,16,3,0.5,1e-05,3,minmax,3,,mean,False,0.0,0.6869482175713567,COMPLETE,0.6869482175713567
28,0.4289,2025-08-14 17:28:02.591495,2025-08-14 17:28:40.605677,0 days 00:00:38.014182,gelu,256,16,2,0.3,0.001,2,minmax,2,,mean,False,0.0,0.0014835940443736972,COMPLETE,0.0014835940443736972
29,0.3623,2025-08-14 17:28:40.606677,2025-08-14 17:29:23.555057,0 days 00:00:42.948380,leakyrelu,256,16,3,0.2,1e-05,3,minmax,3,,max,False,0.0,0.4533891154638824,COMPLETE,0.4533891154638824
