number,value,state,datetime_start,datetime_complete,duration,layer_sizes,dropout_layers,norm_layers,num_layers,native_mode,dropout,architecture_pattern,activation,batch_size,bidirectional,fc_hidden,lr,norm,norm_post_lstm,optimizer,pooling,weight_decay,momentum_sgd
35,0.47567744520914984,COMPLETE,2025-12-10 00:27:20.922077,2025-12-10 00:33:02.167786,0 days 00:05:41.245709,"[768, 768]",[1],[1],2,False,0.4,uniform,gelu,96,False,512.0,5e-05,L2,True,Adam,last,1e-05,
36,0.34542956963026245,COMPLETE,2025-12-10 00:33:02.168787,2025-12-10 00:34:06.850219,0 days 00:01:04.681432,[512],[],[],1,True,0.0,uniform,tanh,128,False,1024.0,0.001,L2,False,RMSprop,last,1e-07,
37,0.2647836238908767,COMPLETE,2025-12-10 00:34:06.851220,2025-12-10 00:35:19.036398,0 days 00:01:12.185178,[448],[],[],1,True,0.0,uniform,relu,48,True,128.0,0.0001,L2,True,SGD,attention,1e-05,0.0
38,0.25869313556347234,COMPLETE,2025-12-10 00:35:19.036900,2025-12-10 00:37:06.033768,0 days 00:01:46.996868,"[256, 256]",[],[],2,False,0.0,uniform,elu,32,False,768.0,0.001,minmax,False,Adam,last,1e-05,
39,0.21758419036095988,COMPLETE,2025-12-10 00:37:06.034768,2025-12-10 00:38:46.000020,0 days 00:01:39.965252,"[640, 512]",[],[],2,False,0.0,decreasing,,64,False,,2e-05,L2,True,Adam,mean,1e-07,
40,0.21758419036095988,COMPLETE,2025-12-10 00:38:46.001029,2025-12-10 00:40:08.876400,0 days 00:01:22.875371,[512],[],[],1,True,0.0,uniform,silu,32,True,512.0,5e-05,L2,False,RMSprop,max,0.0,
41,0.515640527180804,COMPLETE,2025-12-10 00:40:08.876903,2025-12-10 00:41:37.485006,0 days 00:01:28.608103,[512],[],[],1,True,0.0,uniform,gelu,48,False,512.0,0.001,L2,True,Adam,last,1e-07,
42,0.5229115362538266,COMPLETE,2025-12-10 00:41:37.486509,2025-12-10 00:42:54.892618,0 days 00:01:17.406109,[448],[],[],1,True,0.0,uniform,gelu,48,False,512.0,0.001,L2,True,Adam,last,1e-07,
43,0.5448078907604134,COMPLETE,2025-12-10 00:42:54.893622,2025-12-10 00:44:10.862196,0 days 00:01:15.968574,[448],[],[],1,True,0.0,uniform,gelu,48,False,512.0,0.001,L2,True,Adam,last,1e-07,
44,0.5200765706787134,COMPLETE,2025-12-10 00:44:10.863203,2025-12-10 00:47:22.453216,0 days 00:03:11.590013,[896],[],[],1,True,0.0,decreasing,gelu,48,False,128.0,0.001,L2,True,Adam,last,1e-07,
45,0.22088968913092627,COMPLETE,2025-12-10 00:47:22.454217,2025-12-10 00:47:57.386133,0 days 00:00:34.931916,[384],[],[],1,True,0.0,uniform,silu,96,False,512.0,0.0001,L2,True,SGD,attention,1e-06,0.8
46,0.4939858744806907,COMPLETE,2025-12-10 00:47:57.387637,2025-12-10 00:59:54.069591,0 days 00:11:56.681954,"[448, 448, 448, 448]","[1, 2]","[1, 2]",4,False,0.3,uniform,relu,128,True,1024.0,0.0002,L2,True,Adam,last,1e-07,
47,0.21758419036095988,COMPLETE,2025-12-10 00:59:54.071604,2025-12-10 01:01:51.354892,0 days 00:01:57.283288,"[640, 640]",[],[],2,True,0.4,uniform,tanh,48,False,768.0,0.001,minmax,True,Adam,last,1e-06,
48,0.2509207766328078,COMPLETE,2025-12-10 01:01:51.356396,2025-12-10 01:02:36.247845,0 days 00:00:44.891449,[256],[],[],1,True,0.0,decreasing,gelu,64,False,512.0,1e-05,L2,True,RMSprop,last,1e-07,
49,0.49489897581696896,COMPLETE,2025-12-10 01:02:36.248864,2025-12-10 01:05:56.143157,0 days 00:03:19.894293,"[384, 384]",[],[],2,False,0.0,uniform,silu,32,True,1024.0,0.001,L2,False,Adam,last,1e-06,
