number,value,state,datetime_start,datetime_complete,duration,layer_sizes,dropout_layers,norm_layers,num_layers,native_mode,dropout,architecture_pattern,batch_size,bidirectional,lr,norm,norm_post_lstm,optimizer,pooling,weight_decay,activation,fc_hidden,momentum_sgd
24,0.48047106595762246,COMPLETE,2025-12-09 05:40:32.318282,2025-12-09 05:41:46.293066,0 days 00:01:13.974784,[64],[],[],1,True,0.0,increasing,48,True,0.0002,minmax,False,AdamW,last,1e-07,silu,768.0,
25,0.4498144503234693,COMPLETE,2025-12-09 05:41:46.294262,2025-12-09 05:46:47.558168,0 days 00:05:01.263906,[896],[],[],1,True,0.0,increasing,48,True,0.0001,minmax,False,AdamW,last,1e-07,silu,768.0,
26,0.23854988469656857,COMPLETE,2025-12-09 05:46:47.559183,2025-12-09 05:47:07.773935,0 days 00:00:20.214752,[128],[],[],1,True,0.0,increasing,48,False,2e-05,minmax,False,AdamW,max,1e-07,silu,768.0,
27,0.21758419036095988,COMPLETE,2025-12-09 05:47:07.774934,2025-12-09 05:47:34.069950,0 days 00:00:26.295016,[64],[],[],1,True,0.0,increasing,48,True,0.001,minmax,False,RMSprop,mean,1e-07,silu,768.0,
28,0.229166027315288,COMPLETE,2025-12-09 05:47:34.071333,2025-12-09 05:48:33.971323,0 days 00:00:59.899990,"[128, 192]",[1],[],2,False,0.2,increasing,48,True,5e-05,minmax,False,SGD,attention,1e-07,gelu,768.0,0.7
29,0.21758419036095988,COMPLETE,2025-12-09 05:48:33.972342,2025-12-09 05:50:16.089550,0 days 00:01:42.117208,"[64, 128, 192, 256]","[1, 3]","[2, 3]",4,False,0.1,increasing,48,True,2e-05,minmax,False,Adam,attention,1e-07,,,
30,0.45688275042545,COMPLETE,2025-12-09 05:50:16.090556,2025-12-09 05:51:18.531992,0 days 00:01:02.441436,[256],[],[],1,True,0.0,increasing,48,True,0.0002,minmax,False,AdamW,last,1e-07,elu,1024.0,
31,0.4584877162653715,COMPLETE,2025-12-09 05:51:18.532992,2025-12-09 05:52:29.054730,0 days 00:01:10.521738,[64],[],[],1,True,0.0,increasing,48,True,0.0002,minmax,False,AdamW,last,1e-07,silu,768.0,
32,0.4646330058147588,COMPLETE,2025-12-09 05:52:29.055734,2025-12-09 05:53:44.706452,0 days 00:01:15.650718,[128],[],[],1,True,0.0,increasing,48,True,0.0002,minmax,False,AdamW,last,1e-07,silu,768.0,
33,0.44545126477826136,COMPLETE,2025-12-09 05:53:44.707955,2025-12-09 05:54:57.339276,0 days 00:01:12.631321,[128],[],[],1,True,0.0,increasing,48,True,0.0002,minmax,False,AdamW,last,1e-07,silu,768.0,
34,0.44888523986988005,COMPLETE,2025-12-09 05:54:57.340277,2025-12-09 05:55:41.528801,0 days 00:00:44.188524,[128],[],[],1,True,0.0,increasing,48,True,0.0002,L2,True,AdamW,last,1e-06,silu,512.0,
35,0.21758419036095988,COMPLETE,2025-12-09 05:55:41.529827,2025-12-09 05:56:44.502714,0 days 00:01:02.972887,"[64, 128, 192, 256]",[1],[2],4,False,0.3,increasing,96,True,1e-05,minmax,False,RMSprop,mean,0.0,silu,128.0,
36,0.25493008852298193,COMPLETE,2025-12-09 05:56:44.503714,2025-12-09 05:57:25.537732,0 days 00:00:41.034018,"[256, 384]",[1],[],2,False,0.4,increasing,48,False,5e-05,L2,True,SGD,max,1e-07,,,0.7
37,0.4309112209760941,COMPLETE,2025-12-09 05:57:25.537732,2025-12-09 05:58:44.917911,0 days 00:01:19.380179,[448],[],[],1,True,0.0,uniform,128,True,0.0002,minmax,False,AdamW,last,1e-07,silu,768.0,
38,0.21758419036095988,COMPLETE,2025-12-09 05:58:44.919027,2025-12-09 05:59:11.177802,0 days 00:00:26.258775,[192],[],[],1,True,0.0,increasing,32,False,1e-05,minmax,True,RMSprop,last,1e-06,relu,768.0,
39,0.4639411573326381,COMPLETE,2025-12-09 05:59:11.179846,2025-12-09 06:00:54.426414,0 days 00:01:43.246568,"[64, 128]",[1],[1],2,False,0.5,increasing,64,True,0.0002,L2,False,Adam,attention,0.0,silu,1024.0,
40,0.17550647384020668,COMPLETE,2025-12-09 06:00:54.427918,2025-12-09 06:01:11.277915,0 days 00:00:16.849997,[64],[],[],1,True,0.0,uniform,96,True,2e-05,minmax,False,SGD,max,1e-07,elu,128.0,0.0
41,0.41084148064863496,COMPLETE,2025-12-09 06:01:11.279423,2025-12-09 06:02:16.376479,0 days 00:01:05.097056,[64],[],[],1,True,0.0,increasing,48,True,0.0002,minmax,False,AdamW,last,1e-07,silu,768.0,
42,0.47487598862955227,COMPLETE,2025-12-09 06:02:16.376479,2025-12-09 06:03:28.114882,0 days 00:01:11.738403,[128],[],[],1,True,0.0,increasing,48,True,0.0002,minmax,False,AdamW,last,1e-07,silu,768.0,
43,0.4805137792256307,COMPLETE,2025-12-09 06:03:28.116089,2025-12-09 06:04:40.073583,0 days 00:01:11.957494,[128],[],[],1,True,0.0,increasing,48,True,0.0002,minmax,False,AdamW,last,1e-07,silu,768.0,
44,0.46231127547845513,COMPLETE,2025-12-09 06:04:40.074582,2025-12-09 06:05:41.485709,0 days 00:01:01.411127,[192],[],[],1,True,0.0,increasing,48,True,0.0002,minmax,False,AdamW,last,1e-07,tanh,768.0,
45,0.4413931965139633,COMPLETE,2025-12-09 06:05:41.487725,2025-12-09 06:06:08.936140,0 days 00:00:27.448415,[448],[],[],1,True,0.0,increasing,128,False,0.001,L2,True,AdamW,last,1e-07,silu,768.0,
46,0.43669065512649075,COMPLETE,2025-12-09 06:06:08.938672,2025-12-09 06:08:49.674691,0 days 00:02:40.736019,"[128, 192]",[],[],2,False,0.0,increasing,32,True,0.0002,minmax,False,Adam,last,0.0,,,
47,0.21758419036095988,COMPLETE,2025-12-09 06:08:49.676692,2025-12-09 06:09:26.466686,0 days 00:00:36.789994,[384],[],[],1,True,0.0,increasing,48,True,0.0001,minmax,False,AdamW,mean,1e-06,relu,512.0,
48,0.3387321187773134,COMPLETE,2025-12-09 06:09:26.467687,2025-12-09 06:12:40.254899,0 days 00:03:13.787212,"[448, 448]",[],[],2,True,0.3,uniform,48,True,0.0002,minmax,False,AdamW,last,1e-05,gelu,768.0,
49,0.21758419036095988,COMPLETE,2025-12-09 06:12:40.255905,2025-12-09 06:13:26.759919,0 days 00:00:46.504014,"[64, 128, 192]",[1],[2],3,False,0.3,increasing,48,False,1e-05,minmax,True,RMSprop,last,1e-07,tanh,1024.0,
