number,value,state,datetime_start,datetime_complete,duration,channels,dilations,ln_block_end,dropout,activation,batch_size,channels_pattern,convs_per_block,dilation_mode,fc_hidden,kernel_size,lr,momentum_sgd,norm,num_blocks,optimizer,pooling,use_weight_norm,weight_decay,wn_on_skip
11,0.2175904889576118,COMPLETE,2025-10-08 21:02:44.664864,2025-10-08 21:03:39.045871,0 days 00:00:54.381007,"[768, 896]","[2, 4]","[False, True]","[0.0, 0.0]",relu,128,increasing,2,linear,,5,0.001,,L2,2,AdamW,max,True,1e-07,False
12,0.278692025408905,COMPLETE,2025-10-08 21:03:39.047926,2025-10-08 21:04:08.384803,0 days 00:00:29.336877,"[384, 512]","[2, 4]","[False, True]","[0.0, 0.0]",prelu,128,increasing,3,linear,128.0,2,0.001,,L2,2,Adam,max,True,1e-06,False
13,0.178030303030303,PRUNED,2025-10-08 21:04:08.385877,2025-10-08 21:04:25.201690,0 days 00:00:16.815813,"[896, 768, 640, 512]","[3, 6, 9, 12]","[False, True, False, False]","[0.1, 0.1, 0.0, 0.0]",hardswish,64,decreasing,1,linear,,3,0.001,,minmax,4,AdamW,max,True,2e-06,False
14,0.21875,PRUNED,2025-10-08 21:04:25.202690,2025-10-08 21:04:39.962220,0 days 00:00:14.759530,"[512, 640]","[1, 3]","[True, True]","[0.0, 0.0]",silu,32,increasing,2,linear,256.0,5,0.002,0.9,minmax,2,SGD,mean,True,2e-06,True
15,0.2175904889576118,COMPLETE,2025-10-08 21:04:39.963240,2025-10-08 21:04:49.929470,0 days 00:00:09.966230,[640],[2],[False],[0.1],prelu,128,increasing,1,linear,128.0,2,1e-05,,L2,1,AdamW,max,True,5e-07,False
16,0.3727170710490436,COMPLETE,2025-10-08 21:04:49.931476,2025-10-08 21:05:14.777937,0 days 00:00:24.846461,"[256, 192, 128]","[3, 6, 9]","[True, True, False]","[0.0, 0.0, 0.0]",hardswish,64,decreasing,3,linear,,3,0.0002,,minmax,3,RMSprop,max,True,0.0,False
17,0.4340991338721444,COMPLETE,2025-10-08 21:05:14.779936,2025-10-08 21:05:37.940623,0 days 00:00:23.160687,"[256, 192, 128]","[3, 6, 9]","[True, False, False]","[0.0, 0.0, 0.0]",hardswish,64,decreasing,3,linear,128.0,2,0.0002,,L2,3,RMSprop,max,True,0.0,False
18,0.21875,PRUNED,2025-10-08 21:05:37.942703,2025-10-08 21:05:44.927053,0 days 00:00:06.984350,"[384, 256, 192, 128]","[3, 6, 9, 12]","[True, False, False, True]","[0.0, 0.1, 0.0, 0.0]",hardswish,128,decreasing,3,linear,128.0,2,0.0002,,L2,4,RMSprop,mean,False,0.0,True
19,0.178030303030303,PRUNED,2025-10-08 21:05:44.927053,2025-10-08 21:05:54.710345,0 days 00:00:09.783292,"[256, 192, 128]","[1, 2, 3]","[True, False, False]","[0.0, 0.0, 0.0]",hardswish,32,decreasing,2,linear,128.0,2,0.0005,,L2,3,RMSprop,last,True,1e-07,False
20,0.359374742146817,COMPLETE,2025-10-08 21:05:54.711345,2025-10-08 21:07:26.557292,0 days 00:01:31.845947,"[384, 256, 192, 128, 96]","[3, 6, 9, 12, 15]","[True, False, False, False, True]","[0.0, 0.1, 0.0, 0.0, 0.0]",gelu,16,decreasing,3,linear,128.0,2,0.0002,,L2,5,Adam,max,True,1e-05,False
21,0.21875,PRUNED,2025-10-08 21:07:26.559280,2025-10-08 21:07:34.024753,0 days 00:00:07.465473,"[256, 192, 128]","[3, 6, 9]","[True, True, False]","[0.0, 0.0, 0.0]",hardswish,64,decreasing,3,linear,,3,0.0002,,L2,3,RMSprop,max,True,0.0,False
22,0.4033740213981871,COMPLETE,2025-10-08 21:07:34.026994,2025-10-08 21:07:55.376555,0 days 00:00:21.349561,"[192, 128, 96]","[3, 6, 9]","[True, False, False]","[0.0, 0.0, 0.0]",hardswish,64,decreasing,3,linear,128.0,2,0.0002,,L2,3,RMSprop,max,True,0.0,False
23,0.4184393146550585,COMPLETE,2025-10-08 21:07:55.379433,2025-10-08 21:08:27.582900,0 days 00:00:32.203467,"[192, 128, 96, 64]","[3, 6, 9, 12]","[True, False, False, True]","[0.0, 0.0, 0.0, 0.0]",hardswish,64,decreasing,3,linear,128.0,2,0.0002,,L2,4,RMSprop,max,True,0.0,False
24,0.2175904889576118,COMPLETE,2025-10-08 21:08:27.584900,2025-10-08 21:09:11.108472,0 days 00:00:43.523572,"[640, 512, 384, 256, 192]","[2, 4, 6, 8, 10]","[True, False, False, True, True]","[0.0, 0.0, 0.0, 0.0, 0.0]",elu,64,decreasing,3,linear,128.0,2,0.0002,,L2,5,RMSprop,max,True,0.0,False
25,0.1843688534073817,PRUNED,2025-10-08 21:09:11.115183,2025-10-08 21:09:16.750190,0 days 00:00:05.635007,"[192, 128, 96, 64]","[3, 6, 9, 12]","[True, False, False, True]","[0.0, 0.0, 0.0, 0.1]",silu,128,decreasing,2,linear,128.0,2,0.0005,,L2,4,AdamW,max,True,1e-06,False
26,0.4241137902150225,COMPLETE,2025-10-08 21:09:16.751196,2025-10-08 21:09:42.994974,0 days 00:00:26.243778,"[256, 192, 128, 96]","[2, 4, 6, 8]","[True, False, False, True]","[0.0, 0.0, 0.0, 0.0]",relu,64,decreasing,3,linear,128.0,2,0.0002,,L2,4,RMSprop,max,False,0.0,True
27,0.178030303030303,PRUNED,2025-10-08 21:09:43.002008,2025-10-08 21:09:58.975953,0 days 00:00:15.973945,"[512, 384, 256, 192, 128]","[2, 4, 6, 8, 10]","[True, False, True, True, True]","[0.0, 0.1, 0.0, 0.1, 0.0]",relu,64,decreasing,2,linear,512.0,5,1e-05,,L2,5,RMSprop,mean,False,0.0,True
28,0.2176165803108808,PRUNED,2025-10-08 21:09:58.975953,2025-10-08 21:10:03.407095,0 days 00:00:04.431142,"[96, 64]","[2, 4]","[True, False]","[0.0, 0.0]",relu,128,decreasing,3,linear,256.0,9,0.0005,,L2,2,AdamW,last,False,1e-07,True
29,0.2164048865619546,PRUNED,2025-10-08 21:10:03.407095,2025-10-08 21:10:37.405410,0 days 00:00:33.998315,"[64, 96, 128]","[2, 4, 8]","[True, False, False]","[0.0, 0.1, 0.0]",relu,16,increasing,3,pow2,64.0,2,0.002,,L2,3,Adam,attention,False,0.0,True
30,0.4217812787227404,COMPLETE,2025-10-08 21:10:37.405410,2025-10-08 21:10:49.290669,0 days 00:00:11.885259,[384],[2],[True],[0.0],relu,96,uniform,1,linear,128.0,2,0.0001,,L2,1,RMSprop,max,False,1e-05,True
31,0.4281625613013443,COMPLETE,2025-10-08 21:10:49.292670,2025-10-08 21:10:58.595378,0 days 00:00:09.302708,[384],[2],[True],[0.0],relu,96,uniform,1,linear,128.0,2,0.0001,,L2,1,RMSprop,max,False,1e-05,True
32,0.4304824045108011,COMPLETE,2025-10-08 21:10:58.595792,2025-10-08 21:11:10.673764,0 days 00:00:12.077972,[384],[2],[True],[0.0],relu,96,uniform,1,linear,128.0,2,0.0001,,L2,1,RMSprop,max,False,1e-05,True
33,0.4242554857999585,COMPLETE,2025-10-08 21:11:10.673764,2025-10-08 21:11:19.753695,0 days 00:00:09.079931,[384],[2],[True],[0.0],relu,96,uniform,1,linear,128.0,2,0.0001,,L2,1,RMSprop,max,False,1e-05,True
34,0.4262690316803432,COMPLETE,2025-10-08 21:11:19.755698,2025-10-08 21:11:35.051800,0 days 00:00:15.296102,[384],[2],[True],[0.0],relu,96,uniform,1,linear,128.0,9,0.0001,,L2,1,RMSprop,max,False,1e-05,True
35,0.4291656379513601,COMPLETE,2025-10-08 21:11:35.051800,2025-10-08 21:11:46.146084,0 days 00:00:11.094284,[256],[1],[True],[0.0],relu,96,uniform,1,linear,64.0,9,0.0001,,L2,1,RMSprop,max,False,1e-05,True
36,0.3943833247054547,COMPLETE,2025-10-08 21:11:46.148084,2025-10-08 21:11:55.422399,0 days 00:00:09.274315,[192],[1],[True],[0.0],relu,96,uniform,1,linear,64.0,9,0.0001,,L2,1,RMSprop,attention,False,1e-05,True
37,0.178030303030303,PRUNED,2025-10-08 21:11:55.423399,2025-10-08 21:12:02.465681,0 days 00:00:07.042282,[640],[1],[True],[0.0],leakyrelu,96,uniform,1,linear,64.0,9,0.0001,,L2,1,RMSprop,max,False,1e-05,True
38,0.4194076944335513,COMPLETE,2025-10-08 21:12:02.465681,2025-10-08 21:12:12.457171,0 days 00:00:09.991490,"[192, 192]","[1, 2]","[True, True]","[0.0, 0.3]",mish,96,uniform,1,pow2,64.0,7,0.0001,,L2,2,RMSprop,max,False,1e-05,True
39,0.3956102185762529,COMPLETE,2025-10-08 21:12:12.457171,2025-10-08 21:12:22.473464,0 days 00:00:10.016293,[192],[1],[False],[0.0],gelu,96,uniform,1,linear,64.0,9,0.0001,,L2,1,RMSprop,max,False,1e-05,True
40,0.1610260288649398,PRUNED,2025-10-08 21:12:22.473464,2025-10-08 21:12:27.687546,0 days 00:00:05.214082,[512],[2],[True],[0.0],relu,96,uniform,1,pow2,512.0,9,0.0001,0.9,L2,1,SGD,last,False,2e-07,True
41,0.4335343773319106,COMPLETE,2025-10-08 21:12:27.688549,2025-10-08 21:12:36.988526,0 days 00:00:09.299977,[256],[2],[True],[0.0],relu,96,uniform,1,linear,128.0,9,0.0001,,L2,1,RMSprop,max,False,1e-05,True
42,0.4418416359191242,COMPLETE,2025-10-08 21:12:36.988526,2025-10-08 21:12:50.640416,0 days 00:00:13.651890,"[256, 256]","[2, 3]","[True, True]","[0.0, 0.2]",relu,96,uniform,1,linear,64.0,9,0.0001,,L2,2,RMSprop,max,False,1e-05,True
43,0.21875,PRUNED,2025-10-08 21:12:50.644422,2025-10-08 21:12:55.306274,0 days 00:00:04.661852,"[256, 256]","[1, 2]","[True, True]","[0.0, 0.2]",relu,96,uniform,1,linear,64.0,9,0.0001,,L2,2,RMSprop,max,False,1e-05,True
44,0.2164048865619546,PRUNED,2025-10-08 21:12:55.306274,2025-10-08 21:13:04.180905,0 days 00:00:08.874631,"[256, 256]","[2, 3]","[True, True]","[0.0, 0.2]",elu,96,uniform,1,linear,64.0,9,0.0001,,L2,2,RMSprop,attention,False,1e-05,True
45,0.178030303030303,PRUNED,2025-10-08 21:13:04.181908,2025-10-08 21:13:09.368102,0 days 00:00:05.186194,"[192, 192]","[2, 3]","[True, True]","[0.3, 0.3]",leakyrelu,96,uniform,2,linear,64.0,9,0.0001,,L2,2,RMSprop,max,False,5e-07,True
46,0.4234545443993978,COMPLETE,2025-10-08 21:13:09.370108,2025-10-08 21:13:26.488709,0 days 00:00:17.118601,[512],[1],[True],[0.0],mish,96,uniform,1,pow2,256.0,9,0.0001,,minmax,1,Adam,max,False,1e-06,True
47,0.0894854586129754,PRUNED,2025-10-08 21:13:26.488709,2025-10-08 21:13:36.341815,0 days 00:00:09.853106,"[256, 256]","[2, 3]","[False, True]","[0.0, 0.3]",relu,32,uniform,1,linear,64.0,7,0.0001,0.3,L2,2,SGD,mean,False,1e-05,True
48,0.3527218749227748,COMPLETE,2025-10-08 21:13:36.343818,2025-10-08 21:13:47.755995,0 days 00:00:11.412177,[128],[2],[True],[0.2],silu,96,uniform,1,linear,512.0,9,1e-05,,L2,1,RMSprop,max,False,2e-07,True
49,0.2175904889576118,COMPLETE,2025-10-08 21:13:47.755995,2025-10-08 21:14:28.410114,0 days 00:00:40.654119,"[512, 512]","[1, 2]","[True, True]","[0.0, 0.2]",relu,16,uniform,2,linear,64.0,5,0.001,,minmax,2,RMSprop,max,False,1e-05,True
