number,value,state,datetime_start,datetime_complete,duration,channels,dilations,ln_block_end,dropout,activation,batch_size,channels_pattern,convs_per_block,dilation_mode,fc_hidden,kernel_size,lr,momentum_sgd,norm,num_blocks,optimizer,pooling,use_weight_norm,weight_decay,wn_on_skip
10,0.3661319154357361,COMPLETE,2025-10-08 22:14:17.009479,2025-10-08 22:15:07.467147,0 days 00:00:50.457668,[896],[2],[True],[0.3],leakyrelu,128,uniform,1,pow2,64.0,7,1e-05,,L2,1,Adam,max,False,2e-07,False
11,0.3972151458614477,COMPLETE,2025-10-08 22:15:07.469616,2025-10-08 22:15:46.564523,0 days 00:00:39.094907,"[384, 256, 192, 128]","[2, 4, 8, 16]","[True, False, False, False]","[0.0, 0.1, 0.1, 0.1]",elu,16,decreasing,1,pow2,256.0,3,1e-05,,L2,4,RMSprop,max,False,5e-07,False
12,0.178030303030303,PRUNED,2025-10-08 22:15:46.566526,2025-10-08 22:15:54.865347,0 days 00:00:08.298821,"[384, 256, 192, 128]","[2, 4, 8, 16]","[True, False, False, False]","[0.0, 0.0, 0.0, 0.0]",mish,128,decreasing,1,pow2,256.0,3,1e-05,,L2,4,RMSprop,max,False,5e-07,False
13,0.2808779838542922,COMPLETE,2025-10-08 22:15:54.867353,2025-10-08 22:16:47.507016,0 days 00:00:52.639663,"[384, 256, 192, 128, 96]","[2, 4, 8, 16, 32]","[True, False, False, False, True]","[0.0, 0.1, 0.1, 0.1, 0.1]",elu,16,decreasing,1,pow2,256.0,7,0.001,,L2,5,RMSprop,max,False,5e-07,False
14,0.2116402116402116,PRUNED,2025-10-08 22:16:47.510600,2025-10-08 22:16:58.447677,0 days 00:00:10.937077,"[384, 384]","[2, 4]","[True, False]","[0.1, 0.1]",elu,128,uniform,3,pow2,256.0,2,1e-05,,L2,2,Adam,last,False,1e-06,False
15,0.2164048865619546,PRUNED,2025-10-08 22:16:58.448763,2025-10-08 22:17:15.585588,0 days 00:00:17.136825,"[128, 192, 256, 384]","[1, 2, 4, 8]","[True, False, False, False]","[0.0, 0.0, 0.0, 0.0]",silu,16,increasing,1,pow2,512.0,9,1e-05,,L2,4,RMSprop,max,False,2e-07,False
16,0.2175904889576118,COMPLETE,2025-10-08 22:17:15.585588,2025-10-08 22:18:55.648351,0 days 00:01:40.062763,"[896, 768, 640, 512, 384, 256]","[2, 4, 8, 16, 32, 64]","[True, False, False, True, True, False]","[0.0, 0.3, 0.0, 0.0, 0.0, 0.3]",prelu,16,decreasing,1,pow2,64.0,3,0.001,,L2,6,Adam,max,False,0.0,False
17,0.2077063383492932,PRUNED,2025-10-08 22:18:55.651453,2025-10-08 22:18:58.448874,0 days 00:00:02.797421,[192],[2],[True],[0.0],leakyrelu,128,decreasing,3,pow2,256.0,3,0.0002,,L2,1,RMSprop,max,False,1e-07,False
18,0.21875,PRUNED,2025-10-08 22:18:58.448874,2025-10-08 22:19:03.796293,0 days 00:00:05.347419,"[96, 128, 192]","[1, 2, 4]","[True, False, False]","[0.1, 0.1, 0.1]",hardswish,64,increasing,1,pow2,512.0,9,1e-05,0.0,L2,3,SGD,last,True,1e-06,False
19,0.0894854586129754,PRUNED,2025-10-08 22:19:03.797293,2025-10-08 22:19:11.481779,0 days 00:00:07.684486,"[64, 64, 64, 64]","[2, 4, 8, 16]","[True, False, False, False]","[0.0, 0.2, 0.0, 0.2]",mish,96,uniform,2,pow2,256.0,7,1e-05,,L2,4,Adam,max,False,5e-07,False
20,0.3732879377743307,COMPLETE,2025-10-08 22:19:11.483784,2025-10-08 22:20:15.709898,0 days 00:01:04.226114,"[512, 384, 256, 192, 128]","[2, 4, 8, 16, 32]","[True, False, False, True, True]","[0.0, 0.0, 0.0, 0.0, 0.0]",silu,32,decreasing,3,pow2,512.0,2,1e-05,,L2,5,RMSprop,max,False,5e-07,False
21,0.2176165803108808,PRUNED,2025-10-08 22:20:15.711907,2025-10-08 22:20:36.738952,0 days 00:00:21.027045,"[512, 384, 256]","[3, 5, 7]","[False, True, True]","[0.0, 0.2, 0.2]",elu,16,decreasing,2,linear,128.0,3,1e-05,,minmax,3,AdamW,max,False,5e-07,False
22,0.440220710624937,COMPLETE,2025-10-08 22:20:36.738952,2025-10-08 22:21:59.712665,0 days 00:01:22.973713,"[640, 512]","[3, 4]","[False, True]","[0.0, 0.2]",elu,16,decreasing,2,linear,64.0,3,1e-05,,minmax,2,AdamW,max,False,5e-07,False
23,0.4162623514870379,COMPLETE,2025-10-08 22:21:59.715666,2025-10-08 22:23:35.491425,0 days 00:01:35.775759,"[768, 640]","[2, 4]","[False, True]","[0.0, 0.3]",elu,16,decreasing,2,linear,64.0,3,1e-05,,minmax,2,AdamW,max,False,5e-07,False
24,0.3179868802942101,COMPLETE,2025-10-08 22:23:35.491425,2025-10-08 22:24:52.761895,0 days 00:01:17.270470,"[768, 640]","[2, 4]","[False, True]","[0.0, 0.3]",relu,16,decreasing,2,linear,64.0,3,1e-05,,minmax,2,AdamW,max,False,1e-06,False
25,0.0894854586129754,PRUNED,2025-10-08 22:24:52.764894,2025-10-08 22:25:51.211280,0 days 00:00:58.446386,[896],[2],[False],[0.0],elu,128,decreasing,2,linear,64.0,9,0.002,,minmax,1,AdamW,max,False,5e-07,False
26,0.2164048865619546,PRUNED,2025-10-08 22:25:51.213283,2025-10-08 22:26:39.285801,0 days 00:00:48.072518,"[640, 512]","[1, 4]","[False, True]","[0.3, 0.3]",elu,16,decreasing,2,linear,64.0,3,0.0002,,minmax,2,AdamW,last,True,2e-07,True
27,0.2175904889576118,COMPLETE,2025-10-08 22:26:39.285801,2025-10-08 22:28:07.377567,0 days 00:01:28.091766,"[896, 896]","[2, 3]","[False, True]","[0.0, 0.2]",silu,16,uniform,2,linear,64.0,3,0.001,,minmax,2,AdamW,mean,False,1e-05,False
28,0.0855855855855855,PRUNED,2025-10-08 22:28:07.379611,2025-10-08 22:28:32.331048,0 days 00:00:24.951437,[640],[3],[False],[0.0],elu,128,increasing,3,linear,64.0,9,0.0005,,minmax,1,AdamW,attention,False,0.0,False
29,0.178030303030303,PRUNED,2025-10-08 22:28:32.331048,2025-10-08 22:29:02.893909,0 days 00:00:30.562861,"[768, 640, 512]","[2, 3, 4]","[False, True, False]","[0.0, 0.2, 0.0]",prelu,96,decreasing,2,linear,512.0,5,0.002,,minmax,3,AdamW,mean,True,1e-06,True
30,0.4361212749146578,COMPLETE,2025-10-08 22:29:02.894914,2025-10-08 22:32:39.848499,0 days 00:03:36.953585,"[896, 768]","[3, 6]","[False, True]","[0.0, 0.0]",relu,64,decreasing,2,linear,64.0,7,1e-05,,minmax,2,Adam,max,False,2e-06,False
31,0.4355492043850625,COMPLETE,2025-10-08 22:32:39.848499,2025-10-08 22:35:24.447439,0 days 00:02:44.598940,"[896, 768]","[3, 6]","[False, True]","[0.0, 0.0]",relu,64,decreasing,2,linear,64.0,7,1e-05,,minmax,2,Adam,max,False,2e-06,False
32,0.417615061686132,COMPLETE,2025-10-08 22:35:24.454074,2025-10-08 22:38:23.719972,0 days 00:02:59.265898,"[896, 768]","[3, 6]","[False, True]","[0.0, 0.0]",relu,64,decreasing,2,linear,64.0,7,1e-05,,minmax,2,Adam,max,False,2e-06,False
33,0.390943321352678,COMPLETE,2025-10-08 22:38:23.722145,2025-10-08 22:39:49.921457,0 days 00:01:26.199312,[896],[3],[False],[0.0],relu,64,decreasing,2,linear,,7,1e-05,,minmax,1,Adam,max,False,2e-06,False
34,0.178030303030303,PRUNED,2025-10-08 22:39:49.921457,2025-10-08 22:40:51.769262,0 days 00:01:01.847805,"[896, 768, 640]","[3, 6, 9]","[False, True, False]","[0.0, 0.0, 0.0]",relu,64,decreasing,2,linear,64.0,7,0.0002,,minmax,3,Adam,max,False,2e-06,False
35,0.4179257812219981,COMPLETE,2025-10-08 22:40:51.769262,2025-10-08 22:42:57.426052,0 days 00:02:05.656790,"[640, 512, 384]","[3, 6, 9]","[False, True, False]","[0.0, 0.0, 0.0]",relu,64,decreasing,2,linear,512.0,7,1e-05,,minmax,3,Adam,max,False,2e-06,False
36,0.4417265237989043,COMPLETE,2025-10-08 22:42:57.434219,2025-10-08 22:45:42.251958,0 days 00:02:44.817739,"[768, 640]","[3, 6]","[False, True]","[0.0, 0.0]",relu,64,decreasing,2,linear,64.0,7,0.0001,,minmax,2,Adam,last,True,2e-06,False
37,0.4192054025206252,COMPLETE,2025-10-08 22:45:42.254365,2025-10-08 22:48:38.397072,0 days 00:02:56.142707,"[768, 640]","[3, 6]","[False, True]","[0.0, 0.0]",relu,64,decreasing,3,linear,64.0,7,0.0001,,minmax,2,Adam,last,True,2e-06,True
38,0.2237974200997761,COMPLETE,2025-10-08 22:48:38.401179,2025-10-08 22:48:55.336524,0 days 00:00:16.935345,[256],[3],[False],[0.0],relu,64,uniform,2,linear,64.0,7,0.0001,0.0,minmax,1,SGD,last,True,2e-06,False
39,0.4042661205773962,COMPLETE,2025-10-08 22:48:55.338523,2025-10-08 22:50:36.290077,0 days 00:01:40.951554,"[640, 512]","[3, 6]","[False, True]","[0.3, 0.0]",relu,64,decreasing,2,linear,64.0,7,0.0001,,minmax,2,Adam,last,True,2e-06,False
40,0.4163476151321472,COMPLETE,2025-10-08 22:50:36.292098,2025-10-08 22:51:28.948352,0 days 00:00:52.656254,[768],[3],[False],[0.0],hardswish,64,decreasing,2,linear,,5,0.0001,,minmax,1,Adam,last,True,2e-06,True
41,0.2175904889576118,COMPLETE,2025-10-08 22:51:28.948352,2025-10-08 22:56:01.298189,0 days 00:04:32.349837,"[896, 768, 640]","[3, 5, 7]","[False, True, False]","[0.0, 0.0, 0.0]",relu,32,decreasing,2,linear,64.0,7,0.002,,minmax,3,Adam,attention,True,2e-06,False
42,0.178030303030303,PRUNED,2025-10-08 22:56:01.300190,2025-10-08 22:58:25.960289,0 days 00:02:24.660099,"[896, 768]","[3, 6]","[False, True]","[0.0, 0.0]",gelu,64,decreasing,2,linear,64.0,9,0.0005,,minmax,2,Adam,mean,False,1e-05,False
43,0.21875,PRUNED,2025-10-08 22:58:25.961300,2025-10-08 22:59:13.870686,0 days 00:00:47.909386,"[768, 640]","[3, 6]","[False, True]","[0.0, 0.0]",silu,64,decreasing,2,linear,512.0,7,0.0001,,minmax,2,Adam,max,True,1e-07,False
44,0.4494125203440302,COMPLETE,2025-10-08 22:59:13.872189,2025-10-08 23:02:12.920034,0 days 00:02:59.047845,"[896, 768, 640]","[3, 6, 9]","[False, True, True]","[0.0, 0.0, 0.0]",leakyrelu,96,decreasing,2,linear,64.0,2,1e-05,,minmax,3,Adam,attention,False,2e-06,False
45,0.2164048865619546,PRUNED,2025-10-08 23:02:12.922082,2025-10-08 23:02:58.244490,0 days 00:00:45.322408,"[896, 768]","[3, 6]","[False, True]","[0.0, 0.0]",leakyrelu,96,decreasing,2,linear,64.0,2,1e-05,,minmax,2,Adam,attention,False,2e-06,False
46,0.0855855855855855,PRUNED,2025-10-08 23:02:58.246761,2025-10-08 23:03:20.335432,0 days 00:00:22.088671,"[512, 640, 768]","[3, 6, 9]","[False, True, True]","[0.0, 0.0, 0.0]",leakyrelu,96,increasing,2,linear,64.0,2,1e-05,0.9,minmax,3,SGD,attention,False,2e-06,False
47,0.309291962370028,PRUNED,2025-10-08 23:03:20.336433,2025-10-08 23:04:10.598704,0 days 00:00:50.262271,"[768, 640, 512]","[3, 6, 9]","[False, True, True]","[0.3, 0.0, 0.0]",leakyrelu,96,decreasing,2,linear,64.0,2,1e-05,,minmax,3,Adam,attention,True,2e-06,False
48,0.2164048865619546,PRUNED,2025-10-08 23:04:10.600704,2025-10-08 23:04:45.592326,0 days 00:00:34.991622,"[768, 640]","[3, 5]","[False, True]","[0.0, 0.0]",mish,96,decreasing,2,linear,64.0,2,0.001,,minmax,2,Adam,attention,False,2e-06,True
49,0.4387186640000424,COMPLETE,2025-10-08 23:04:45.592830,2025-10-08 23:05:27.113648,0 days 00:00:41.520818,"[256, 256]","[3, 6]","[False, True]","[0.0, 0.0]",relu,64,uniform,3,linear,,7,0.0001,,minmax,2,Adam,last,False,2e-06,False
