id,timestamp,target_embedding,source_params,model,seed,input_dim,hidden_layers,pca_frac,norm_layers,dropout_layers,dropout_rate,pooling,norm,batch_size,num_layers,base_dim,activation,optimizer,momentum_sgd,learning_rate,weight_decay,use_pca,train_loss,test_loss,accuracy,f1_macro,f1_per_class,best_accuracy,best_f1,best_f1_per_class,epochs_trained,best_epoch,train_loss_best_state,test_loss_best_state,training
16,20251127_185242,gaitgl.csv,baseline_OUMVLP.csv,MLP,42,128,"[512, 256, 128, 64]",,[2],"[1, 3]",0.3,mean,minmax,32,4,512,gelu,RMSprop,,0.0001,1e-07,False,0.07686,2.42365,0.52273,0.37433,"[0.6087, 0.0, 0.51429]",0.56818,0.4742,"[0.65116, 0.2, 0.57143]",140,130,0.4415,2.1138,COMPLETED
17,20251127_185242,gaitgl_GREW.csv,baseline_OUMVLP.csv,MLP,42,256,"[512, 256, 128, 64]",,[2],"[1, 3]",0.3,mean,minmax,32,4,512,gelu,RMSprop,,0.0001,1e-07,False,0.0421,2.74525,0.43182,0.29333,"[0.64, 0.0, 0.24]",0.52273,0.38472,"[0.6087, 0.0, 0.54545]",129,101,0.18371,1.9237,COMPLETED
18,20251127_185242,gaitgl_GREW_BNNeck.csv,baseline_OUMVLP.csv,MLP,42,256,"[512, 256, 128, 64]",,[2],"[1, 3]",0.3,mean,minmax,32,4,512,gelu,RMSprop,,0.0001,1e-07,False,0.05993,2.60671,0.40909,0.28277,"[0.5283, 0.0, 0.32]",0.52273,0.36605,"[0.61538, 0.0, 0.48276]",117,55,0.62091,1.62444,COMPLETED
19,20251127_185242,gaitgl_OUMVLP.csv,baseline_OUMVLP.csv,MLP,42,256,"[512, 256, 128, 64]",,[2],"[1, 3]",0.3,mean,minmax,32,4,512,gelu,RMSprop,,0.0001,1e-07,False,0.0764,2.04591,0.43182,0.39275,"[0.375, 0.26667, 0.53659]",0.56818,0.48652,"[0.67925, 0.36364, 0.41667]",148,143,0.15186,1.94577,COMPLETED
20,20251127_185242,gaitpart_GREW.csv,baseline_OUMVLP.csv,MLP,42,256,"[512, 256, 128, 64]",,[2],"[1, 3]",0.3,mean,minmax,32,4,512,gelu,RMSprop,,0.0001,1e-07,False,0.03675,2.03157,0.43182,0.36382,"[0.55814, 0.13333, 0.4]",0.63636,0.56313,"[0.68571, 0.28571, 0.71795]",102,89,0.50453,1.58917,COMPLETED
21,20251127_185242,gaitpart_OUMVLP.csv,baseline_OUMVLP.csv,MLP,42,256,"[512, 256, 128, 64]",,[2],"[1, 3]",0.3,mean,minmax,32,4,512,gelu,RMSprop,,0.0001,1e-07,False,0.04142,2.82509,0.47727,0.34946,"[0.47059, 0.0, 0.57778]",0.52273,0.51115,"[0.45161, 0.43478, 0.64706]",107,83,0.18916,1.84484,COMPLETED
22,20251127_185242,gaitset.csv,baseline_OUMVLP.csv,MLP,42,256,"[512, 256, 128, 64]",,[2],"[1, 3]",0.3,mean,minmax,32,4,512,gelu,RMSprop,,0.0001,1e-07,False,0.08409,3.55466,0.45455,0.30061,"[0.58182, 0.0, 0.32]",0.47727,0.43739,"[0.60465, 0.43478, 0.27273]",128,50,0.68471,1.37558,COMPLETED
23,20251127_185242,gaitset_GREW.csv,baseline_OUMVLP.csv,MLP,42,256,"[512, 256, 128, 64]",,[2],"[1, 3]",0.3,mean,minmax,32,4,512,gelu,RMSprop,,0.0001,1e-07,False,0.06091,2.5549,0.47727,0.3779,"[0.60377, 0.22222, 0.30769]",0.59091,0.49349,"[0.65217, 0.22222, 0.60606]",108,84,0.25275,1.96084,COMPLETED
24,20251127_185242,gaitset_OUMVLP.csv,baseline_OUMVLP.csv,MLP,42,256,"[512, 256, 128, 64]",,[2],"[1, 3]",0.3,mean,minmax,32,4,512,gelu,RMSprop,,0.0001,1e-07,False,0.05108,2.45963,0.5,0.36822,"[0.60465, 0.0, 0.5]",0.47727,0.45079,"[0.57143, 0.38095, 0.4]",110,79,0.30341,1.69049,COMPLETED
25,20251127_185242,gln_phase1.csv,baseline_OUMVLP.csv,MLP,42,256,"[512, 256, 128, 64]",,[2],"[1, 3]",0.3,mean,minmax,32,4,512,gelu,RMSprop,,0.0001,1e-07,False,0.05957,1.72401,0.5,0.46448,"[0.60465, 0.375, 0.41379]",0.61364,0.59082,"[0.58824, 0.5, 0.68421]",103,75,0.23884,1.33759,COMPLETED
26,20251127_185242,gln_phase2.csv,baseline_OUMVLP.csv,MLP,42,256,"[512, 256, 128, 64]",,[2],"[1, 3]",0.3,mean,minmax,32,4,512,gelu,RMSprop,,0.0001,1e-07,False,0.04667,2.3928,0.45455,0.38364,"[0.54545, 0.15385, 0.45161]",0.56818,0.47756,"[0.62222, 0.22222, 0.58824]",110,109,0.06241,2.55895,COMPLETED

27,20251127_185435,baseline_CASIAB.csv,gaitgl.csv,MLP,42,87,"[512, 256]",0.9,[],[],,mean,L2,64,2,512,silu,RMSprop,,0.001,1e-07,True,0.0808,5.16653,0.45455,0.34314,"[0.5, 0.0, 0.52941]",0.5,0.42886,"[0.52381, 0.22222, 0.54054]",371,302,0.32794,2.40415,COMPLETED
28,20251127_185435,baseline_OUMVLP.csv,gaitgl.csv,MLP,42,81,"[512, 256]",0.9,[],[],,mean,L2,64,2,512,silu,RMSprop,,0.001,1e-07,True,0.08311,4.30432,0.40909,0.36118,"[0.58537, 0.19048, 0.30769]",0.68182,0.62633,"[0.72222, 0.4, 0.75676]",378,89,0.65535,1.09396,COMPLETED
29,20251127_185435,gaitgl.csv,gaitgl.csv,MLP,42,67,"[512, 256]",0.9,[],[],,mean,L2,64,2,512,silu,RMSprop,,0.001,1e-07,True,0.08798,7.00576,0.34091,0.32379,"[0.36842, 0.25, 0.35294]",0.43182,0.42083,"[0.45, 0.375, 0.4375]",413,328,0.28206,3.66892,COMPLETED
30,20251127_185435,gaitgl_GREW.csv,gaitgl.csv,MLP,42,125,"[512, 256]",0.9,[],[],,mean,L2,64,2,512,silu,RMSprop,,0.001,1e-07,True,0.07536,5.76761,0.31818,0.28241,"[0.38889, 0.125, 0.33333]",0.52273,0.46193,"[0.63636, 0.26667, 0.48276]",421,134,0.49889,1.90532,COMPLETED
31,20251127_185435,gaitgl_GREW_BNNeck.csv,gaitgl.csv,MLP,42,103,"[512, 256]",0.9,[],[],,mean,L2,64,2,512,silu,RMSprop,,0.001,1e-07,True,0.09588,4.30444,0.36364,0.34161,"[0.37838, 0.22222, 0.42424]",0.45455,0.40926,"[0.53333, 0.25, 0.44444]",327,304,0.1681,3.50098,COMPLETED
