id,timestamp,target_embedding,top_variant,source_params,model,seed,input_dim,hidden_layers,norm_layers,dropout_layers,dropout_rate,activation,base_dim,batch_size,num_layers,pooling,norm,optimizer,momentum_sgd,learning_rate,weight_decay,use_pca,pca_frac,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
37,20260111_181512,gaitset_OUMVLP_LOW30.csv,30%,Preset_14,MLP,42,256,"[160, 320, 640]",[2],"[1, 2]",0.2,relu,640,128,3,mean,L2,AdamW,,0.0002,1e-07,False,,0.13377,2.34561,0.47727,0.41204,"[0.5, 0.125, 0.61111]",1154,0.15366,2.00644,0.56818,0.50992,"[0.61905, 0.28571, 0.625]",871,STOPPED,38.598
38,20260111_181512,gln_phase1_LOW30.csv,30%,Preset_14,MLP,42,256,"[160, 320, 640]",[2],"[1, 2]",0.2,relu,640,128,3,mean,L2,AdamW,,0.0002,1e-07,False,,0.11556,1.76647,0.5,0.45845,"[0.57143, 0.33333, 0.47059]",275,0.13234,1.8543,0.54545,0.49899,"[0.61905, 0.36364, 0.51429]",240,COMPLETED,9.343
39,20260111_181512,gln_phase2_LOW30.csv,30%,Preset_14,MLP,42,256,"[160, 320, 640]",[2],"[1, 2]",0.2,relu,640,128,3,mean,L2,AdamW,,0.0002,1e-07,False,,0.11667,2.06271,0.47727,0.32908,"[0.61224, 0.0, 0.375]",266,0.34043,1.76587,0.5,0.41731,"[0.6383, 0.25, 0.36364]",82,COMPLETED,9.136

40,20260111_181512,baseline_CASIAB_LOW30.csv,30%,Preset_40,MLP,42,256,"[896, 576, 288]","[1, 2, 3]","[1, 2]",0.45,silu,896,80,3,max,minmax,AdamW,,0.001,5e-05,False,,0.10917,2.4356,0.47727,0.43674,"[0.57778, 0.31579, 0.41667]",339,0.12037,2.37684,0.52273,0.49353,"[0.61905, 0.4, 0.46154]",322,COMPLETED,14.001
41,20260111_181512,baseline_OUMVLP_LOW30.csv,30%,Preset_40,MLP,42,256,"[896, 576, 288]","[1, 2, 3]","[1, 2]",0.45,silu,896,80,3,max,minmax,AdamW,,0.001,5e-05,False,,0.10651,2.36904,0.47727,0.45791,"[0.48889, 0.4, 0.48485]",354,0.19314,2.01707,0.52273,0.52883,"[0.51163, 0.54545, 0.52941]",305,COMPLETED,14.146
42,20260111_181512,gaitgl_GREW_BNNeck_LOW30.csv,30%,Preset_40,MLP,42,256,"[896, 576, 288]","[1, 2, 3]","[1, 2]",0.45,silu,896,80,3,max,minmax,AdamW,,0.001,5e-05,False,,0.11992,2.16497,0.5,0.39927,"[0.62745, 0.2, 0.37037]",317,0.17638,1.98232,0.54545,0.49722,"[0.625, 0.4, 0.46667]",173,COMPLETED,13.1
43,20260111_181512,gaitgl_GREW_LOW30.csv,30%,Preset_40,MLP,42,256,"[896, 576, 288]","[1, 2, 3]","[1, 2]",0.45,silu,896,80,3,max,minmax,AdamW,,0.001,5e-05,False,,0.10375,2.45701,0.45455,0.37393,"[0.53846, 0.16667, 0.41667]",266,0.47912,1.38067,0.52273,0.42564,"[0.61538, 0.2, 0.46154]",53,COMPLETED,10.779
44,20260111_181512,gaitgl_LOW30.csv,30%,Preset_40,MLP,42,128,"[896, 576, 288]","[1, 2, 3]","[1, 2]",0.45,silu,896,80,3,max,minmax,AdamW,,0.001,5e-05,False,,0.11465,2.01338,0.45455,0.33843,"[0.55814, 0.0, 0.45714]",233,0.14877,1.89914,0.5,0.42571,"[0.53659, 0.2, 0.54054]",227,COMPLETED,9.437
45,20260111_181512,gaitgl_OUMVLP_LOW30.csv,30%,Preset_40,MLP,42,256,"[896, 576, 288]","[1, 2, 3]","[1, 2]",0.45,silu,896,80,3,max,minmax,AdamW,,0.001,5e-05,False,,0.12689,3.18494,0.43182,0.41608,"[0.54054, 0.4, 0.30769]",552,0.63613,1.24238,0.52273,0.50079,"[0.57143, 0.44444, 0.48649]",153,STOPPED,21.823
46,20260111_181512,gaitpart_GREW_LOW30.csv,30%,Preset_40,MLP,42,256,"[896, 576, 288]","[1, 2, 3]","[1, 2]",0.45,silu,896,80,3,max,minmax,AdamW,,0.001,5e-05,False,,0.11718,2.30645,0.54545,0.52551,"[0.63636, 0.55556, 0.38462]",382,0.11252,2.19445,0.56818,0.53796,"[0.60465, 0.42857, 0.58065]",354,COMPLETED,15.436
47,20260111_181512,gaitpart_OUMVLP_LOW30.csv,30%,Preset_40,MLP,42,256,"[896, 576, 288]","[1, 2, 3]","[1, 2]",0.45,silu,896,80,3,max,minmax,AdamW,,0.001,5e-05,False,,0.10478,2.15548,0.5,0.42358,"[0.57143, 0.15385, 0.54545]",570,0.13908,2.05215,0.63636,0.58796,"[0.61111, 0.375, 0.77778]",296,COMPLETED,23.475
48,20260111_181512,gaitset_GREW_LOW30.csv,30%,Preset_40,MLP,42,256,"[896, 576, 288]","[1, 2, 3]","[1, 2]",0.45,silu,896,80,3,max,minmax,AdamW,,0.001,5e-05,False,,0.10992,2.77231,0.34091,0.22122,"[0.5098, 0.0, 0.15385]",470,0.13542,2.26588,0.47727,0.43425,"[0.45714, 0.26667, 0.57895]",394,COMPLETED,19.032
49,20260111_181512,gaitset_LOW30.csv,30%,Preset_40,MLP,42,256,"[896, 576, 288]","[1, 2, 3]","[1, 2]",0.45,silu,896,80,3,max,minmax,AdamW,,0.001,5e-05,False,,0.10988,2.25224,0.5,0.43865,"[0.61224, 0.33333, 0.37037]",363,0.24399,2.19889,0.52273,0.45819,"[0.6383, 0.30769, 0.42857]",164,COMPLETED,13.874
50,20260111_181512,gaitset_OUMVLP_LOW30.csv,30%,Preset_40,MLP,42,256,"[896, 576, 288]","[1, 2, 3]","[1, 2]",0.45,silu,896,80,3,max,minmax,AdamW,,0.001,5e-05,False,,0.11275,1.69867,0.47727,0.35,"[0.58333, 0.0, 0.46667]",656,0.11077,1.92494,0.52273,0.44048,"[0.58333, 0.16667, 0.57143]",648,COMPLETED,25.444
51,20260111_181512,gln_phase1_LOW30.csv,30%,Preset_40,MLP,42,256,"[896, 576, 288]","[1, 2, 3]","[1, 2]",0.45,silu,896,80,3,max,minmax,AdamW,,0.001,5e-05,False,,0.11638,2.02714,0.54545,0.46211,"[0.6, 0.22222, 0.5641]",337,0.57937,1.36567,0.54545,0.49537,"[0.66667, 0.375, 0.44444]",70,COMPLETED,13.461
52,20260111_181512,gln_phase2_LOW30.csv,30%,Preset_40,MLP,42,256,"[896, 576, 288]","[1, 2, 3]","[1, 2]",0.45,silu,896,80,3,max,minmax,AdamW,,0.001,5e-05,False,,0.11939,2.84243,0.38636,0.29375,"[0.51282, 0.0, 0.36842]",358,0.13992,2.27297,0.52273,0.43452,"[0.65116, 0.18182, 0.47059]",278,COMPLETED,14.167

53,20260111_181512,baseline_CASIAB_LOW30.csv,30%,Preset_57,MLP,42,256,"[768, 512, 256]","[1, 2, 3]","[1, 2]",0.4,silu,768,88,3,mean,L2,Adam,,0.0002,1e-07,False,,0.11125,2.27797,0.54545,0.50297,"[0.65116, 0.375, 0.48276]",164,0.11125,2.27797,0.54545,0.50297,"[0.65116, 0.375, 0.48276]",164,COMPLETED,6.752
54,20260111_181512,baseline_OUMVLP_LOW30.csv,30%,Preset_57,MLP,42,256,"[768, 512, 256]","[1, 2, 3]","[1, 2]",0.4,silu,768,88,3,mean,L2,Adam,,0.0002,1e-07,False,,0.11945,1.974,0.54545,0.53519,"[0.55, 0.5, 0.55556]",193,0.12989,1.66421,0.63636,0.62103,"[0.66667, 0.57143, 0.625]",179,COMPLETED,7.914
55,20260111_181512,gaitgl_GREW_BNNeck_LOW30.csv,30%,Preset_57,MLP,42,256,"[768, 512, 256]","[1, 2, 3]","[1, 2]",0.4,silu,768,88,3,mean,L2,Adam,,0.0002,1e-07,False,,0.11451,2.34862,0.45455,0.38033,"[0.53061, 0.18182, 0.42857]",118,0.11621,2.57261,0.47727,0.42125,"[0.57143, 0.30769, 0.38462]",116,COMPLETED,4.602
