id,timestamp,target_embedding,top_variant,source_params,model,seed,input_dim,hidden_layers,norm_layers,dropout_layers,dropout_rate,activation,base_dim,batch_size,num_layers,pooling,norm,optimizer,momentum_sgd,learning_rate,weight_decay,use_pca,pca_frac,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
25,20260111_181512,gln_phase1_LOW70.csv,70%,Preset_50,MLP,42,256,"[384, 256, 128]",[3],"[1, 2]",0.2,leakyrelu,384,48,3,mean,nan,Adam,,0.0008,0.0,False,,0.10657,2.17153,0.45455,0.38302,"[0.42424, 0.16667, 0.55814]",114,0.12005,2.03315,0.54545,0.44833,"[0.64, 0.22222, 0.48276]",83,COMPLETED,5.869
26,20260111_181512,gln_phase2_LOW70.csv,70%,Preset_50,MLP,42,256,"[384, 256, 128]",[3],"[1, 2]",0.2,leakyrelu,384,48,3,mean,nan,Adam,,0.0008,0.0,False,,0.11726,2.63123,0.45455,0.34848,"[0.5, 0.0, 0.54545]",90,0.13459,2.16331,0.52273,0.38316,"[0.58537, 0.0, 0.5641]",84,COMPLETED,4.82

27,20260111_181512,baseline_CASIAB_LOW70.csv,70%,Preset_56,MLP,42,52,"[768, 512, 256]","[1, 2, 3]",[],0.4,leakyrelu,768,128,3,mean,L2,Adam,,0.00025,5e-06,True,0.8,0.10884,1.70128,0.45455,0.37909,"[0.54167, 0.18182, 0.41379]",53,0.35886,1.32544,0.5,0.47612,"[0.4878, 0.4, 0.54054]",28,COMPLETED,1.787
28,20260111_181512,baseline_OUMVLP_LOW70.csv,70%,Preset_56,MLP,42,46,"[768, 512, 256]","[1, 2, 3]",[],0.4,leakyrelu,768,128,3,mean,L2,Adam,,0.00025,5e-06,True,0.8,0.10702,1.67364,0.52273,0.44473,"[0.54054, 0.22222, 0.57143]",93,0.42272,1.15893,0.61364,0.58406,"[0.65217, 0.5, 0.6]",43,COMPLETED,2.702
29,20260111_181512,gaitgl_GREW_BNNeck_LOW70.csv,70%,Preset_56,MLP,42,60,"[768, 512, 256]","[1, 2, 3]",[],0.4,leakyrelu,768,128,3,mean,L2,Adam,,0.00025,5e-06,True,0.8,0.10673,1.75196,0.36364,0.33536,"[0.43902, 0.22222, 0.34483]",53,0.12106,1.70845,0.56818,0.48652,"[0.67925, 0.36364, 0.41667]",44,COMPLETED,1.999
30,20260111_181512,gaitgl_GREW_LOW70.csv,70%,Preset_56,MLP,42,85,"[768, 512, 256]","[1, 2, 3]",[],0.4,leakyrelu,768,128,3,mean,L2,Adam,,0.00025,5e-06,True,0.8,0.10715,1.69641,0.47727,0.35,"[0.58333, 0.0, 0.46667]",75,0.12286,1.838,0.52273,0.4271,"[0.62745, 0.15385, 0.5]",69,COMPLETED,2.396
31,20260111_181512,gaitgl_LOW70.csv,70%,Preset_56,MLP,42,44,"[768, 512, 256]","[1, 2, 3]",[],0.4,leakyrelu,768,128,3,mean,L2,Adam,,0.00025,5e-06,True,0.8,0.1085,2.07118,0.34091,0.29841,"[0.32258, 0.11111, 0.46154]",73,0.20143,1.52568,0.52273,0.45023,"[0.5641, 0.25, 0.53659]",45,COMPLETED,2.32
32,20260111_181512,gaitgl_OUMVLP_LOW70.csv,70%,Preset_56,MLP,42,57,"[768, 512, 256]","[1, 2, 3]",[],0.4,leakyrelu,768,128,3,mean,L2,Adam,,0.00025,5e-06,True,0.8,0.10791,2.44015,0.38636,0.33913,"[0.37838, 0.2, 0.43902]",293,0.50594,2.11585,0.43182,0.43718,"[0.4, 0.46154, 0.45]",271,COMPLETED,8.756
33,20260111_181512,gaitpart_GREW_LOW70.csv,70%,Preset_56,MLP,42,65,"[768, 512, 256]","[1, 2, 3]",[],0.4,leakyrelu,768,128,3,mean,L2,Adam,,0.00025,5e-06,True,0.8,0.11043,1.24673,0.56818,0.38272,"[0.7037, 0.0, 0.44444]",79,0.27089,1.19657,0.59091,0.53779,"[0.7234, 0.52632, 0.36364]",50,COMPLETED,2.34
34,20260111_181512,gaitpart_OUMVLP_LOW70.csv,70%,Preset_56,MLP,42,58,"[768, 512, 256]","[1, 2, 3]",[],0.4,leakyrelu,768,128,3,mean,L2,Adam,,0.00025,5e-06,True,0.8,0.1083,2.46954,0.36364,0.3209,"[0.55, 0.19048, 0.22222]",195,0.42194,1.36682,0.59091,0.54339,"[0.61111, 0.4, 0.61905]",110,COMPLETED,5.712
35,20260111_181512,gaitset_GREW_LOW70.csv,70%,Preset_56,MLP,42,74,"[768, 512, 256]","[1, 2, 3]",[],0.4,leakyrelu,768,128,3,mean,L2,Adam,,0.00025,5e-06,True,0.8,0.1134,1.40168,0.52273,0.38333,"[0.55, 0.0, 0.6]",47,0.11268,1.33163,0.59091,0.55075,"[0.63636, 0.44444, 0.57143]",44,COMPLETED,1.849
36,20260111_181512,gaitset_LOW70.csv,70%,Preset_56,MLP,42,35,"[768, 512, 256]","[1, 2, 3]",[],0.4,leakyrelu,768,128,3,mean,L2,Adam,,0.00025,5e-06,True,0.8,0.10836,1.9337,0.31818,0.31161,"[0.27586, 0.3, 0.35897]",57,0.12748,1.60497,0.43182,0.43084,"[0.45161, 0.41667, 0.42424]",45,COMPLETED,1.867
37,20260111_181512,gaitset_OUMVLP_LOW70.csv,70%,Preset_56,MLP,42,54,"[768, 512, 256]","[1, 2, 3]",[],0.4,leakyrelu,768,128,3,mean,L2,Adam,,0.00025,5e-06,True,0.8,0.10681,1.60593,0.47727,0.34201,"[0.61224, 0.0, 0.41379]",164,0.1062,1.78721,0.56818,0.52762,"[0.68182, 0.42105, 0.48]",163,COMPLETED,4.927
38,20260111_181512,gln_phase1_LOW70.csv,70%,Preset_56,MLP,42,54,"[768, 512, 256]","[1, 2, 3]",[],0.4,leakyrelu,768,128,3,mean,L2,Adam,,0.00025,5e-06,True,0.8,0.10782,1.55138,0.56818,0.42062,"[0.68293, 0.0, 0.57895]",59,0.10782,1.55138,0.56818,0.42062,"[0.68293, 0.0, 0.57895]",59,COMPLETED,1.767
