id,timestamp,target_embedding,source_params,model,seed,input_dim,hidden_layers,pooling,norm,batch_size,num_layers,base_dim,activation,dropout_rate,learning_rate,weight_decay,use_pca,pca_frac,norm_layer,do_layer,train_loss,accuracy,epochs_trained,f1_macro,best_f1,best_epoch,best_state_loss,training
191,20250827_203929,gaitset.csv,Personalizado,MLP,42,22,"[512, 256, 128]",mean,L2,64,3,512,elu,0.4,0.0001,0.0,True,0.7,2,3,0.00407,0.40909,1696,0.3261,0.44854,1587,0.16762,COMPLETED
192,20250827_203929,gaitset_GREW.csv,Personalizado,MLP,42,49,"[512, 256, 128]",mean,L2,64,3,512,elu,0.4,0.0001,0.0,True,0.7,2,3,0.00466,0.38636,702,0.31026,0.51493,355,0.15723,COMPLETED
193,20250827_203929,gaitset_OUMVLP.csv,Personalizado,MLP,42,34,"[512, 256, 128]",mean,L2,64,3,512,elu,0.4,0.0001,0.0,True,0.7,2,3,0.0037,0.45455,1900,0.34144,0.48815,1225,0.17862,COMPLETED
194,20250827_203929,gln_phase1.csv,Personalizado,MLP,42,30,"[512, 256, 128]",mean,L2,64,3,512,elu,0.4,0.0001,0.0,True,0.7,2,3,0.00429,0.52273,1007,0.50635,0.56703,666,0.06387,COMPLETED
195,20250827_203929,gln_phase2.csv,Personalizado,MLP,42,33,"[512, 256, 128]",mean,L2,64,3,512,elu,0.4,0.0001,0.0,True,0.7,2,3,0.00415,0.38636,924,0.33488,0.44339,425,0.19231,COMPLETED

196,20250828_151722,baseline_CASIAB.csv,Personalizado,MLP,42,49,"[512, 256, 128]",mean,minmax,128,3,512,leakyrelu,0.5,0.001,1e-05,True,0.8,1,2,0.00378,0.52273,119,0.47465,0.53037,72,0.05782,COMPLETED
197,20250828_151722,baseline_OUMVLP.csv,Personalizado,MLP,42,47,"[512, 256, 128]",mean,minmax,128,3,512,leakyrelu,0.5,0.001,1e-05,True,0.8,1,2,0.00445,0.52273,141,0.47919,0.56923,59,0.17531,COMPLETED
198,20250828_151722,gaitgl.csv,Personalizado,MLP,42,34,"[512, 256, 128]",mean,minmax,128,3,512,leakyrelu,0.5,0.001,1e-05,True,0.8,1,2,0.00352,0.5,210,0.46714,0.55307,107,0.05912,COMPLETED
199,20250828_151722,gaitgl_GREW.csv,Personalizado,MLP,42,69,"[512, 256, 128]",mean,minmax,128,3,512,leakyrelu,0.5,0.001,1e-05,True,0.8,1,2,0.00419,0.5,86,0.37879,0.39491,74,0.0141,COMPLETED
200,20250828_151722,gaitgl_GREW_BNNeck.csv,Personalizado,MLP,42,63,"[512, 256, 128]",mean,minmax,128,3,512,leakyrelu,0.5,0.001,1e-05,True,0.8,1,2,0.00246,0.43182,97,0.32593,0.50051,71,0.01458,COMPLETED
201,20250828_151722,gaitgl_OUMVLP.csv,Personalizado,MLP,42,37,"[512, 256, 128]",mean,minmax,128,3,512,leakyrelu,0.5,0.001,1e-05,True,0.8,1,2,0.00298,0.59091,199,0.55385,0.61573,95,0.10442,COMPLETED
202,20250828_151722,gaitpart_GREW.csv,Personalizado,MLP,42,70,"[512, 256, 128]",mean,minmax,128,3,512,leakyrelu,0.5,0.001,1e-05,True,0.8,1,2,0.00469,0.47727,81,0.38478,0.48384,45,0.05632,COMPLETED
203,20250828_151722,gaitpart_OUMVLP.csv,Personalizado,MLP,42,58,"[512, 256, 128]",mean,minmax,128,3,512,leakyrelu,0.5,0.001,1e-05,True,0.8,1,2,0.00349,0.59091,77,0.43728,0.54346,34,0.16985,COMPLETED
204,20250828_151722,gaitset.csv,Personalizado,MLP,42,40,"[512, 256, 128]",mean,minmax,128,3,512,leakyrelu,0.5,0.001,1e-05,True,0.8,1,2,0.00246,0.43182,150,0.37642,0.42405,128,0.00475,COMPLETED
205,20250828_151722,gaitset_GREW.csv,Personalizado,MLP,42,72,"[512, 256, 128]",mean,minmax,128,3,512,leakyrelu,0.5,0.001,1e-05,True,0.8,1,2,0.00448,0.47727,79,0.35,0.46877,37,0.09305,COMPLETED
206,20250828_151722,gaitset_OUMVLP.csv,Personalizado,MLP,42,55,"[512, 256, 128]",mean,minmax,128,3,512,leakyrelu,0.5,0.001,1e-05,True,0.8,1,2,0.00361,0.47727,134,0.45833,0.4743,118,0.00418,COMPLETED
207,20250828_151722,gln_phase1.csv,Personalizado,MLP,42,52,"[512, 256, 128]",mean,minmax,128,3,512,leakyrelu,0.5,0.001,1e-05,True,0.8,1,2,0.00257,0.45455,101,0.37834,0.52076,60,0.03563,COMPLETED
208,20250828_151722,gln_phase2.csv,Personalizado,MLP,42,56,"[512, 256, 128]",mean,minmax,128,3,512,leakyrelu,0.5,0.001,1e-05,True,0.8,1,2,0.00248,0.36364,94,0.30266,0.4205,42,0.13377,COMPLETED

209,20250828_151907,baseline_CASIAB.csv,Personalizado,MLP,42,84,"[256, 128]",mean,minmax,64,2,256,leakyrelu,0.5,0.001,1e-05,True,0.9,1,2,0.00352,0.43182,68,0.31533,0.44314,44,0.01642,COMPLETED
210,20250828_151907,baseline_OUMVLP.csv,Personalizado,MLP,42,82,"[256, 128]",mean,minmax,64,2,256,leakyrelu,0.5,0.001,1e-05,True,0.9,1,2,0.00372,0.52273,67,0.44147,0.56931,49,0.00872,COMPLETED
211,20250828_151907,gaitgl.csv,Personalizado,MLP,42,59,"[256, 128]",mean,minmax,64,2,256,leakyrelu,0.5,0.001,1e-05,True,0.9,1,2,0.00287,0.5,79,0.36424,0.44335,72,0.00499,COMPLETED
212,20250828_151907,gaitgl_GREW.csv,Personalizado,MLP,42,112,"[256, 128]",mean,minmax,64,2,256,leakyrelu,0.5,0.001,1e-05,True,0.9,1,2,0.00365,0.34091,57,0.24164,0.30313,22,0.09035,COMPLETED
213,20250828_151907,gaitgl_GREW_BNNeck.csv,Personalizado,MLP,42,103,"[256, 128]",mean,minmax,64,2,256,leakyrelu,0.5,0.001,1e-05,True,0.9,1,2,0.00343,0.45455,52,0.32841,0.34286,25,0.06801,COMPLETED
214,20250828_151907,gaitgl_OUMVLP.csv,Personalizado,MLP,42,78,"[256, 128]",mean,minmax,64,2,256,leakyrelu,0.5,0.001,1e-05,True,0.9,1,2,0.00444,0.5,74,0.46407,0.60504,33,0.06426,COMPLETED
215,20250828_151907,gaitpart_GREW.csv,Personalizado,MLP,42,108,"[256, 128]",mean,minmax,64,2,256,leakyrelu,0.5,0.001,1e-05,True,0.9,1,2,0.00233,0.52273,51,0.45397,0.52053,26,0.02386,COMPLETED
216,20250828_151907,gaitpart_OUMVLP.csv,Personalizado,MLP,42,95,"[256, 128]",mean,minmax,64,2,256,leakyrelu,0.5,0.001,1e-05,True,0.9,1,2,0.0036,0.61364,50,0.45752,0.48356,37,0.0101,COMPLETED
217,20250828_151907,gaitset.csv,Personalizado,MLP,42,72,"[256, 128]",mean,minmax,64,2,256,leakyrelu,0.5,0.001,1e-05,True,0.9,1,2,0.00326,0.43182,80,0.31849,0.46725,42,0.05004,COMPLETED
218,20250828_151907,gaitset_GREW.csv,Personalizado,MLP,42,112,"[256, 128]",mean,minmax,64,2,256,leakyrelu,0.5,0.001,1e-05,True,0.9,1,2,0.00366,0.40909,51,0.3088,0.38617,36,0.01134,COMPLETED
219,20250828_151907,gaitset_OUMVLP.csv,Personalizado,MLP,42,93,"[256, 128]",mean,minmax,64,2,256,leakyrelu,0.5,0.001,1e-05,True,0.9,1,2,0.0044,0.36364,60,0.27049,0.2986,32,0.03395,COMPLETED
220,20250828_151907,gln_phase1.csv,Personalizado,MLP,42,90,"[256, 128]",mean,minmax,64,2,256,leakyrelu,0.5,0.001,1e-05,True,0.9,1,2,0.00326,0.52273,57,0.38481,0.5,34,0.01531,COMPLETED
221,20250828_151907,gln_phase2.csv,Personalizado,MLP,42,96,"[256, 128]",mean,minmax,64,2,256,leakyrelu,0.5,0.001,1e-05,True,0.9,1,2,0.00375,0.45455,62,0.41403,0.43651,24,0.09378,COMPLETED

222,20250828_154348,baseline_CASIAB.csv,Personalizado,MLP,42,40,"[512, 256, 128]",mean,L2,96,3,512,leakyrelu,0.5,0.0001,1e-07,True,0.75,3,3,0.00491,0.40909,735,0.33389,0.42605,306,0.07516,COMPLETED
223,20250828_154348,baseline_OUMVLP.csv,Personalizado,MLP,42,34,"[512, 256, 128]",mean,L2,96,3,512,leakyrelu,0.5,0.0001,1e-07,True,0.75,3,3,0.00461,0.54545,827,0.49506,0.59756,375,0.13438,COMPLETED
224,20250828_154348,gaitgl.csv,Personalizado,MLP,42,34,"[512, 256, 128]",mean,L2,96,3,512,leakyrelu,0.5,0.0001,1e-07,True,0.75,3,3,0.00452,0.38636,741,0.37222,0.41396,255,0.1825,COMPLETED
225,20250828_154348,gaitgl_GREW.csv,Personalizado,MLP,42,69,"[512, 256, 128]",mean,L2,96,3,512,leakyrelu,0.5,0.0001,1e-07,True,0.75,3,3,0.00409,0.54545,783,0.39427,0.45995,512,0.01651,COMPLETED
226,20250828_154348,gaitgl_GREW_BNNeck.csv,Personalizado,MLP,42,50,"[512, 256, 128]",mean,L2,96,3,512,leakyrelu,0.5,0.0001,1e-07,True,0.75,3,3,0.00358,0.45455,589,0.45014,0.52876,245,0.05105,COMPLETED
