id,timestamp,target_embedding,source_params,model,seed,pooling,norm,batch_size,n_layers,base_dim,activation,dropout_rate,learning_rate,weight_decay,use_pca,pca_frac,norm_layer,do_layer,train_loss,accuracy,epochs_trained,f1_macro,best_f1,best_epoch,best_state_loss
52,20250824_195509,gaitset.csv,gaitgl_GREW.csv,MLP,42,max,L2,128,2,128,gelu,0.2,0.0001,0.0,True,0.85,1,2,0.00455,0.5,1354,0.39795,0.45204,714,0.18719
53,20250824_195509,gaitset_GREW.csv,gaitgl_GREW.csv,MLP,42,max,L2,128,2,128,gelu,0.2,0.0001,0.0,True,0.85,1,2,0.00472,0.40909,1176,0.29593,0.32313,858,0.03176
54,20250824_195509,gaitset_OUMVLP.csv,gaitgl_GREW.csv,MLP,42,max,L2,128,2,128,gelu,0.2,0.0001,0.0,True,0.85,1,2,0.00478,0.54545,2773,0.45455,0.53434,2003,0.17656
55,20250824_195509,gln_phase1.csv,gaitgl_GREW.csv,MLP,42,max,L2,128,2,128,gelu,0.2,0.0001,0.0,True,0.85,1,2,0.00419,0.45455,1482,0.32982,0.37884,900,0.10852
56,20250824_195509,gln_phase2.csv,gaitgl_GREW.csv,MLP,42,max,L2,128,2,128,gelu,0.2,0.0001,0.0,True,0.85,1,2,0.0049,0.40909,1444,0.29899,0.3342,1018,0.0292

57,20250824_195928,baseline_CASIAB.csv,gaitgl_GREW_BNNeck.csv,MLP,42,mean,L2,64,2,256,silu,0.5,0.0001,0.0001,False,,1,2,0.00409,0.5,365,0.40868,0.53961,249,0.01557
58,20250824_195928,baseline_OUMVLP.csv,gaitgl_GREW_BNNeck.csv,MLP,42,mean,L2,64,2,256,silu,0.5,0.0001,0.0001,False,,1,2,0.00494,0.45455,421,0.39204,0.44378,179,0.12826
59,20250824_195928,gaitgl.csv,gaitgl_GREW_BNNeck.csv,MLP,42,mean,L2,64,2,256,silu,0.5,0.0001,0.0001,False,,1,2,0.00416,0.5,514,0.36944,0.38682,275,0.04922
60,20250824_195928,gaitgl_GREW.csv,gaitgl_GREW_BNNeck.csv,MLP,42,mean,L2,64,2,256,silu,0.5,0.0001,0.0001,False,,1,2,0.00385,0.36364,468,0.28407,0.47161,228,0.10207
61,20250824_195928,gaitgl_GREW_BNNeck.csv,gaitgl_GREW_BNNeck.csv,MLP,42,mean,L2,64,2,256,silu,0.5,0.0001,0.0001,False,,1,2,0.00418,0.34091,347,0.25679,0.35882,137,0.15522
62,20250824_195928,gaitgl_OUMVLP.csv,gaitgl_GREW_BNNeck.csv,MLP,42,mean,L2,64,2,256,silu,0.5,0.0001,0.0001,False,,1,2,0.00374,0.5,1213,0.45964,0.55593,707,0.1675
63,20250824_195928,gaitpart.csv,gaitgl_GREW_BNNeck.csv,MLP,42,mean,L2,64,2,256,silu,0.5,0.0001,0.0001,False,,1,2,0.00349,0.33333,727,0.19048,0.19048,313,0.19775
64,20250824_195928,gaitpart_GREW.csv,gaitgl_GREW_BNNeck.csv,MLP,42,mean,L2,64,2,256,silu,0.5,0.0001,0.0001,False,,1,2,0.00441,0.43182,412,0.38385,0.44885,189,0.10825
65,20250824_195928,gaitpart_OUMVLP.csv,gaitgl_GREW_BNNeck.csv,MLP,42,mean,L2,64,2,256,silu,0.5,0.0001,0.0001,False,,1,2,0.00485,0.59091,740,0.53488,0.64244,550,0.0183
66,20250824_195928,gaitset.csv,gaitgl_GREW_BNNeck.csv,MLP,42,mean,L2,64,2,256,silu,0.5,0.0001,0.0001,False,,1,2,0.00483,0.47727,367,0.40923,0.40923,215,0.03225
67,20250824_195928,gaitset_GREW.csv,gaitgl_GREW_BNNeck.csv,MLP,42,mean,L2,64,2,256,silu,0.5,0.0001,0.0001,False,,1,2,0.00449,0.59091,385,0.4368,0.4721,156,0.16482
