id,timestamp,target_embedding,source_params,model,seed,input_dim,hidden_layers,pooling,norm,batch_size,num_layers,base_dim,activation,dropout_rate,optimizer,learning_rate,weight_decay,use_pca,pca_frac,norm_layer,do_layer,train_loss,accuracy,epochs_trained,f1_macro,best_f1,best_epoch,best_state_loss,training
19,20250826_192643,gaitgl_OUMVLP.csv,baseline_OUMVLP.csv,MLP,42,256,"[512, 256]",mean,minmax,16,2,512,leakyrelu,0.5,Adam,0.001,0.0001,False,,[1],[2],0.00058,0.43182,276,0.39481,0.46906,247,0.01836,COMPLETED
20,20250826_192643,gaitpart_GREW.csv,baseline_OUMVLP.csv,MLP,42,256,"[512, 256]",mean,minmax,16,2,512,leakyrelu,0.5,Adam,0.001,0.0001,False,,[1],[2],0.00046,0.45455,134,0.3877,0.42963,128,0.01455,COMPLETED
21,20250826_192643,gaitpart_OUMVLP.csv,baseline_OUMVLP.csv,MLP,42,256,"[512, 256]",mean,minmax,16,2,512,leakyrelu,0.5,Adam,0.001,0.0001,False,,[1],[2],0.00043,0.47727,147,0.35859,0.48234,134,0.12639,COMPLETED
22,20250826_192643,gaitset.csv,baseline_OUMVLP.csv,MLP,42,256,"[512, 256]",mean,minmax,16,2,512,leakyrelu,0.5,Adam,0.001,0.0001,False,,[1],[2],0.00043,0.40909,192,0.36422,0.41386,183,0.09331,COMPLETED
23,20250826_192643,gaitset_GREW.csv,baseline_OUMVLP.csv,MLP,42,256,"[512, 256]",mean,minmax,16,2,512,leakyrelu,0.5,Adam,0.001,0.0001,False,,[1],[2],0.00264,0.52273,148,0.42986,0.49239,141,0.00699,COMPLETED
24,20250826_192643,gaitset_OUMVLP.csv,baseline_OUMVLP.csv,MLP,42,256,"[512, 256]",mean,minmax,16,2,512,leakyrelu,0.5,Adam,0.001,0.0001,False,,[1],[2],0.00036,0.40909,146,0.31277,0.36508,107,0.1396,COMPLETED
25,20250826_192643,gln_phase1.csv,baseline_OUMVLP.csv,MLP,42,256,"[512, 256]",mean,minmax,16,2,512,leakyrelu,0.5,Adam,0.001,0.0001,False,,[1],[2],0.00037,0.45455,138,0.38762,0.47844,110,0.08152,COMPLETED
26,20250826_192643,gln_phase2.csv,baseline_OUMVLP.csv,MLP,42,256,"[512, 256]",mean,minmax,16,2,512,leakyrelu,0.5,Adam,0.001,0.0001,False,,[1],[2],0.00071,0.5,159,0.42358,0.45872,135,0.00618,COMPLETED

27,20250826_192832,baseline_CASIAB.csv,gaitgl.csv,MLP,42,49,"[512, 256]",mean,minmax,128,2,512,silu,0.3,Adam,0.0001,1e-06,True,0.8,[1],[1],0.00968,0.54545,1457,0.50396,0.55003,866,0.04742,STOPPED
28,20250826_192832,baseline_OUMVLP.csv,gaitgl.csv,MLP,42,47,"[512, 256]",mean,minmax,128,2,512,silu,0.3,Adam,0.0001,1e-06,True,0.8,[1],[1],0.00846,0.61364,1625,0.59918,0.6322,924,0.03551,STOPPED
29,20250826_192832,gaitgl.csv,gaitgl.csv,MLP,42,34,"[512, 256]",mean,minmax,128,2,512,silu,0.3,Adam,0.0001,1e-06,True,0.8,[1],[1],0.00749,0.45455,2447,0.38959,0.46506,890,0.178,STOPPED
30,20250826_192832,gaitgl_GREW.csv,gaitgl.csv,MLP,42,69,"[512, 256]",mean,minmax,128,2,512,silu,0.3,Adam,0.0001,1e-06,True,0.8,[1],[1],0.00719,0.47727,1498,0.36317,0.43871,1053,0.01641,STOPPED
31,20250826_192832,gaitgl_GREW_BNNeck.csv,gaitgl.csv,MLP,42,63,"[512, 256]",mean,minmax,128,2,512,silu,0.3,Adam,0.0001,1e-06,True,0.8,[1],[1],0.00308,0.43182,1648,0.31849,0.37861,351,0.17803,COMPLETED
32,20250826_192832,gaitgl_OUMVLP.csv,gaitgl.csv,MLP,42,37,"[512, 256]",mean,minmax,128,2,512,silu,0.3,Adam,0.0001,1e-06,True,0.8,[1],[1],0.00705,0.52273,2457,0.4836,0.57978,1892,0.02957,STOPPED
33,20250826_192832,gaitpart_GREW.csv,gaitgl.csv,MLP,42,70,"[512, 256]",mean,minmax,128,2,512,silu,0.3,Adam,0.0001,1e-06,True,0.8,[1],[1],0.00467,0.47727,1324,0.33777,0.42929,730,0.02882,COMPLETED
34,20250826_192832,gaitpart_OUMVLP.csv,gaitgl.csv,MLP,42,58,"[512, 256]",mean,minmax,128,2,512,silu,0.3,Adam,0.0001,1e-06,True,0.8,[1],[1],0.00954,0.61364,1154,0.50867,0.57702,418,0.13627,STOPPED
35,20250826_192832,gaitset.csv,gaitgl.csv,MLP,42,40,"[512, 256]",mean,minmax,128,2,512,silu,0.3,Adam,0.0001,1e-06,True,0.8,[1],[1],0.00992,0.40909,1874,0.34808,0.42983,1461,0.03427,STOPPED
36,20250826_192832,gaitset_GREW.csv,gaitgl.csv,MLP,42,72,"[512, 256]",mean,minmax,128,2,512,silu,0.3,Adam,0.0001,1e-06,True,0.8,[1],[1],0.00702,0.54545,1254,0.4405,0.55405,516,0.0476,STOPPED
37,20250826_192832,gaitset_OUMVLP.csv,gaitgl.csv,MLP,42,55,"[512, 256]",mean,minmax,128,2,512,silu,0.3,Adam,0.0001,1e-06,True,0.8,[1],[1],0.00973,0.54545,1520,0.41477,0.49013,996,0.01963,STOPPED
38,20250826_192832,gln_phase1.csv,gaitgl.csv,MLP,42,52,"[512, 256]",mean,minmax,128,2,512,silu,0.3,Adam,0.0001,1e-06,True,0.8,[1],[1],0.00892,0.45455,1532,0.38959,0.50899,487,0.14925,STOPPED
39,20250826_192832,gln_phase2.csv,gaitgl.csv,MLP,42,56,"[512, 256]",mean,minmax,128,2,512,silu,0.3,Adam,0.0001,1e-06,True,0.8,[1],[1],0.00479,0.47727,1457,0.40827,0.43569,1035,0.01902,COMPLETED

40,20250826_193348,baseline_CASIAB.csv,gaitgl_GREW.csv,MLP,42,75,"[128, 64]",max,L2,128,2,128,gelu,0.2,Adam,0.0001,0.0,True,0.85,[1],[2],0.00448,0.59091,1314,0.42897,0.53251,763,0.12503,COMPLETED
41,20250826_193348,baseline_OUMVLP.csv,gaitgl_GREW.csv,MLP,42,71,"[128, 64]",max,L2,128,2,128,gelu,0.2,Adam,0.0001,0.0,True,0.85,[1],[2],0.00374,0.40909,1455,0.30785,0.36364,805,0.18349,COMPLETED
42,20250826_193348,gaitgl.csv,gaitgl_GREW.csv,MLP,42,75,"[128, 64]",max,L2,128,2,128,gelu,0.2,Adam,0.0001,0.0,True,0.85,[1],[2],0.00485,0.43182,1256,0.41201,0.49753,790,0.0611,COMPLETED
43,20250826_193348,gaitgl_GREW.csv,gaitgl_GREW.csv,MLP,42,114,"[128, 64]",max,L2,128,2,128,gelu,0.2,Adam,0.0001,0.0,True,0.85,[1],[2],0.00481,0.36364,933,0.24401,0.24476,922,0.00519,COMPLETED
44,20250826_193348,gaitgl_GREW_BNNeck.csv,gaitgl_GREW.csv,MLP,42,96,"[128, 64]",max,L2,128,2,128,gelu,0.2,Adam,0.0001,0.0,True,0.85,[1],[2],0.0046,0.47727,1043,0.40921,0.48176,562,0.16526,COMPLETED
45,20250826_193348,gaitgl_OUMVLP.csv,gaitgl_GREW.csv,MLP,42,64,"[128, 64]",max,L2,128,2,128,gelu,0.2,Adam,0.0001,0.0,True,0.85,[1],[2],0.00498,0.5,2473,0.37879,0.47487,1663,0.17364,COMPLETED
46,20250826_193348,gaitpart_GREW.csv,gaitgl_GREW.csv,MLP,42,95,"[128, 64]",max,L2,128,2,128,gelu,0.2,Adam,0.0001,0.0,True,0.85,[1],[2],0.00496,0.43182,1095,0.33069,0.42504,606,0.14462,COMPLETED
