id,timestamp,target_embedding,source_params,model,seed,pooling,norm,batch_size,num_layers,base_dim,activation,dropout_rate,optimizer,learning_rate,weight_decay,use_pca,pca_frac,momentum_sgd,norm_layer,do_layer,hidden_layers,input_dim,label_smoothing,clip_grad_norm,class_weights,train_loss,test_loss,accuracy,epochs_trained,f1_macro,best_f1,best_epoch,best_state_loss,training,duration_sec
10,20251017_165003,gaitset_GREW.csv,Best_configs_v3,MLP,42,mean,L2,64,2,512,leakyrelu,0.4,Adam,0.0001,1e-06,False,,,[2],[2],"[512, 256]",256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14433,1.41205,0.38636,124,0.33064,0.47293,124,0.15328,STOPPED,9.975
11,20251017_165003,gaitset_OUMVLP.csv,Best_configs_v3,MLP,42,mean,L2,64,2,512,leakyrelu,0.4,Adam,0.0001,1e-06,False,,,[2],[2],"[512, 256]",256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14653,1.74518,0.40909,226,0.29814,0.41667,226,0.31765,STOPPED,22.678
12,20251017_165003,gln_phase1.csv,Best_configs_v3,MLP,42,mean,L2,64,2,512,leakyrelu,0.4,Adam,0.0001,1e-06,False,,,[2],[2],"[512, 256]",256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.1458,1.24095,0.52273,271,0.44229,0.58952,271,0.14609,STOPPED,9.66
13,20251017_165003,gln_phase2.csv,Best_configs_v3,MLP,42,mean,L2,64,2,512,leakyrelu,0.4,Adam,0.0001,1e-06,False,,,[2],[2],"[512, 256]",256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14419,1.53224,0.54545,328,0.46128,0.49671,328,0.14479,STOPPED,11.543

27,20251017_165003,baseline_CASIAB.csv,Best_configs_v3,MLP,42,mean,minmax,128,2,512,silu,0.3,Adam,0.0001,1e-06,True,0.8,,[1],[1],"[512, 256]",49,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.17582,1.63906,0.5,393,0.42165,0.49757,393,0.21777,STOPPED,15.283
28,20251017_165003,baseline_OUMVLP.csv,Best_configs_v3,MLP,42,mean,minmax,128,2,512,silu,0.3,Adam,0.0001,1e-06,True,0.8,,[1],[1],"[512, 256]",47,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.16734,1.16088,0.54545,304,0.53704,0.65278,304,0.24616,STOPPED,18.379
29,20251017_165003,gaitgl.csv,Best_configs_v3,MLP,42,mean,minmax,128,2,512,silu,0.3,Adam,0.0001,1e-06,True,0.8,,[1],[1],"[512, 256]",34,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.17825,1.68445,0.43182,372,0.3627,0.44162,372,0.32546,STOPPED,19.986
30,20251017_165003,gaitgl_GREW.csv,Best_configs_v3,MLP,42,mean,minmax,128,2,512,silu,0.3,Adam,0.0001,1e-06,True,0.8,,[1],[1],"[512, 256]",69,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.15632,1.5745,0.47727,1060,0.36347,0.39811,1060,0.15744,STOPPED,21.535
31,20251017_165003,gaitgl_GREW_BNNeck.csv,Best_configs_v3,MLP,42,mean,minmax,128,2,512,silu,0.3,Adam,0.0001,1e-06,True,0.8,,[1],[1],"[512, 256]",63,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.15839,1.54302,0.43182,228,0.35547,0.45512,228,0.25254,STOPPED,21.907
