run_id,arch,preset_rank,source_params,target_embedding,embedding_relpath,split_seed,best_val_f1,best_epoch,best_f1_per_class,model_path,cfg_json
22,Transformer,3,Preset_18,baseline_OUMVLP.csv,Gait_Embeddings_good/baseline_OUMVLP.csv,24,0.4795,497,"[0.5789, 0.3333, 0.5263]",,"{""norm"": ""L2"", ""model_dims"": [256, 384, 512], ""num_heads"": 16, ""num_layers"": 3, ""dim_feedforward"": 768, ""dropout"": 0.1, ""activation"": ""gelu"", ""norm_type"": ""prenorm"", ""pos_encoding"": ""learned"", ""pooling"": ""cls"", ""use_cls_token"": true, ""batch_size"": 80, ""optimizer"": ""AdamW"", ""learning_rate"": 0.0001, ""weight_decay"": 1e-06, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
23,Transformer,3,Preset_18,baseline_OUMVLP.csv,Gait_Embeddings_good/baseline_OUMVLP.csv,33,0.6037,481,"[0.7, 0.4444, 0.6667]",,"{""norm"": ""L2"", ""model_dims"": [256, 384, 512], ""num_heads"": 16, ""num_layers"": 3, ""dim_feedforward"": 768, ""dropout"": 0.1, ""activation"": ""gelu"", ""norm_type"": ""prenorm"", ""pos_encoding"": ""learned"", ""pooling"": ""cls"", ""use_cls_token"": true, ""batch_size"": 80, ""optimizer"": ""AdamW"", ""learning_rate"": 0.0001, ""weight_decay"": 1e-06, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
24,Transformer,3,Preset_18,baseline_OUMVLP.csv,Gait_Embeddings_good/baseline_OUMVLP.csv,888,0.4141,596,"[0.4242, 0.2727, 0.5455]",,"{""norm"": ""L2"", ""model_dims"": [256, 384, 512], ""num_heads"": 16, ""num_layers"": 3, ""dim_feedforward"": 768, ""dropout"": 0.1, ""activation"": ""gelu"", ""norm_type"": ""prenorm"", ""pos_encoding"": ""learned"", ""pooling"": ""cls"", ""use_cls_token"": true, ""batch_size"": 80, ""optimizer"": ""AdamW"", ""learning_rate"": 0.0001, ""weight_decay"": 1e-06, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
25,Transformer,3,Preset_18,baseline_OUMVLP.csv,Gait_Embeddings_good/baseline_OUMVLP.csv,800,0.1839,199,"[0.0, 0.0, 0.5517]",,"{""norm"": ""L2"", ""model_dims"": [256, 384, 512], ""num_heads"": 16, ""num_layers"": 3, ""dim_feedforward"": 768, ""dropout"": 0.1, ""activation"": ""gelu"", ""norm_type"": ""prenorm"", ""pos_encoding"": ""learned"", ""pooling"": ""cls"", ""use_cls_token"": true, ""batch_size"": 80, ""optimizer"": ""AdamW"", ""learning_rate"": 0.0001, ""weight_decay"": 1e-06, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
26,Transformer,3,Preset_18,baseline_OUMVLP.csv,Gait_Embeddings_good/baseline_OUMVLP.csv,123,0.4777,1199,"[0.7273, 0.0, 0.7059]",,"{""norm"": ""L2"", ""model_dims"": [256, 384, 512], ""num_heads"": 16, ""num_layers"": 3, ""dim_feedforward"": 768, ""dropout"": 0.1, ""activation"": ""gelu"", ""norm_type"": ""prenorm"", ""pos_encoding"": ""learned"", ""pooling"": ""cls"", ""use_cls_token"": true, ""batch_size"": 80, ""optimizer"": ""AdamW"", ""learning_rate"": 0.0001, ""weight_decay"": 1e-06, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
27,Transformer,3,Preset_18,baseline_OUMVLP.csv,Gait_Embeddings_good/baseline_OUMVLP.csv,111,0.0915,122,"[0.0, 0.2745, 0.0]",,"{""norm"": ""L2"", ""model_dims"": [256, 384, 512], ""num_heads"": 16, ""num_layers"": 3, ""dim_feedforward"": 768, ""dropout"": 0.1, ""activation"": ""gelu"", ""norm_type"": ""prenorm"", ""pos_encoding"": ""learned"", ""pooling"": ""cls"", ""use_cls_token"": true, ""batch_size"": 80, ""optimizer"": ""AdamW"", ""learning_rate"": 0.0001, ""weight_decay"": 1e-06, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
28,Transformer,3,Preset_18,baseline_OUMVLP.csv,Gait_Embeddings_good/baseline_OUMVLP.csv,425,0.2154,165,"[0.6462, 0.0, 0.0]",,"{""norm"": ""L2"", ""model_dims"": [256, 384, 512], ""num_heads"": 16, ""num_layers"": 3, ""dim_feedforward"": 768, ""dropout"": 0.1, ""activation"": ""gelu"", ""norm_type"": ""prenorm"", ""pos_encoding"": ""learned"", ""pooling"": ""cls"", ""use_cls_token"": true, ""batch_size"": 80, ""optimizer"": ""AdamW"", ""learning_rate"": 0.0001, ""weight_decay"": 1e-06, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
29,Transformer,3,Preset_18,baseline_OUMVLP.csv,Gait_Embeddings_good/baseline_OUMVLP.csv,672,0.4939,1121,"[0.619, 0.3333, 0.5294]",,"{""norm"": ""L2"", ""model_dims"": [256, 384, 512], ""num_heads"": 16, ""num_layers"": 3, ""dim_feedforward"": 768, ""dropout"": 0.1, ""activation"": ""gelu"", ""norm_type"": ""prenorm"", ""pos_encoding"": ""learned"", ""pooling"": ""cls"", ""use_cls_token"": true, ""batch_size"": 80, ""optimizer"": ""AdamW"", ""learning_rate"": 0.0001, ""weight_decay"": 1e-06, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
30,Transformer,3,Preset_18,baseline_OUMVLP.csv,Gait_Embeddings_good/baseline_OUMVLP.csv,69,0.1778,190,"[0.0, 0.0, 0.5333]",,"{""norm"": ""L2"", ""model_dims"": [256, 384, 512], ""num_heads"": 16, ""num_layers"": 3, ""dim_feedforward"": 768, ""dropout"": 0.1, ""activation"": ""gelu"", ""norm_type"": ""prenorm"", ""pos_encoding"": ""learned"", ""pooling"": ""cls"", ""use_cls_token"": true, ""batch_size"": 80, ""optimizer"": ""AdamW"", ""learning_rate"": 0.0001, ""weight_decay"": 1e-06, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
31,Transformer,4,Preset_5,gaitpart_16steps_mean.csv,Gait_Embeddings_Combined/mean/gaitpart_16steps_mean.csv,8,0.5972,674,"[0.6829, 0.4615, 0.6471]",,"{""norm"": ""nan"", ""model_dims"": [512, 768, 512], ""num_heads"": 16, ""num_layers"": 3, ""dim_feedforward"": 896, ""dropout"": 0.1, ""activation"": ""gelu"", ""norm_type"": ""prenorm"", ""pos_encoding"": ""learned"", ""pooling"": ""cls"", ""use_cls_token"": true, ""batch_size"": 40, ""optimizer"": ""AdamW"", ""learning_rate"": 3e-05, ""weight_decay"": 1e-05, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
