channels,dilations,kernel_size,convs_per_block,activation,use_weight_norm,wn_on_skip,pooling,fc_hidden,batch_size,optimizer,momentum_sgd,lr,num_blocks,weight_decay,norm,dropout,ln_block_end,source_params
"[640, 640, 512, 384]","[3, 6, 9, 12]",3,2,gelu,False,False,attention,448,32,AdamW,,2e-05,4,1e-05,L2,"[0.10,0.10,0.15,0.15]","[True,True,True,True]",manual_exploration_tcn_vNew_mod
"[256, 384, 512, 384]","[1, 2, 4, 8]",5,2,hardswish,True,True,mean,320,56,Adam,,1e-04,4,0.0,minmax,"[0.0,0.10,0.10,0.10]","[False,True,True,True]",manual_exploration_tcn_vNew
"[384, 512, 640, 768, 640]","[1, 2, 4, 8, 16]",5,1,gelu,False,False,attention,384,32,AdamW,,2e-05,5,1e-05,L2,"[0.0,0.0,0.10,0.10,0.25]","[True,True,True,True,True]",manual_exploration_tcn_vNew
"[320, 448, 576, 448, 320]","[1, 2, 3, 4, 5]",9,2,mish,True,True,max,256,48,Adam,,3e-05,5,1e-05,minmax,"[0.0,0.10,0.10,0.15,0.20]","[False,True,True,True,True]",manual_exploration_tcn_vNew_mod
"[512, 448, 384, 320, 256]","[1, 3, 6, 9, 12]",3,2,silu,True,True,attention,320,40,AdamW,,2e-05,5,1e-06,L2,"[0.0,0.10,0.10,0.15,0.20]","[True,True,True,True,True]",manual_exploration_tcn_vNew
"[768]","[9]",5,2,gelu,True,False,attention,384,32,AdamW,,2e-05,1,1e-05,L2,"[0.05]","[True]",manual_exploration_tcn_vNew
"[640]","[9]",5,3,mish,True,True,max,320,56,Adam,,3e-05,1,1e-05,minmax,"[0.10]","[True]",manual_exploration_tcn_vNew_mod
"[384]","[7]",7,1,silu,True,True,mean,256,64,AdamW,,5e-05,1,1e-06,L2,"[0.05]","[True]",manual_exploration_tcn_vNew
"[640]","[7]",3,1,hardswish,True,True,attention,448,40,AdamW,,2e-05,1,1e-05,L2,"[0.10]","[True]",manual_exploration_tcn_vNew
"[256, 320, 256]","[1, 2, 4]",3,1,gelu,True,True,attention,192,64,AdamW,,2e-05,3,1e-05,L2,"[0.2,0.2,0.2]","[False,True,True]",manual_exploration_tcn_vNew
"[448, 512, 448]","[1, 3, 5]",5,2,silu,True,False,mean,320,48,Adam,,3e-05,3,1e-05,minmax,"[0.10,0.10,0.10]","[True,True,True]",manual_exploration_tcn_vNew
"[320, 384, 448, 512]","[1, 2, 4, 8]",3,2,mish,True,True,attention,256,40,AdamW,,2e-05,4,1e-06,L2,"[0.05,0.10,0.10,0.15]","[True,True,True,True]",manual_exploration_tcn_vNew
"[768, 640, 512, 384]","[1, 2, 4, 8]",5,2,gelu,True,True,max,384,32,Adam,,1e-04,4,0.0,L2,"[0.10,0.10,0.15,0.15]","[True,True,True,True]",manual_exploration_tcn_vNew
"[192,256,320,384,448]","[1, 2, 3, 4, 5]",3,3,silu,True,True,attention,256,56,AdamW,,2e-05,5,1e-05,L2,"[0.2,0.2,0.2,0.2,0.2]","[True,True,True,True,True]",manual_exploration_tcn_vNew
"[512,512]","[1,2]",3,1,gelu,True,True,attention,320,48,AdamW,,2e-05,2,1e-05,L2,"[0.0,0.10]","[True,True]",manual_exploration_tcn_vNew
"[640,384]","[1,2]",5,2,mish,True,True,max,256,40,Adam,,3e-05,2,1e-05,minmax,"[0.10,0.10]","[True,True]",manual_exploration_tcn_vNew
"[384,512,640]","[1,2,4]",3,2,gelu,True,True,attention,320,32,AdamW,,2e-05,3,1e-05,L2,"[0.05,0.10,0.10]","[True,True,True]",manual_exploration_tcn_vNew
"[256,384,512,640]","[1,2,4,8]",3,1,hardswish,True,True,mean,384,32,AdamW,,2e-05,4,1e-05,L2,"[0.0,0.10,0.10,0.10]","[True,True,True,True]",manual_exploration_tcn_vNew
"[768,896]","[3,9]",9,1,silu,True,True,max,512,24,Adam,,3e-05,2,1e-05,L2,"[0.20,0.10]","[True,True]",manual_exploration_tcn_vNew
"[320,448,576]","[1,3,5]",3,3,gelu,True,False,attention,256,56,AdamW,,2e-05,3,1e-06,minmax,"[0.0,0.10,0.20]","[True,True,True]",manual_exploration_tcn_vNew
