channels,dilations,kernel_size,convs_per_block,activation,use_weight_norm,wn_on_skip,pooling,fc_hidden,batch_size,optimizer,momentum_sgd,lr,num_blocks,weight_decay,norm,dropout,ln_block_end,source_params
"[256, 256]","[1, 4]",5,2,gelu,True,True,max,128.0,128,AdamW,,1e-04,2,5e-06,minmax,"[0.1, 0.2]","[False, False]",tcn_results_v4_reduced.csv
"[160, 192]","[1, 2]",3,2,silu,True,True,attention,64.0,128,AdamW,,1e-04,2,1e-06,minmax,"[0.2, 0.3]","[False, False]",tcn_results_v4_reduced.csv
[64],[1],3,2,relu,False,False,max,64.0,128,RMSprop,,4e-04,1,0.0,L2,[0.1],[False],tcn_results_v4_reduced.csv
[96],[1],5,2,leakyrelu,True,True,mean,64.0,128,RMSprop,,3e-04,1,1e-06,minmax,[0.0],[False],tcn_results_v4_reduced.csv
"[128, 256, 512]","[1, 2, 4]",3,2,gelu,True,True,max,256.0,64,AdamW,,8e-05,3,1e-06,L2,"[0.1, 0.1, 0.2]","[False, False, False]",tcn_results_v4_reduced.csv
[128],[3],9,1,elu,False,False,mean,128.0,64,Adam,,5e-05,1,1e-06,minmax,[0.2],[True],tcn_results_v4_reduced.csv
"[192, 192, 192]","[1, 3, 9]",11,1,hardswish,True,False,max,,48,AdamW,,2e-05,3,1e-06,L2,"[None, 0.1, 0.2]","[True, True, True]",tcn_results_v4_reduced.csv
"[256, 384, 512]","[1, 6, 12]",5,3,mish,True,True,attention,128.0,32,AdamW,,4e-05,3,1e-05,minmax,"[0.2, 0.2, 0.3]","[True, True, True]",tcn_results_v4_reduced.csv
"[320, 320, 320, 320, 320]","[1, 2, 4, 8, 16]",2,1,silu,True,True,mean,256.0,32,AdamW,,6e-05,5,5e-06,L2,"[0.0, 0.1, 0.1, 0.2, 0.2]","[False, True, True, True, True]",tcn_results_v4_reduced.csv
"[512, 384, 256, 128]","[1, 2, 4, 8]",7,2,prelu,False,False,last,128.0,48,Adam,,8e-05,4,1e-06,minmax,"[0.1, 0.2, 0.2, 0.3]","[True, True, True, True]",tcn_results_v4_reduced.csv
"[1024, 512, 256]","[1, 3, 9]",3,1,gelu,True,True,attention,256.0,24,AdamW,,2e-05,3,1e-05,L2,"[None, 0.1, 0.2]","[False, False, False]",tcn_results_v4_reduced.csv
"[256, 512, 1024, 512]","[1, 2, 4, 8]",9,2,leakyrelu,True,True,max,512.0,24,AdamW,,3e-05,4,2e-05,minmax,"[0.1, 0.2, 0.2, 0.1]","[False, False, False, False]",tcn_results_v4_reduced.csv
"[384, 384, 512, 640]","[1, 2, 4, 8]",11,2,gelu,True,True,mean,256.0,16,AdamW,,1e-05,4,1e-06,L2,"[0.2, 0.2, 0.3, 0.3]","[True, True, True, True]",tcn_results_v4_reduced.csv
"[160, 320, 640]","[1, 4, 16]",5,2,elu,True,True,attention,128.0,32,RMSprop,,2e-04,3,1e-06,minmax,"[0.1, 0.2, 0.3]","[True, True, True]",tcn_results_v4_reduced.csv
"[96, 192, 384, 768, 1024]","[1, 3, 6, 9, 12]",3,1,relu,True,True,mean,256.0,16,AdamW,,5e-05,5,5e-06,L2,"[0.1, 0.1, 0.2, 0.2, 0.3]","[False, True, True, True, True]",tcn_results_v4_reduced.csv
"[256, 384, 512]","[1, 2, 4]",7,2,hardswish,True,True,last,128.0,64,SGD,0.9,0.003,3,1e-06,minmax,"[0.1, 0.2, 0.2]","[False, False, False]",tcn_results_v4_reduced.csv
"[512, 512, 384]","[1, 3, 9]",5,2,gelu,True,True,attention,256.0,32,SGD,0.95,0.001,3,0.0,L2,"[0.0, 0.1, 0.2]","[True, True, True]",tcn_results_v4_reduced.csv
"[192, 256, 384, 512]","[2, 4, 8, 16]",3,3,silu,True,True,max,,48,AdamW,,6e-05,4,1e-05,minmax,"[None, 0.1, 0.2, 0.3]","[False, True, True, True]",tcn_results_v4_reduced.csv
