id,timestamp,target_embedding,source_params,model,seed,input_dim,num_layers,layer_sizes,bidirectional,norm,dropout,dropout_layers,norm_layers,pooling,fc_hidden,activation,norm_post_lstm,native_mode,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,class_weights,label_smoothing,clip_grad_norm,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
23,20251222_225259,OUMVLP_concat.csv,Preset_6,LSTM,42,1024,2,"[512, 512]",True,minmax,0.1,[1],[1],last,128,relu,True,False,96,AdamW,,0.0002,2e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13172,1.78481,0.47727,0.35171,"[0.47619, 0.0, 0.57895]",414,0.21144,1.50281,0.61364,0.43767,"[0.69231, 0.0, 0.62069]",360,COMPLETED,66.238
24,20251222_225259,OUMVLP_mean.csv,Preset_6,LSTM,42,256,2,"[512, 512]",True,minmax,0.1,[1],[1],last,128,relu,True,False,96,AdamW,,0.0002,2e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11788,1.48188,0.56818,0.42912,"[0.66667, 0.0, 0.62069]",293,0.25307,1.32873,0.63636,0.46718,"[0.69565, 0.0, 0.70588]",270,COMPLETED,38.787

25,20251222_225259,GREW_concat.csv,Preset_7,LSTM,42,768,2,"[96, 128]",True,L2,0.15,[1],[],mean,128,gelu,True,False,64,AdamW,,0.00025,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1338,2.07834,0.45455,0.37284,"[0.63636, 0.125, 0.35714]",140,0.19191,2.04973,0.47727,0.4498,"[0.61538, 0.36364, 0.37037]",104,COMPLETED,21.474
26,20251222_225259,GREW_mean.csv,Preset_7,LSTM,42,256,2,"[96, 128]",True,L2,0.15,[1],[],mean,128,gelu,True,False,64,AdamW,,0.00025,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12793,1.80126,0.52273,0.37886,"[0.6, 0.0, 0.53659]",132,0.1595,1.73081,0.63636,0.53413,"[0.68571, 0.25, 0.66667]",126,COMPLETED,18.36
27,20251222_225259,OUMVLP_concat.csv,Preset_7,LSTM,42,1024,2,"[96, 128]",True,L2,0.15,[1],[],mean,128,gelu,True,False,64,AdamW,,0.00025,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12163,2.07075,0.5,0.42808,"[0.51282, 0.14286, 0.62857]",389,0.45354,1.28708,0.59091,0.55316,"[0.51613, 0.46154, 0.68182]",140,COMPLETED,61.351
28,20251222_225259,OUMVLP_mean.csv,Preset_7,LSTM,42,256,2,"[96, 128]",True,L2,0.15,[1],[],mean,128,gelu,True,False,64,AdamW,,0.00025,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13415,1.92034,0.54545,0.4793,"[0.65217, 0.28571, 0.5]",459,0.24067,1.38202,0.65909,0.62222,"[0.7, 0.5, 0.66667]",281,COMPLETED,64.394

29,20251222_225259,GREW_concat.csv,Preset_8,LSTM,42,768,2,"[384, 384]",False,L2,0.0,[],[],last,,nan,False,True,96,AdamW,,0.0008,5e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12607,1.62926,0.5,0.3652,"[0.65116, 0.0, 0.44444]",68,0.23654,1.73529,0.54545,0.49734,"[0.59459, 0.33333, 0.5641]",62,COMPLETED,5.768
30,20251222_225259,GREW_mean.csv,Preset_8,LSTM,42,256,2,"[384, 384]",False,L2,0.0,[],[],last,,nan,False,True,96,AdamW,,0.0008,5e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11711,2.19641,0.43182,0.30159,"[0.57143, 0.0, 0.33333]",64,0.23965,1.80421,0.52273,0.47227,"[0.59459, 0.26667, 0.55556]",50,COMPLETED,4.344
31,20251222_225259,OUMVLP_concat.csv,Preset_8,LSTM,42,1024,2,"[384, 384]",False,L2,0.0,[],[],last,,nan,False,True,96,AdamW,,0.0008,5e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1387,2.07246,0.5,0.37066,"[0.57143, 0.0, 0.54054]",257,0.53015,2.01874,0.47727,0.43557,"[0.5, 0.23529, 0.57143]",160,COMPLETED,22.946
32,20251222_225259,OUMVLP_mean.csv,Preset_8,LSTM,42,256,2,"[384, 384]",False,L2,0.0,[],[],last,,nan,False,True,96,AdamW,,0.0008,5e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12539,2.18232,0.43182,0.32368,"[0.55, 0.0, 0.42105]",332,0.20816,2.29998,0.54545,0.40067,"[0.61111, 0.0, 0.59091]",296,COMPLETED,22.851

