id,timestamp,target_embedding,top_variant,source_params,model,seed,input_dim,num_layers,layer_sizes,bidirectional,norm,dropout,dropout_layers,norm_layers,pooling,fc_hidden,activation,norm_post_lstm,native_mode,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,class_weights,label_smoothing,clip_grad_norm,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
35,20260108_043339,gaitset_GREW_TOP50.csv,50%,Preset_3,LSTM,42,256,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,True,32,AdamW,,0.0002,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11168,2.41541,0.45455,0.40053,"[0.57778, 0.26667, 0.35714]",101,0.11334,2.41412,0.5,0.44069,"[0.63636, 0.28571, 0.4]",99,COMPLETED,19.906
36,20260108_043339,gaitset_OUMVLP_TOP50.csv,50%,Preset_3,LSTM,42,256,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,True,32,AdamW,,0.0002,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11861,1.81307,0.5,0.42456,"[0.58537, 0.14286, 0.54545]",359,0.14809,1.56929,0.63636,0.51979,"[0.73469, 0.18182, 0.64286]",300,COMPLETED,70.078
37,20260108_043339,gaitset_TOP50.csv,50%,Preset_3,LSTM,42,256,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,True,32,AdamW,,0.0002,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11934,2.11028,0.31818,0.22387,"[0.4898, 0.0, 0.18182]",87,0.18224,2.02241,0.52273,0.45549,"[0.65217, 0.28571, 0.42857]",46,COMPLETED,16.944
38,20260108_043339,gln_phase1_TOP50.csv,50%,Preset_3,LSTM,42,256,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,True,32,AdamW,,0.0002,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11395,1.32092,0.52273,0.49325,"[0.57143, 0.375, 0.53333]",89,0.39188,0.90638,0.75,0.73099,"[0.73684, 0.66667, 0.78947]",37,COMPLETED,21.242
39,20260108_043339,gln_phase2_TOP50.csv,50%,Preset_3,LSTM,42,256,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,True,32,AdamW,,0.0002,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11105,1.4465,0.5,0.4521,"[0.6, 0.28571, 0.47059]",93,0.72454,1.1634,0.54545,0.52564,"[0.5, 0.46154, 0.61538]",27,COMPLETED,22.158

40,20260108_043339,baseline_CASIAB_TOP50.csv,50%,Preset_4,LSTM,42,256,1,[96],False,nan,0.0,[],[],last,256,tanh,False,True,32,Adam,,0.001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11991,2.11188,0.43182,0.35654,"[0.56522, 0.18182, 0.32258]",62,0.22755,2.42337,0.5,0.4547,"[0.51429, 0.28571, 0.5641]",37,COMPLETED,6.653
41,20260108_043339,baseline_OUMVLP_TOP50.csv,50%,Preset_4,LSTM,42,256,1,[96],False,nan,0.0,[],[],last,256,tanh,False,True,32,Adam,,0.001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10908,1.6678,0.52273,0.43545,"[0.63636, 0.15385, 0.51613]",102,0.31792,1.81398,0.54545,0.52857,"[0.61905, 0.5, 0.46667]",59,COMPLETED,11.095
42,20260108_043339,gaitgl_GREW_BNNeck_TOP50.csv,50%,Preset_4,LSTM,42,256,1,[96],False,nan,0.0,[],[],last,256,tanh,False,True,32,Adam,,0.001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11305,2.50654,0.45455,0.38996,"[0.48649, 0.14286, 0.54054]",81,0.35458,1.49621,0.59091,0.49785,"[0.60465, 0.22222, 0.66667]",41,COMPLETED,10.244
43,20260108_043339,gaitgl_GREW_TOP50.csv,50%,Preset_4,LSTM,42,256,1,[96],False,nan,0.0,[],[],last,256,tanh,False,True,32,Adam,,0.001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10365,1.38303,0.47727,0.36662,"[0.51163, 0.0, 0.58824]",12,0.10987,1.47872,0.47727,0.40725,"[0.52174, 0.16667, 0.53333]",9,COMPLETED,1.486
