id,timestamp,target_embedding,source_params,model,seed,input_dim,architecture_pattern,num_layers,layer_sizes,bidirectional,norm,dropout,dropout_layers,norm_layers,pooling,fc_hidden,activation,norm_post_lstm,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,train_loss,accuracy,epochs_trained,f1_macro,best_f1,best_epoch,best_state_loss,training
49,20250916_151827,gaitpart.csv,gaitgl_GREW.csv,LSTM,42,128,uniform,3,"[64, 64, 64]",False,L2,0.1,"[1, 2]","[1, 2]",attention,,,False,16,AdamW,,0.01,1e-05,0.91972,0.5,127,0.22222,0.22222,127,0.91972,STOPPED
50,20250916_151827,gaitpart_GREW.csv,gaitgl_GREW.csv,LSTM,42,256,uniform,3,"[64, 64, 64]",False,L2,0.1,"[1, 2]","[1, 2]",attention,,,False,16,AdamW,,0.01,1e-05,1.00744,0.47727,103,0.21538,0.21538,103,1.00744,STOPPED
51,20250916_151827,gaitpart_OUMVLP.csv,gaitgl_GREW.csv,LSTM,42,256,uniform,3,"[64, 64, 64]",False,L2,0.1,"[1, 2]","[1, 2]",attention,,,False,16,AdamW,,0.01,1e-05,1.00759,0.47727,141,0.21538,0.21538,141,1.00759,STOPPED
52,20250916_151827,gaitset.csv,gaitgl_GREW.csv,LSTM,42,256,uniform,3,"[64, 64, 64]",False,L2,0.1,"[1, 2]","[1, 2]",attention,,,False,16,AdamW,,0.01,1e-05,1.0083,0.47727,105,0.21538,0.21538,105,1.0083,STOPPED
53,20250916_151827,gaitset_GREW.csv,gaitgl_GREW.csv,LSTM,42,256,uniform,3,"[64, 64, 64]",False,L2,0.1,"[1, 2]","[1, 2]",attention,,,False,16,AdamW,,0.01,1e-05,1.00981,0.47727,106,0.21538,0.21538,106,1.00981,STOPPED
54,20250916_151827,gaitset_OUMVLP.csv,gaitgl_GREW.csv,LSTM,42,256,uniform,3,"[64, 64, 64]",False,L2,0.1,"[1, 2]","[1, 2]",attention,,,False,16,AdamW,,0.01,1e-05,1.01116,0.47727,102,0.21538,0.21538,102,1.01116,STOPPED
55,20250916_151827,gln_phase1.csv,gaitgl_GREW.csv,LSTM,42,256,uniform,3,"[64, 64, 64]",False,L2,0.1,"[1, 2]","[1, 2]",attention,,,False,16,AdamW,,0.01,1e-05,1.00969,0.47727,104,0.21538,0.21538,104,1.00969,STOPPED
56,20250916_151827,gln_phase2.csv,gaitgl_GREW.csv,LSTM,42,256,uniform,3,"[64, 64, 64]",False,L2,0.1,"[1, 2]","[1, 2]",attention,,,False,16,AdamW,,0.01,1e-05,1.00727,0.47727,102,0.21538,0.21538,102,1.00727,STOPPED

57,20250916_152815,baseline_CASIAB.csv,gaitgl_GREW_BNNeck.csv,LSTM,42,256,decreasing,3,"[256, 192, 128]",True,L2,0.4,[2],"[1, 2]",attention,512.0,elu,False,16,Adam,,0.0001,5e-07,0.03738,0.5,56,0.3967,0.45833,55,0.05903,COMPLETED
