id,timestamp,target_embedding,source_params,model,seed,num_layers,layer_sizes,bidirectional,norm,dropout,dropout_layers,norm_layers,pooling,fc_hidden,activation,norm_post_lstm,batch_size,optimizer,learning_rate,weight_decay,momentum_sgd,native_mode,input_dim,label_smoothing,clip_grad_norm,class_weights,train_loss,test_loss,accuracy,epochs_trained,f1_macro,best_f1,best_epoch,best_state_loss,training,duration_sec
43,20251020_191923,gaitpart_16steps_mean.csv,lstm_results_v2.csv,LSTM,42,2,"[640, 640]",True,L2,0.1,[],[1],max,,,True,96,AdamW,0.0001,2e-06,,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14014,1.71677,0.52273,573,0.49096,0.53016,573,0.15078,STOPPED,139.929
44,20251020_191923,gaitset_62steps_mean.csv,lstm_results_v2.csv,LSTM,42,2,"[640, 640]",True,L2,0.1,[],[1],max,,,True,96,AdamW,0.0001,2e-06,,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14351,1.5743,0.5,543,0.42116,0.51323,543,0.14762,STOPPED,474.403
45,20251020_191923,gln_93steps_mean.csv,lstm_results_v2.csv,LSTM,42,2,"[640, 640]",True,L2,0.1,[],[1],max,,,True,96,AdamW,0.0001,2e-06,,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14307,1.39576,0.45455,374,0.39586,0.49463,374,0.14352,STOPPED,363.093

46,20251020_191923,baseline_31steps_mean.csv,lstm_results_v1_Optuna.csv,LSTM,42,3,"[256, 192, 128]",True,L2,0.4,[2],"[1, 2]",last,512,elu,False,16,Adam,0.0001,5e-07,,False,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14237,2.09327,0.52273,200,0.37937,0.47465,200,0.16054,STOPPED,154.818
47,20251020_191923,gaitgl_64steps_mean.csv,lstm_results_v1_Optuna.csv,LSTM,42,3,"[256, 192, 128]",True,L2,0.4,[2],"[1, 2]",last,512,elu,False,16,Adam,0.0001,5e-07,,False,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14155,2.11763,0.40909,152,0.35143,0.45917,152,0.14295,STOPPED,298.56
48,20251020_191923,gaitpart_16steps_mean.csv,lstm_results_v1_Optuna.csv,LSTM,42,3,"[256, 192, 128]",True,L2,0.4,[2],"[1, 2]",last,512,elu,False,16,Adam,0.0001,5e-07,,False,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14236,2.1192,0.52273,324,0.42832,0.42832,324,0.14236,STOPPED,152.46
49,20251020_191923,gaitset_62steps_mean.csv,lstm_results_v1_Optuna.csv,LSTM,42,3,"[256, 192, 128]",True,L2,0.4,[2],"[1, 2]",last,512,elu,False,16,Adam,0.0001,5e-07,,False,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14177,2.50158,0.43182,191,0.31634,0.40631,191,0.18159,STOPPED,340.364
50,20251020_191923,gln_93steps_mean.csv,lstm_results_v1_Optuna.csv,LSTM,42,3,"[256, 192, 128]",True,L2,0.4,[2],"[1, 2]",last,512,elu,False,16,Adam,0.0001,5e-07,,False,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14094,1.82535,0.54545,81,0.45413,0.55396,81,0.24277,STOPPED,352.997

51,20251020_191923,baseline_31steps_mean.csv,lstm_results_v2.csv,LSTM,42,4,"[256, 256, 256, 256]",True,L2,0.2,[],[],last,,,True,64,AdamW,0.0003,5e-05,,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.13957,2.1443,0.45455,245,0.3801,0.47465,245,0.14003,STOPPED,72.744
52,20251020_191923,gaitgl_64steps_mean.csv,lstm_results_v2.csv,LSTM,42,4,"[256, 256, 256, 256]",True,L2,0.2,[],[],last,,,True,64,AdamW,0.0003,5e-05,,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.13998,2.29745,0.34091,72,0.25185,0.4336,72,0.28347,STOPPED,112.162
53,20251020_191923,gaitpart_16steps_mean.csv,lstm_results_v2.csv,LSTM,42,4,"[256, 256, 256, 256]",True,L2,0.2,[],[],last,,,True,64,AdamW,0.0003,5e-05,,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14021,2.033,0.5,327,0.4195,0.5799,327,0.14068,STOPPED,71.945
