id,timestamp,target_embedding,source_params,model,seed,num_layers,layer_sizes,bidirectional,norm,dropout,dropout_layers,norm_layers,pooling,fc_hidden,activation,norm_post_lstm,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,native_mode,input_dim,label_smoothing,clip_grad_norm,class_weights,train_loss,test_loss,accuracy,f1_macro,f1_per_class,best_accuracy,best_f1,best_f1_per_class,best_epoch,train_loss_best_state,test_loss_best_state,epochs_trained,training,duration_sec
1548,20251212_204045,baseline_CASIAB.csv,best_configs_v3,LSTM,42,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,32,AdamW,,0.0002,1e-06,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14073,1.64661,0.45455,0.39457,"[0.4878, 0.22222, 0.47368]",0.54545,0.52832,"[0.52941, 0.44444, 0.61111]",98,0.18445,1.83148,292,STOPPED,51.612
1549,20251212_204045,baseline_OUMVLP.csv,best_configs_v3,LSTM,42,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,32,AdamW,,0.0002,1e-06,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14431,1.39133,0.52273,0.473,"[0.5641, 0.26667, 0.58824]",0.61364,0.5677,"[0.68293, 0.375, 0.64516]",100,0.1658,1.36792,427,STOPPED,72.236
1550,20251212_204045,gaitgl.csv,best_configs_v3,LSTM,42,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,32,AdamW,,0.0002,1e-06,True,128,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14068,1.72906,0.38636,0.35494,"[0.44444, 0.25, 0.37037]",0.5,0.48594,"[0.47368, 0.42857, 0.55556]",136,0.14659,2.04099,370,STOPPED,78.164
1551,20251212_204045,gaitgl_GREW.csv,best_configs_v3,LSTM,42,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,32,AdamW,,0.0002,1e-06,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14097,1.68102,0.40909,0.39122,"[0.42857, 0.33333, 0.41176]",0.45455,0.4262,"[0.43243, 0.33333, 0.51282]",42,0.14511,1.9818,247,STOPPED,55.733
1552,20251212_204045,gaitgl_GREW_BNNeck.csv,best_configs_v3,LSTM,42,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,32,AdamW,,0.0002,1e-06,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14031,1.56484,0.40909,0.34086,"[0.53333, 0.16667, 0.32258]",0.56818,0.54035,"[0.6383, 0.5, 0.48276]",177,0.14768,1.48118,315,STOPPED,70.359
1553,20251212_204045,gaitgl_OUMVLP.csv,best_configs_v3,LSTM,42,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,32,AdamW,,0.0002,1e-06,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14154,1.56766,0.5,0.36649,"[0.58333, 0.0, 0.51613]",0.54545,0.45917,"[0.5641, 0.18182, 0.63158]",33,0.70438,1.51327,415,STOPPED,92.652
1554,20251212_204045,gaitpart_GREW.csv,best_configs_v3,LSTM,42,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,32,AdamW,,0.0002,1e-06,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14144,1.69967,0.47727,0.44416,"[0.58537, 0.33333, 0.41379]",0.61364,0.54575,"[0.71111, 0.36364, 0.5625]",75,0.43585,1.37938,359,STOPPED,44.524
1555,20251212_204045,gaitpart_OUMVLP.csv,best_configs_v3,LSTM,42,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,32,AdamW,,0.0002,1e-06,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.36327,2.70266,0.38636,0.38841,"[0.36364, 0.35714, 0.44444]",0.5,0.47544,"[0.52632, 0.3, 0.6]",462,0.29116,2.34056,542,STOPPED,67.686
1556,20251212_204045,gaitset.csv,best_configs_v3,LSTM,42,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,32,AdamW,,0.0002,1e-06,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14075,1.663,0.47727,0.43694,"[0.52381, 0.23529, 0.55172]",0.45455,0.45127,"[0.45, 0.42105, 0.48276]",299,0.16259,2.1841,360,STOPPED,81.794
1557,20251212_204045,gaitset_GREW.csv,best_configs_v3,LSTM,42,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,32,AdamW,,0.0002,1e-06,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14053,2.25495,0.31818,0.25387,"[0.43902, 0.0, 0.32258]",0.43182,0.39746,"[0.48649, 0.23529, 0.47059]",51,0.30174,2.30334,333,STOPPED,73.089
1558,20251212_204045,gaitset_OUMVLP.csv,best_configs_v3,LSTM,42,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,32,AdamW,,0.0002,1e-06,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.15343,1.44546,0.56818,0.47343,"[0.68293, 0.18182, 0.55556]",0.68182,0.55278,"[0.79167, 0.2, 0.66667]",337,0.17574,1.34779,495,STOPPED,108.294
1559,20251212_204045,gln_phase1.csv,best_configs_v3,LSTM,42,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,32,AdamW,,0.0002,1e-06,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14096,1.00387,0.63636,0.59617,"[0.68182, 0.46154, 0.64516]",0.75,0.733,"[0.74286, 0.66667, 0.78947]",64,0.1996,1.09456,376,STOPPED,106.662
1560,20251212_204045,gln_phase2.csv,best_configs_v3,LSTM,42,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,32,AdamW,,0.0002,1e-06,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14032,1.74931,0.45455,0.41551,"[0.53659, 0.28571, 0.42424]",0.54545,0.51766,"[0.6087, 0.46154, 0.48276]",268,0.15023,1.67238,348,STOPPED,99.158

872,20251212_204045,baseline_CASIAB.csv,best_configs_v3,LSTM,42,1,[96],False,,0.0,[],[],last,256,tanh,False,32,Adam,,0.001,0.0,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14116,2.0908,0.45455,0.41858,"[0.52381, 0.30769, 0.42424]",0.52273,0.51686,"[0.5641, 0.5, 0.48649]",84,0.2257,1.96812,329,STOPPED,38.705
873,20251212_204045,baseline_OUMVLP.csv,best_configs_v3,LSTM,42,1,[96],False,,0.0,[],[],last,256,tanh,False,32,Adam,,0.001,0.0,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.1406,1.6602,0.47727,0.40863,"[0.4878, 0.16667, 0.57143]",0.56818,0.50386,"[0.65217, 0.30769, 0.55172]",27,0.67272,1.35946,368,STOPPED,43.742
874,20251212_204045,gaitgl.csv,best_configs_v3,LSTM,42,1,[96],False,,0.0,[],[],last,256,tanh,False,32,Adam,,0.001,0.0,True,128,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14104,1.8316,0.40909,0.35428,"[0.43902, 0.16667, 0.45714]",0.43182,0.41326,"[0.48649, 0.31579, 0.4375]",102,0.15674,2.29518,188,STOPPED,26.23
875,20251212_204045,gaitgl_GREW.csv,best_configs_v3,LSTM,42,1,[96],False,,0.0,[],[],last,256,tanh,False,32,Adam,,0.001,0.0,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14068,1.28227,0.40909,0.35449,"[0.43902, 0.15385, 0.47059]",0.47727,0.40993,"[0.38889, 0.25, 0.59091]",8,0.16518,1.59972,247,STOPPED,35.82
876,20251212_204045,gaitgl_GREW_BNNeck.csv,best_configs_v3,LSTM,42,1,[96],False,,0.0,[],[],last,256,tanh,False,32,Adam,,0.001,0.0,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14173,2.31911,0.40909,0.36802,"[0.51163, 0.23529, 0.35714]",0.47727,0.44822,"[0.44444, 0.36364, 0.53659]",243,0.39418,2.41536,458,STOPPED,66.717
877,20251212_204045,gaitgl_OUMVLP.csv,best_configs_v3,LSTM,42,1,[96],False,,0.0,[],[],last,256,tanh,False,32,Adam,,0.001,0.0,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14056,1.59341,0.47727,0.35425,"[0.53333, 0.0, 0.52941]",0.54545,0.44989,"[0.62745, 0.22222, 0.5]",33,0.24422,1.87035,226,STOPPED,33.206
878,20251212_204045,gaitpart_GREW.csv,best_configs_v3,LSTM,42,1,[96],False,,0.0,[],[],last,256,tanh,False,32,Adam,,0.001,0.0,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14094,1.87683,0.47727,0.45,"[0.55, 0.33333, 0.46667]",0.56818,0.53222,"[0.63415, 0.4, 0.5625]",78,0.1638,1.44026,242,STOPPED,23.507
879,20251212_204045,gaitpart_OUMVLP.csv,best_configs_v3,LSTM,42,1,[96],False,,0.0,[],[],last,256,tanh,False,32,Adam,,0.001,0.0,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14071,1.73893,0.5,0.44583,"[0.65, 0.25, 0.4375]",0.70455,0.5784,"[0.77551, 0.25, 0.70968]",158,0.28326,1.19314,326,STOPPED,32.613
880,20251212_204045,gaitset.csv,best_configs_v3,LSTM,42,1,[96],False,,0.0,[],[],last,256,tanh,False,32,Adam,,0.001,0.0,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14182,1.69023,0.40909,0.36798,"[0.52381, 0.23529, 0.34483]",0.47727,0.43857,"[0.55814, 0.33333, 0.42424]",26,0.70098,1.33489,351,STOPPED,53.426
881,20251212_204045,gaitset_GREW.csv,best_configs_v3,LSTM,42,1,[96],False,,0.0,[],[],last,256,tanh,False,32,Adam,,0.001,0.0,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14027,2.38738,0.40909,0.34762,"[0.5, 0.14286, 0.4]",0.47727,0.38307,"[0.625, 0.15385, 0.37037]",94,0.14281,2.13994,263,STOPPED,40.119
882,20251212_204045,gaitset_OUMVLP.csv,best_configs_v3,LSTM,42,1,[96],False,,0.0,[],[],last,256,tanh,False,32,Adam,,0.001,0.0,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14105,1.80818,0.52273,0.39053,"[0.65306, 0.0, 0.51852]",0.59091,0.53302,"[0.72727, 0.33333, 0.53846]",167,0.2688,1.84314,469,STOPPED,70.548
883,20251212_204045,gln_phase1.csv,best_configs_v3,LSTM,42,1,[96],False,,0.0,[],[],last,256,tanh,False,32,Adam,,0.001,0.0,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14693,1.30956,0.52273,0.53938,"[0.45714, 0.63158, 0.52941]",0.68182,0.65741,"[0.75, 0.55556, 0.66667]",28,0.47647,1.13472,283,STOPPED,52.028
884,20251212_204045,gln_phase2.csv,best_configs_v3,LSTM,42,1,[96],False,,0.0,[],[],last,256,tanh,False,32,Adam,,0.001,0.0,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14029,1.35139,0.54545,0.39386,"[0.65217, 0.0, 0.52941]",0.59091,0.53153,"[0.66667, 0.33333, 0.59459]",200,0.17536,1.27431,336,STOPPED,61.879

170,20251212_204045,baseline_CASIAB.csv,best_configs_v3,LSTM,42,1,[256],True,,0.0,[],[],last,,,False,64,AdamW,,0.0005,1e-05,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.15428,1.74999,0.45455,0.3584,"[0.61224, 0.16667, 0.2963]",0.52273,0.46638,"[0.6087, 0.30769, 0.48276]",87,0.17534,2.11734,372,STOPPED,34.009
171,20251212_204045,baseline_OUMVLP.csv,best_configs_v3,LSTM,42,1,[256],True,,0.0,[],[],last,,,False,64,AdamW,,0.0005,1e-05,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.13997,1.98717,0.5,0.44875,"[0.57778, 0.28571, 0.48276]",0.59091,0.58182,"[0.57143, 0.54545, 0.62857]",68,0.39559,1.91352,341,STOPPED,31.304
172,20251212_204045,gaitgl.csv,best_configs_v3,LSTM,42,1,[256],True,,0.0,[],[],last,,,False,64,AdamW,,0.0005,1e-05,True,128,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.13972,1.48065,0.52273,0.46357,"[0.62222, 0.28571, 0.48276]",0.56818,0.52692,"[0.65217, 0.42857, 0.5]",154,0.14273,1.56724,234,STOPPED,28.836
173,20251212_204045,gaitgl_GREW.csv,best_configs_v3,LSTM,42,1,[256],True,,0.0,[],[],last,,,False,64,AdamW,,0.0005,1e-05,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14029,1.14696,0.52273,0.43939,"[0.59091, 0.18182, 0.54545]",0.56818,0.53182,"[0.65, 0.4, 0.54545]",105,0.15026,1.1854,185,STOPPED,24.595
174,20251212_204045,gaitgl_GREW_BNNeck.csv,best_configs_v3,LSTM,42,1,[256],True,,0.0,[],[],last,,,False,64,AdamW,,0.0005,1e-05,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14027,1.91448,0.52273,0.4285,"[0.65217, 0.16667, 0.46667]",0.54545,0.52532,"[0.61538, 0.44444, 0.51613]",73,0.2697,2.24928,553,STOPPED,73.266
175,20251212_204045,gaitgl_OUMVLP.csv,best_configs_v3,LSTM,42,1,[256],True,,0.0,[],[],last,,,False,64,AdamW,,0.0005,1e-05,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.13964,1.46319,0.52273,0.36198,"[0.64151, 0.0, 0.44444]",0.54545,0.45879,"[0.54545, 0.22222, 0.6087]",55,0.18173,1.52745,451,STOPPED,59.869
176,20251212_204045,gaitpart_GREW.csv,best_configs_v3,LSTM,42,1,[256],True,,0.0,[],[],last,,,False,64,AdamW,,0.0005,1e-05,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.13997,2.29566,0.43182,0.39614,"[0.52174, 0.33333, 0.33333]",0.56818,0.52222,"[0.66667, 0.4, 0.5]",109,0.18978,1.7875,435,STOPPED,31.943
177,20251212_204045,gaitpart_OUMVLP.csv,best_configs_v3,LSTM,42,1,[256],True,,0.0,[],[],last,,,False,64,AdamW,,0.0005,1e-05,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14525,2.30336,0.36364,0.33289,"[0.4878, 0.26087, 0.25]",0.61364,0.55,"[0.66667, 0.33333, 0.65]",79,0.60339,1.31617,776,STOPPED,57.061
178,20251212_204045,gaitset.csv,best_configs_v3,LSTM,42,1,[256],True,,0.0,[],[],last,,,False,64,AdamW,,0.0005,1e-05,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14124,1.82283,0.43182,0.30665,"[0.61224, 0.0, 0.30769]",0.5,0.44733,"[0.60465, 0.28571, 0.45161]",306,0.14816,1.87126,344,STOPPED,44.682
179,20251212_204045,gaitset_GREW.csv,best_configs_v3,LSTM,42,1,[256],True,,0.0,[],[],last,,,False,64,AdamW,,0.0005,1e-05,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14048,1.92084,0.38636,0.30014,"[0.47619, 0.0, 0.42424]",0.52273,0.375,"[0.625, 0.0, 0.5]",65,0.23672,2.1341,445,STOPPED,57.587
180,20251212_204045,gaitset_OUMVLP.csv,best_configs_v3,LSTM,42,1,[256],True,,0.0,[],[],last,,,False,64,AdamW,,0.0005,1e-05,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14269,2.41404,0.34091,0.33358,"[0.3871, 0.25, 0.36364]",0.56818,0.47972,"[0.63158, 0.22222, 0.58537]",336,0.18236,1.65343,646,STOPPED,83.993
181,20251212_204045,gln_phase1.csv,best_configs_v3,LSTM,42,1,[256],True,,0.0,[],[],last,,,False,64,AdamW,,0.0005,1e-05,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14024,1.04862,0.59091,0.55163,"[0.66667, 0.4, 0.58824]",0.70455,0.69453,"[0.72727, 0.66667, 0.68966]",43,0.40899,0.89922,400,STOPPED,68.308
182,20251212_204045,gln_phase2.csv,best_configs_v3,LSTM,42,1,[256],True,,0.0,[],[],last,,,False,64,AdamW,,0.0005,1e-05,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14035,1.42011,0.52273,0.435,"[0.65116, 0.15385, 0.5]",0.59091,0.53704,"[0.66667, 0.44444, 0.5]",392,0.20436,1.40675,472,STOPPED,80.863

