id,timestamp,target_embedding,source_params,model,seed,input_dim,num_layers,layer_sizes,bidirectional,norm,dropout,dropout_layers,norm_layers,pooling,fc_hidden,activation,norm_post_lstm,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,native_mode,train_loss,accuracy,epochs_trained,f1_macro,best_f1,best_epoch,best_state_loss
229,20250918_204946,gaitgl_GREW_BNNeck.csv,Personalizado,LSTM,42,256,3,"[512, 256, 128]",True,L2,0.2,[],[],max,256,elu,False,32,RMSprop,,0.001,1e-06,False,1.00927,0.47727,116,0.21538,0.21538,116,1.00927
230,20250918_204946,gaitgl_OUMVLP.csv,Personalizado,LSTM,42,256,3,"[512, 256, 128]",True,L2,0.2,[],[],max,256,elu,False,32,RMSprop,,0.001,1e-06,False,1.01348,0.47727,113,0.21538,0.21538,113,1.01348
231,20250918_204946,gaitpart.csv,Personalizado,LSTM,42,128,3,"[512, 256, 128]",True,L2,0.2,[],[],max,256,elu,False,32,RMSprop,,0.001,1e-06,False,0.90259,0.5,116,0.22222,0.22222,116,0.90259
232,20250918_204946,gaitpart_GREW.csv,Personalizado,LSTM,42,256,3,"[512, 256, 128]",True,L2,0.2,[],[],max,256,elu,False,32,RMSprop,,0.001,1e-06,False,0.0155,0.52273,136,0.41989,0.55798,135,0.02494
233,20250918_204946,gaitpart_OUMVLP.csv,Personalizado,LSTM,42,256,3,"[512, 256, 128]",True,L2,0.2,[],[],max,256,elu,False,32,RMSprop,,0.001,1e-06,False,1.00714,0.47727,136,0.21538,0.21538,136,1.00714
234,20250918_204946,gaitset.csv,Personalizado,LSTM,42,256,3,"[512, 256, 128]",True,L2,0.2,[],[],max,256,elu,False,32,RMSprop,,0.001,1e-06,False,0.02699,0.47727,91,0.34246,0.37333,90,0.05805
235,20250918_204946,gaitset_GREW.csv,Personalizado,LSTM,42,256,3,"[512, 256, 128]",True,L2,0.2,[],[],max,256,elu,False,32,RMSprop,,0.001,1e-06,False,1.00737,0.47727,139,0.21538,0.21538,139,1.00737
236,20250918_204946,gaitset_OUMVLP.csv,Personalizado,LSTM,42,256,3,"[512, 256, 128]",True,L2,0.2,[],[],max,256,elu,False,32,RMSprop,,0.001,1e-06,False,1.00818,0.47727,208,0.21538,0.21538,208,1.00818
237,20250918_204946,gln_phase1.csv,Personalizado,LSTM,42,256,3,"[512, 256, 128]",True,L2,0.2,[],[],max,256,elu,False,32,RMSprop,,0.001,1e-06,False,0.93355,0.36364,213,0.25383,0.25383,213,0.93355
238,20250918_204946,gln_phase2.csv,Personalizado,LSTM,42,256,3,"[512, 256, 128]",True,L2,0.2,[],[],max,256,elu,False,32,RMSprop,,0.001,1e-06,False,0.0417,0.45455,226,0.44035,0.48148,198,0.19591

239,20250918_210359,baseline_CASIAB.csv,Personalizado,LSTM,42,256,2,"[384, 384]",False,L2,0.0,[],[],last,,,False,96,AdamW,,0.0008,5e-06,True,0.07196,0.47727,279,0.45803,0.46111,254,0.17395
240,20250918_210359,baseline_OUMVLP.csv,Personalizado,LSTM,42,256,2,"[384, 384]",False,L2,0.0,[],[],last,,,False,96,AdamW,,0.0008,5e-06,True,0.07516,0.40909,392,0.34994,0.4472,381,0.17113
241,20250918_210359,gaitgl.csv,Personalizado,LSTM,42,128,2,"[384, 384]",False,L2,0.0,[],[],last,,,False,96,AdamW,,0.0008,5e-06,True,0.06107,0.43182,140,0.38571,0.40961,137,0.13336
242,20250918_210359,gaitgl_GREW.csv,Personalizado,LSTM,42,256,2,"[384, 384]",False,L2,0.0,[],[],last,,,False,96,AdamW,,0.0008,5e-06,True,0.09746,0.5,103,0.41506,0.5,92,0.19878
