id,timestamp,target_embedding,top_variant,source_params,model,seed,input_dim,num_layers,layer_sizes,bidirectional,norm,dropout,dropout_layers,norm_layers,pooling,fc_hidden,activation,norm_post_lstm,native_mode,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,label_smoothing,clip_grad_norm,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
27,20260111_191136,baseline_CASIAB_LOW70.csv,70%,Preset_1,LSTM,42,256,1,[448],False,L2,0.0,[],[],last,1024,silu,True,True,32,Adam,,0.001,1e-06,0.02,1.0,0.11506,2.23452,0.47727,0.43828,"[0.55, 0.30769, 0.45714]",118,0.46873,2.63878,0.52273,0.48468,"[0.52632, 0.36364, 0.5641]",55,COMPLETED,16.689
28,20260111_191136,baseline_OUMVLP_LOW70.csv,70%,Preset_1,LSTM,42,256,1,[448],False,L2,0.0,[],[],last,1024,silu,True,True,32,Adam,,0.001,1e-06,0.02,1.0,0.10892,1.70126,0.52273,0.44214,"[0.55, 0.18182, 0.59459]",141,0.55526,1.20525,0.59091,0.56907,"[0.54054, 0.5, 0.66667]",58,COMPLETED,20.011
29,20260111_191136,gaitgl_GREW_BNNeck_LOW70.csv,70%,Preset_1,LSTM,42,256,1,[448],False,L2,0.0,[],[],last,1024,silu,True,True,32,Adam,,0.001,1e-06,0.02,1.0,0.11265,2.20195,0.43182,0.40508,"[0.42105, 0.30769, 0.48649]",64,0.73194,1.39033,0.45455,0.4626,"[0.4878, 0.5, 0.4]",19,COMPLETED,11.024
30,20260111_191136,gaitgl_GREW_LOW70.csv,70%,Preset_1,LSTM,42,256,1,[448],False,L2,0.0,[],[],last,1024,silu,True,True,32,Adam,,0.001,1e-06,0.02,1.0,0.1028,2.2742,0.31818,0.28592,"[0.36364, 0.2, 0.29412]",39,0.23936,1.93742,0.43182,0.37436,"[0.41026, 0.2, 0.51282]",20,COMPLETED,6.72
31,20260111_191136,gaitgl_LOW70.csv,70%,Preset_1,LSTM,42,128,1,[448],False,L2,0.0,[],[],last,1024,silu,True,True,32,Adam,,0.001,1e-06,0.02,1.0,0.10654,1.93716,0.47727,0.42849,"[0.57778, 0.30769, 0.4]",45,0.28136,1.943,0.54545,0.52035,"[0.625, 0.58824, 0.34783]",24,COMPLETED,7.229
32,20260111_191136,gaitgl_OUMVLP_LOW70.csv,70%,Preset_1,LSTM,42,256,1,[448],False,L2,0.0,[],[],last,1024,silu,True,True,32,Adam,,0.001,1e-06,0.02,1.0,0.1077,2.4944,0.40909,0.30808,"[0.5, 0.0, 0.42424]",112,0.42277,1.59044,0.52273,0.38316,"[0.5641, 0.0, 0.58537]",44,COMPLETED,19.481
33,20260111_191136,gaitpart_GREW_LOW70.csv,70%,Preset_1,LSTM,42,256,1,[448],False,L2,0.0,[],[],last,1024,silu,True,True,32,Adam,,0.001,1e-06,0.02,1.0,0.11183,2.08553,0.43182,0.38443,"[0.55814, 0.21053, 0.38462]",109,0.22556,1.88959,0.61364,0.51608,"[0.66667, 0.25, 0.63158]",99,COMPLETED,13.86
34,20260111_191136,gaitpart_OUMVLP_LOW70.csv,70%,Preset_1,LSTM,42,256,1,[448],False,L2,0.0,[],[],last,1024,silu,True,True,32,Adam,,0.001,1e-06,0.02,1.0,0.10412,2.0911,0.56818,0.52668,"[0.68421, 0.33333, 0.5625]",362,0.23396,2.06216,0.59091,0.56209,"[0.7027, 0.42105, 0.5625]",302,COMPLETED,43.432
35,20260111_191136,gaitset_GREW_LOW70.csv,70%,Preset_1,LSTM,42,256,1,[448],False,L2,0.0,[],[],last,1024,silu,True,True,32,Adam,,0.001,1e-06,0.02,1.0,0.10417,2.35265,0.43182,0.36722,"[0.35294, 0.13333, 0.61538]",90,0.52035,1.6489,0.40909,0.40142,"[0.41379, 0.33333, 0.45714]",48,COMPLETED,14.425
36,20260111_191136,gaitset_LOW70.csv,70%,Preset_1,LSTM,42,256,1,[448],False,L2,0.0,[],[],last,1024,silu,True,True,32,Adam,,0.001,1e-06,0.02,1.0,0.10928,2.11572,0.47727,0.4163,"[0.57778, 0.11111, 0.56]",82,0.38593,2.16543,0.47727,0.44854,"[0.57895, 0.3, 0.46667]",38,COMPLETED,13.118
37,20260111_191136,gaitset_OUMVLP_LOW70.csv,70%,Preset_1,LSTM,42,256,1,[448],False,L2,0.0,[],[],last,1024,silu,True,True,32,Adam,,0.001,1e-06,0.02,1.0,0.10447,1.74994,0.47727,0.42048,"[0.56, 0.26667, 0.43478]",452,0.36242,1.44468,0.63636,0.60476,"[0.71429, 0.5, 0.6]",306,COMPLETED,76.211
38,20260111_191136,gln_phase1_LOW70.csv,70%,Preset_1,LSTM,42,256,1,[448],False,L2,0.0,[],[],last,1024,silu,True,True,32,Adam,,0.001,1e-06,0.02,1.0,0.11316,2.64435,0.34091,0.32381,"[0.5, 0.4, 0.07143]",88,0.41807,1.78983,0.47727,0.45524,"[0.57895, 0.375, 0.41176]",47,COMPLETED,16.316
39,20260111_191136,gln_phase2_LOW70.csv,70%,Preset_1,LSTM,42,256,1,[448],False,L2,0.0,[],[],last,1024,silu,True,True,32,Adam,,0.001,1e-06,0.02,1.0,0.1039,1.87657,0.47727,0.40166,"[0.63415, 0.13333, 0.4375]",68,0.15256,2.0481,0.5,0.48961,"[0.58537, 0.52632, 0.35714]",53,COMPLETED,13.182

40,20260111_191136,baseline_CASIAB_LOW70.csv,70%,Preset_25,LSTM,42,256,4,"[64, 160, 384, 896]",False,nan,0.25,"[1, 3]","[1, 2, 3]",last,256,gelu,False,False,64,AdamW,,0.0001,1e-06,0.02,1.0,0.10886,1.85915,0.52273,0.53702,"[0.57143, 0.61538, 0.42424]",155,0.1279,1.8802,0.61364,0.61111,"[0.66667, 0.66667, 0.5]",130,COMPLETED,30.953
41,20260111_191136,baseline_OUMVLP_LOW70.csv,70%,Preset_25,LSTM,42,256,4,"[64, 160, 384, 896]",False,nan,0.25,"[1, 3]","[1, 2, 3]",last,256,gelu,False,False,64,AdamW,,0.0001,1e-06,0.02,1.0,0.11327,2.18492,0.5,0.46465,"[0.54545, 0.36364, 0.48485]",168,0.15504,2.101,0.56818,0.52719,"[0.55, 0.4, 0.63158]",130,COMPLETED,33.239
42,20260111_191136,gaitgl_GREW_BNNeck_LOW70.csv,70%,Preset_25,LSTM,42,256,4,"[64, 160, 384, 896]",False,nan,0.25,"[1, 3]","[1, 2, 3]",last,256,gelu,False,False,64,AdamW,,0.0001,1e-06,0.02,1.0,0.11459,2.14966,0.45455,0.38364,"[0.54545, 0.15385, 0.45161]",219,0.14056,2.23612,0.54545,0.48014,"[0.66667, 0.23529, 0.53846]",191,COMPLETED,57.705
43,20260111_191136,gaitgl_GREW_LOW70.csv,70%,Preset_25,LSTM,42,256,4,"[64, 160, 384, 896]",False,nan,0.25,"[1, 3]","[1, 2, 3]",last,256,gelu,False,False,64,AdamW,,0.0001,1e-06,0.02,1.0,0.11256,1.94395,0.47727,0.35478,"[0.52381, 0.0, 0.54054]",63,0.11592,1.98367,0.52273,0.48025,"[0.51282, 0.33333, 0.59459]",50,COMPLETED,16.7
44,20260111_191136,gaitgl_LOW70.csv,70%,Preset_25,LSTM,42,128,4,"[64, 160, 384, 896]",False,nan,0.25,"[1, 3]","[1, 2, 3]",last,256,gelu,False,False,64,AdamW,,0.0001,1e-06,0.02,1.0,0.11383,2.25557,0.43182,0.3331,"[0.51282, 0.0, 0.48649]",58,0.11838,2.21887,0.52273,0.435,"[0.65116, 0.15385, 0.5]",55,COMPLETED,14.97
45,20260111_191136,gaitgl_OUMVLP_LOW70.csv,70%,Preset_25,LSTM,42,256,4,"[64, 160, 384, 896]",False,nan,0.25,"[1, 3]","[1, 2, 3]",last,256,gelu,False,False,64,AdamW,,0.0001,1e-06,0.02,1.0,0.11556,2.19765,0.40909,0.27015,"[0.58824, 0.0, 0.22222]",158,0.13124,2.1011,0.54545,0.45443,"[0.65116, 0.16667, 0.54545]",122,COMPLETED,41.943
46,20260111_191136,gaitpart_GREW_LOW70.csv,70%,Preset_25,LSTM,42,256,4,"[64, 160, 384, 896]",False,nan,0.25,"[1, 3]","[1, 2, 3]",last,256,gelu,False,False,64,AdamW,,0.0001,1e-06,0.02,1.0,0.11817,1.48998,0.54545,0.45823,"[0.60465, 0.18182, 0.58824]",221,0.61807,1.25042,0.56818,0.47963,"[0.55, 0.22222, 0.66667]",89,COMPLETED,38.244
