id,timestamp,target_embedding,top_variant,source_params,model,seed,input_dim,num_layers,layer_sizes,bidirectional,norm,dropout,dropout_layers,norm_layers,pooling,fc_hidden,activation,norm_post_lstm,native_mode,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,label_smoothing,clip_grad_norm,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
25,20260111_191136,gln_phase1_LOW50.csv,50%,Preset_3,LSTM,42,256,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,True,32,AdamW,,0.0002,1e-06,0.02,1.0,0.1068,1.68367,0.29545,0.25329,"[0.43902, 0.13333, 0.1875]",89,0.15821,1.84344,0.5,0.46185,"[0.6383, 0.46154, 0.28571]",55,COMPLETED,18.716
26,20260111_191136,gln_phase2_LOW50.csv,50%,Preset_3,LSTM,42,256,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,True,32,AdamW,,0.0002,1e-06,0.02,1.0,0.11966,2.17501,0.47727,0.45322,"[0.52632, 0.33333, 0.5]",66,0.11966,2.17501,0.47727,0.45322,"[0.52632, 0.33333, 0.5]",66,COMPLETED,13.691

27,20260111_191136,baseline_CASIAB_LOW50.csv,50%,Preset_18,LSTM,42,256,1,[128],False,nan,0.0,[],[],last,,nan,False,True,64,Adam,,0.003,0.0,0.02,1.0,0.10356,2.06516,0.5,0.41919,"[0.59091, 0.18182, 0.48485]",104,0.11266,2.03792,0.59091,0.52197,"[0.68085, 0.33333, 0.55172]",82,COMPLETED,6.399
28,20260111_191136,baseline_OUMVLP_LOW50.csv,50%,Preset_18,LSTM,42,256,1,[128],False,nan,0.0,[],[],last,,nan,False,True,64,Adam,,0.003,0.0,0.02,1.0,0.10462,1.79605,0.5,0.4241,"[0.56522, 0.22222, 0.48485]",113,0.50655,1.43453,0.52273,0.49495,"[0.60465, 0.42857, 0.45161]",71,COMPLETED,7.642
29,20260111_191136,gaitgl_GREW_BNNeck_LOW50.csv,50%,Preset_18,LSTM,42,256,1,[128],False,nan,0.0,[],[],last,,nan,False,True,64,Adam,,0.003,0.0,0.02,1.0,0.10454,2.60319,0.43182,0.36869,"[0.5, 0.18182, 0.42424]",95,0.14938,3.06771,0.47727,0.46266,"[0.51429, 0.4, 0.47368]",70,COMPLETED,7.612
30,20260111_191136,gaitgl_GREW_LOW50.csv,50%,Preset_18,LSTM,42,256,1,[128],False,nan,0.0,[],[],last,,nan,False,True,64,Adam,,0.003,0.0,0.02,1.0,0.10413,1.57333,0.40909,0.33503,"[0.25806, 0.18182, 0.56522]",17,0.10996,1.49685,0.47727,0.45937,"[0.47368, 0.375, 0.52941]",14,COMPLETED,1.391
31,20260111_191136,gaitgl_LOW50.csv,50%,Preset_18,LSTM,42,128,1,[128],False,nan,0.0,[],[],last,,nan,False,True,64,Adam,,0.003,0.0,0.02,1.0,0.10726,2.22737,0.47727,0.4402,"[0.59574, 0.42857, 0.2963]",19,0.10726,2.22737,0.47727,0.4402,"[0.59574, 0.42857, 0.2963]",19,COMPLETED,1.409
32,20260111_191136,gaitgl_OUMVLP_LOW50.csv,50%,Preset_18,LSTM,42,256,1,[128],False,nan,0.0,[],[],last,,nan,False,True,64,Adam,,0.003,0.0,0.02,1.0,0.11494,1.95739,0.45455,0.31582,"[0.62745, 0.0, 0.32]",90,0.19164,1.8326,0.59091,0.42667,"[0.68, 0.0, 0.6]",71,COMPLETED,7.262
33,20260111_191136,gaitpart_GREW_LOW50.csv,50%,Preset_18,LSTM,42,256,1,[128],False,nan,0.0,[],[],last,,nan,False,True,64,Adam,,0.003,0.0,0.02,1.0,0.10938,2.38654,0.5,0.45577,"[0.58537, 0.21053, 0.57143]",146,0.12229,2.36692,0.54545,0.48879,"[0.61905, 0.26667, 0.58065]",127,COMPLETED,8.268
