number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pca_frac,pooling,use_pca,weight_decay
11,0.21839080459770113,PRUNED,2025-11-26 00:03:51.422059,2025-11-26 00:03:55.467614,0 days 00:00:04.045555,"[768, 768, 768, 768, 768, 768]","[1, 2, 3, 4]","[1, 2, 3]",relu,768,128,0.2,1e-05,minmax,6,uniform,0.8,max,True,1e-07
12,0.38546662781308666,COMPLETE,2025-11-26 00:03:55.467614,2025-11-26 00:04:10.904311,0 days 00:00:15.436697,"[896, 448, 224]",[1],[1],silu,896,48,0.2,0.0005,L2,3,decreasing,0.8,max,True,0.0
13,0.35725526633337296,COMPLETE,2025-11-26 00:04:10.904311,2025-11-26 00:04:26.478341,0 days 00:00:15.574030,"[256, 256, 256, 256, 256]",[2],[],relu,256,48,,0.0002,minmax,5,uniform,0.8,max,True,1e-07
14,0.21839080459770113,PRUNED,2025-11-26 00:04:26.480661,2025-11-26 00:04:28.987507,0 days 00:00:02.506846,"[896, 448]",[],[],gelu,896,96,,0.0002,minmax,2,decreasing,,max,False,1e-07
15,0.1761006289308176,PRUNED,2025-11-26 00:04:28.987507,2025-11-26 00:04:35.132614,0 days 00:00:06.145107,"[768, 768, 768, 768, 768]","[0, 1, 2, 3]","[0, 1, 3]",elu,768,128,0.4,0.0005,L2,5,uniform,0.8,max,True,1e-07
16,0.2092255737201627,PRUNED,2025-11-26 00:04:35.133614,2025-11-26 00:04:39.570405,0 days 00:00:04.436791,"[384, 384]",[],[],silu,384,48,,1e-05,minmax,2,uniform,0.8,max,True,0.0
17,0.21839080459770113,PRUNED,2025-11-26 00:04:39.570405,2025-11-26 00:04:42.006343,0 days 00:00:02.435938,"[128, 64, 64, 64, 64]",[],"[0, 2]",relu,128,96,0.1,0.0001,L2,5,decreasing,0.9,max,True,1e-06
18,0.40387714476581793,COMPLETE,2025-11-26 00:04:42.007346,2025-11-26 00:04:53.662948,0 days 00:00:11.655602,"[640, 640]",[0],[],silu,640,96,,0.001,L2,2,uniform,,mean,False,1e-07
19,0.21839080459770113,PRUNED,2025-11-26 00:04:53.665129,2025-11-26 00:04:57.936825,0 days 00:00:04.271696,"[640, 640, 640]","[0, 1]","[0, 1]",silu,640,48,0.5,0.001,L2,3,uniform,,mean,False,1e-07
20,0.42713506940408286,COMPLETE,2025-11-26 00:04:57.937827,2025-11-26 00:05:16.032903,0 days 00:00:18.095076,"[640, 640, 640, 640, 640]","[0, 1, 2, 3]","[1, 3]",silu,640,64,0.3,0.001,L2,5,uniform,,mean,False,1e-07
21,0.21839080459770113,PRUNED,2025-11-26 00:05:16.034914,2025-11-26 00:05:19.170726,0 days 00:00:03.135812,"[640, 640, 640, 640, 640]","[0, 1, 2, 3]","[1, 3]",silu,640,64,0.3,0.001,L2,5,uniform,,mean,False,1e-07
22,0.21839080459770113,PRUNED,2025-11-26 00:05:19.170726,2025-11-26 00:05:23.467887,0 days 00:00:04.297161,"[640, 640, 640, 640, 640, 640]","[0, 1, 2, 3, 4]","[1, 3, 4]",silu,640,64,0.3,0.001,L2,6,uniform,,mean,False,1e-07
23,0.21839080459770113,PRUNED,2025-11-26 00:05:23.467887,2025-11-26 00:05:26.329542,0 days 00:00:02.861655,"[640, 640, 640, 640]","[0, 1, 2]",[1],silu,640,64,0.3,0.001,L2,4,uniform,,mean,False,1e-07
24,0.35884461311406285,PRUNED,2025-11-26 00:05:26.330545,2025-11-26 00:05:46.691425,0 days 00:00:20.360880,"[256, 256, 256, 256, 256]","[0, 1, 2, 3]","[1, 3]",silu,256,16,0.2,0.0002,L2,5,uniform,,mean,False,1e-07
25,0.21839080459770113,PRUNED,2025-11-26 00:05:46.691425,2025-11-26 00:05:52.349702,0 days 00:00:05.658277,"[896, 896, 896, 896, 896, 896]","[0, 1, 3]","[0, 1, 2, 3]",silu,896,32,0.3,0.001,L2,6,uniform,,mean,False,0.0
26,0.27904040404040403,PRUNED,2025-11-26 00:05:52.350706,2025-11-26 00:05:53.220332,0 days 00:00:00.869626,"[640, 640, 640]",[0],[],silu,640,128,,0.001,L2,3,uniform,,mean,False,1e-06
27,0.41106479939808677,COMPLETE,2025-11-26 00:05:53.220332,2025-11-26 00:06:07.513879,0 days 00:00:14.293547,"[640, 640]",[0],[0],elu,640,96,0.2,0.0002,L2,2,uniform,,mean,False,1e-05
