number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pca_frac,pooling,use_pca,weight_decay
38,0.40259911076116656,COMPLETE,2025-11-26 00:42:09.400744,2025-11-26 00:42:22.518439,0 days 00:00:13.117695,"[128, 128, 128, 128]","[0, 1]","[0, 1]",leakyrelu,128,96,0.4,0.0005,L2,4,uniform,0.8,mean,True,1e-05
39,0.21839080459770113,PRUNED,2025-11-26 00:42:22.520954,2025-11-26 00:42:26.660711,0 days 00:00:04.139757,"[1024, 512, 256]","[0, 1]","[0, 1]",gelu,1024,32,0.5,0.0001,minmax,3,decreasing,,mean,False,0.0
40,0.28438228438228436,PRUNED,2025-11-26 00:42:26.661888,2025-11-26 00:42:30.324263,0 days 00:00:03.662375,"[640, 320, 160, 80]","[0, 1]","[0, 1]",elu,640,48,0.1,0.001,minmax,4,decreasing,0.6,mean,True,1e-07
41,0.4284981126363827,COMPLETE,2025-11-26 00:42:30.325263,2025-11-26 00:42:50.811122,0 days 00:00:20.485859,"[896, 448, 224, 112]","[0, 1, 2]",[1],tanh,896,64,0.4,0.0002,minmax,4,decreasing,,max,False,1e-06
42,0.31843711843711847,PRUNED,2025-11-26 00:42:50.814135,2025-11-26 00:42:52.128540,0 days 00:00:01.314405,"[896, 896, 896]",[0],[1],tanh,896,64,0.4,2e-05,minmax,3,uniform,,max,False,1e-06
43,0.1761006289308176,PRUNED,2025-11-26 00:42:52.128540,2025-11-26 00:42:55.824237,0 days 00:00:03.695697,"[256, 128]",[0],[],tanh,256,64,,1e-05,minmax,2,decreasing,,max,False,1e-06
44,0.4313947760428567,COMPLETE,2025-11-26 00:42:55.824237,2025-11-26 00:43:37.054666,0 days 00:00:41.230429,"[896, 448, 224]","[0, 1]",[1],tanh,896,16,0.5,0.0002,minmax,3,decreasing,,max,False,0.0001
45,0.4126916439150379,COMPLETE,2025-11-26 00:43:37.056675,2025-11-26 00:44:15.234680,0 days 00:00:38.178005,"[1024, 512, 256, 128]","[0, 2]",[1],relu,1024,32,0.1,0.0002,L2,4,decreasing,,max,False,1e-05
46,0.3261663286004057,PRUNED,2025-11-26 00:44:15.236689,2025-11-26 00:44:18.919993,0 days 00:00:03.683304,"[128, 64]",[],[0],tanh,128,96,0.3,0.001,minmax,2,decreasing,,mean,False,1e-06
47,0.269740328563858,PRUNED,2025-11-26 00:44:18.919993,2025-11-26 00:44:25.256899,0 days 00:00:06.336906,"[768, 768, 768]","[0, 1]","[0, 1]",leakyrelu,768,64,0.3,0.0005,minmax,3,uniform,,max,False,1e-05
48,0.21637426900584797,PRUNED,2025-11-26 00:44:25.257902,2025-11-26 00:44:35.097931,0 days 00:00:09.840029,[384],[],[],elu,384,48,,0.001,minmax,1,decreasing,,mean,False,1e-06
49,0.36563045294664565,COMPLETE,2025-11-26 00:44:35.098937,2025-11-26 00:44:59.617785,0 days 00:00:24.518848,"[448, 896]",[0],[],tanh,896,32,,2e-05,minmax,2,increasing,,mean,False,0.0
