number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pca_frac,pooling,use_pca,weight_decay
38,0.21839080459770113,PRUNED,2025-11-26 01:26:51.292934,2025-11-26 01:26:53.219268,0 days 00:00:01.926334,"[896, 448, 224, 112, 64, 64]","[3, 4]","[0, 3]",elu,896,64,0.5,0.0001,L2,6,decreasing,,max,False,0.0001
39,0.3720231709933491,PRUNED,2025-11-26 01:26:53.219268,2025-11-26 01:26:55.650219,0 days 00:00:02.430951,"[256, 256, 256, 256, 256]","[1, 2, 3]","[1, 2, 3]",relu,256,128,0.2,0.0005,L2,5,uniform,0.8,mean,True,1e-07
40,0.2716049382716049,PRUNED,2025-11-26 01:26:55.652222,2025-11-26 01:27:15.341315,0 days 00:00:19.689093,"[64, 64, 96, 192, 384]","[1, 2, 3]","[1, 2, 3]",leakyrelu,384,16,0.3,1e-05,minmax,5,increasing,0.9,mean,True,1e-06
41,0.3756642159723032,PRUNED,2025-11-26 01:27:15.342318,2025-11-26 01:27:20.296600,0 days 00:00:04.954282,"[128, 64, 64, 64, 64, 64]","[0, 1, 2, 3, 4]","[1, 2, 4]",tanh,128,48,0.5,0.0005,L2,6,decreasing,0.9,max,True,1e-05
42,0.20471380471380474,PRUNED,2025-11-26 01:27:20.296600,2025-11-26 01:27:24.172026,0 days 00:00:03.875426,"[128, 64, 64, 64, 64, 64]","[0, 1, 2, 3, 4]","[1, 2]",silu,128,64,0.5,0.0005,L2,6,decreasing,0.9,max,True,0.0
43,0.21839080459770113,PRUNED,2025-11-26 01:27:24.173029,2025-11-26 01:27:29.457684,0 days 00:00:05.284655,"[128, 64, 64, 64, 64, 64]","[0, 1, 2, 3, 4]","[1, 2]",elu,128,48,0.5,0.0005,L2,6,decreasing,0.9,max,True,1e-05
44,0.3239775461106656,PRUNED,2025-11-26 01:27:29.457684,2025-11-26 01:27:31.248378,0 days 00:00:01.790694,"[128, 64, 64, 64, 64, 64]","[0, 1, 2, 3]","[1, 2, 4]",tanh,128,96,0.5,0.001,L2,6,decreasing,0.6,max,True,1e-05
45,0.21839080459770113,PRUNED,2025-11-26 01:27:31.248378,2025-11-26 01:27:35.771490,0 days 00:00:04.523112,"[512, 256, 128, 64, 64, 64]","[1, 4]","[1, 2, 3]",gelu,512,48,0.1,0.0005,L2,6,decreasing,,max,False,1e-07
46,0.1574074074074074,PRUNED,2025-11-26 01:27:35.771490,2025-11-26 01:27:57.703491,0 days 00:00:21.932001,"[64, 64, 64, 64, 128]","[0, 1, 2, 3]",[],leakyrelu,128,32,,5e-05,minmax,5,increasing,0.9,mean,True,0.0001
47,0.2432783608195902,PRUNED,2025-11-26 01:27:57.703491,2025-11-26 01:28:02.001511,0 days 00:00:04.298020,[768],[],[],tanh,768,64,,0.0005,L2,1,uniform,0.7,max,True,1e-05
48,0.1761006289308176,PRUNED,2025-11-26 01:28:02.002512,2025-11-26 01:28:13.235313,0 days 00:00:11.232801,"[128, 64, 64, 64, 64, 64]","[1, 2, 4]","[0, 1, 2]",silu,128,16,0.4,2e-05,L2,6,decreasing,0.8,max,True,0.0
49,0.21637426900584797,PRUNED,2025-11-26 01:28:13.235313,2025-11-26 01:28:28.358203,0 days 00:00:15.122890,"[1024, 512, 256]","[0, 1]",[1],gelu,1024,48,0.5,0.0002,L2,3,decreasing,,max,False,1e-05
