number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pca_frac,pooling,use_pca,weight_decay
17,0.43095552019727207,COMPLETE,2025-11-26 00:55:38.951532,2025-11-26 00:55:58.433508,0 days 00:00:19.481976,"[64, 64, 64, 96, 192, 384]","[0, 1, 2]",[4],tanh,384,64,0.3,0.0001,L2,6,increasing,0.7,mean,True,1e-05
18,0.5059545471162158,COMPLETE,2025-11-26 00:55:58.435746,2025-11-26 00:57:01.574554,0 days 00:01:03.138808,"[128, 64, 64, 64]","[0, 1]","[1, 2]",elu,128,16,0.4,0.001,minmax,4,decreasing,0.7,mean,True,1e-06
19,0.21839080459770113,PRUNED,2025-11-26 00:57:01.574554,2025-11-26 00:57:16.014175,0 days 00:00:14.439621,"[128, 64, 64, 64, 64]","[0, 1, 3]","[1, 2, 3]",elu,128,16,0.4,0.001,minmax,5,decreasing,0.9,mean,True,1e-06
20,0.3313355530891602,PRUNED,2025-11-26 00:57:16.014175,2025-11-26 00:57:39.572918,0 days 00:00:23.558743,"[128, 64, 64, 64]","[0, 1, 2]",[1],elu,128,16,0.4,0.001,minmax,4,decreasing,0.5,mean,True,1e-06
21,0.263047922757886,COMPLETE,2025-11-26 00:57:39.576074,2025-11-26 00:58:31.889729,0 days 00:00:52.313655,"[128, 64, 64, 64]","[0, 1]","[1, 2]",leakyrelu,128,16,0.5,5e-05,minmax,4,decreasing,0.7,mean,True,1e-06
22,0.28803191302002235,COMPLETE,2025-11-26 00:58:31.891741,2025-11-26 00:59:07.173742,0 days 00:00:35.282001,"[640, 320, 160, 80]","[0, 1]","[1, 2]",elu,640,32,0.4,1e-05,minmax,4,decreasing,0.7,mean,True,1e-06
23,0.4698159342303366,COMPLETE,2025-11-26 00:59:07.175759,2025-11-26 00:59:35.168653,0 days 00:00:27.992894,"[256, 256, 256, 256, 256]","[0, 1]",[2],elu,256,32,0.1,0.001,minmax,5,uniform,0.7,max,True,1e-06
24,0.21839080459770113,PRUNED,2025-11-26 00:59:35.170660,2025-11-26 00:59:45.736159,0 days 00:00:10.565499,"[256, 256, 256, 256, 256]","[0, 1]","[1, 2]",elu,256,16,0.1,0.001,minmax,5,uniform,0.6,mean,True,1e-06
25,0.18238993710691823,PRUNED,2025-11-26 00:59:45.737202,2025-11-26 01:00:04.662871,0 days 00:00:18.925669,"[256, 256, 256, 256, 256, 256]","[0, 1]","[0, 1, 2, 4]",elu,256,32,0.4,0.001,minmax,6,uniform,0.7,mean,True,0.0
26,0.18238993710691823,PRUNED,2025-11-26 01:00:04.662871,2025-11-26 01:00:16.530507,0 days 00:00:11.867636,"[256, 256, 256, 256, 256]","[0, 1]",[2],elu,256,64,0.1,0.001,minmax,5,uniform,0.7,max,True,1e-05
27,0.3891591685847806,PRUNED,2025-11-26 01:00:16.532525,2025-11-26 01:00:19.290556,0 days 00:00:02.758031,"[128, 128]",[0],[],elu,128,48,,0.001,minmax,2,uniform,0.7,mean,True,1e-06
28,0.35979049153908144,PRUNED,2025-11-26 01:00:19.291561,2025-11-26 01:00:22.587766,0 days 00:00:03.296205,"[128, 128, 128, 128, 128, 128]","[0, 1, 2, 3, 4]","[1, 3]",elu,128,96,0.2,0.001,minmax,6,uniform,0.9,max,True,1e-06
29,0.21839080459770113,PRUNED,2025-11-26 01:00:22.588647,2025-11-26 01:00:26.182612,0 days 00:00:03.593965,"[768, 384, 192]",[],[0],gelu,768,16,0.3,1e-05,minmax,3,decreasing,0.8,mean,True,1e-06
30,0.402659819606294,PRUNED,2025-11-26 01:00:26.183616,2025-11-26 01:00:28.828289,0 days 00:00:02.644673,"[256, 256, 256, 256]","[0, 1]","[1, 2]",tanh,256,32,0.5,0.0001,minmax,4,uniform,0.6,mean,True,1e-07
