number,value,state,datetime_start,datetime_complete,duration,activation,batch_size,bidirectional,dropout,fc_hidden,lr,momentum_sgd,norm,norm_post_lstm,num_layers,optimizer,pooling,weight_decay,layer_sizes,dropout_layers,norm_layers,native_mode
39,0.25392651554093304,COMPLETE,2025-11-22 10:13:23.100834,2025-11-22 10:15:52.184458,0 days 00:02:29.083624,gelu,32,False,0.2,768.0,0.0002,,minmax,True,4,AdamW,attention,2e-06,"[128, 192, 256, 384]",[1],"[1, 3]",False
40,0.21839080459770113,PRUNED,2025-11-22 10:15:52.187474,2025-11-22 10:16:18.503865,0 days 00:00:26.316391,,64,True,0.1,,0.001,0.30000000000000004,L2,False,2,SGD,max,5e-07,"[768, 768]",[],[],True
41,0.38353909465020575,PRUNED,2025-11-22 10:16:18.504865,2025-11-22 10:16:37.950849,0 days 00:00:19.445984,tanh,32,False,0.0,768.0,5e-05,,L2,True,1,AdamW,last,5e-07,[640],[],[],True
42,0.1794871794871795,PRUNED,2025-11-22 10:16:37.951849,2025-11-22 10:17:06.586180,0 days 00:00:28.634331,tanh,32,False,0.0,768.0,5e-05,,L2,True,1,AdamW,last,5e-07,[640],[],[],True
43,0.21839080459770113,PRUNED,2025-11-22 10:17:06.587185,2025-11-22 10:17:25.109958,0 days 00:00:18.522773,tanh,32,False,0.0,768.0,5e-05,,L2,True,1,AdamW,last,5e-07,[448],[],[],True
44,0.43008076064298456,COMPLETE,2025-11-22 10:17:25.110980,2025-11-22 10:18:19.970284,0 days 00:00:54.859304,tanh,32,False,0.0,768.0,5e-05,,L2,True,1,AdamW,last,2e-07,[512],[],[],True
45,0.3746590119603242,COMPLETE,2025-11-22 10:18:19.973327,2025-11-22 10:19:02.169657,0 days 00:00:42.196330,gelu,96,False,0.0,256.0,2e-05,,L2,True,1,Adam,last,2e-07,[512],[],[],True
46,0.21839080459770113,PRUNED,2025-11-22 10:19:02.172742,2025-11-22 10:19:16.287212,0 days 00:00:14.114470,relu,128,False,0.30000000000000004,512.0,5e-05,,minmax,False,3,AdamW,attention,2e-07,"[256, 384, 448]","[2, 3]","[2, 3]",False
47,0.1761006289308176,PRUNED,2025-11-22 10:19:16.288217,2025-11-22 10:19:23.551982,0 days 00:00:07.263765,tanh,48,False,0.0,1024.0,0.002,0.4,L2,True,1,SGD,mean,2e-07,[512],[],[],True
48,0.21839080459770113,PRUNED,2025-11-22 10:19:23.552980,2025-11-22 10:19:31.718193,0 days 00:00:08.165213,tanh,16,False,0.0,128.0,0.01,,L2,False,1,AdamW,last,1e-06,[384],[],[],True
49,0.35565390551167025,COMPLETE,2025-11-22 10:19:31.719697,2025-11-22 10:20:30.791828,0 days 00:00:59.072131,leakyrelu,64,False,0.1,768.0,0.001,,minmax,False,2,Adam,max,2e-06,"[64, 128]","[1, 2, 3]","[1, 2, 3]",False
