number,value,datetime_start,datetime_complete,duration,params_activation,params_architecture_pattern,params_batch_size,params_bidirectional,params_dropout,params_dropout_layer_1,params_dropout_layer_2,params_dropout_layer_3,params_dropout_layer_4,params_fc_hidden,params_first_size_idx,params_lr,params_momentum,params_norm,params_norm_layer_1,params_norm_layer_2,params_norm_layer_3,params_norm_layer_4,params_norm_post_lstm,params_num_layers,params_optimizer,params_pooling,params_size_idx,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,state
36,0.1818181818181818,2025-09-11 18:04:09.795194,2025-09-11 18:04:16.179333,0 days 00:00:06.384139,,increasing,16,False,0.5,False,False,False,True,,1.0,0.001,0.0,L2,True,False,True,True,True,5,SGD,max,,2e-06,0.24,0.1818181818181818,,,,PRUNED
37,0.2426373626373626,2025-09-11 18:04:16.181333,2025-09-11 18:04:21.965511,0 days 00:00:05.784178,relu,uniform,128,True,0.2,False,,,,768.0,,0.01,,minmax,False,,,,False,2,Adam,mean,8.0,2e-07,0.23076923076923075,0.23076923076923075,0.24,0.24,0.24,COMPLETE
38,0.07017543859649122,2025-09-11 18:04:21.966511,2025-09-11 18:04:22.246575,0 days 00:00:00.280064,relu,uniform,128,True,0.2,,,,,768.0,,0.01,,minmax,,,,,False,1,Adam,mean,9.0,2e-07,0.07017543859649122,,,,,PRUNED
39,0.2369230769230769,2025-09-11 18:04:22.247574,2025-09-11 18:04:26.482528,0 days 00:00:04.234954,relu,decreasing,128,True,0.0,False,True,True,,768.0,5.0,0.01,,minmax,False,True,False,,False,4,Adam,mean,,2e-07,0.23076923076923075,0.24,0.24,0.24,,COMPLETE
40,0.24,2025-09-11 18:04:26.483527,2025-09-11 18:04:33.624765,0 days 00:00:07.141238,silu,increasing,128,True,0.1,False,,,,768.0,8.0,0.01,,minmax,False,,,,False,2,Adam,mean,,2e-07,0.24,0.24,,,,COMPLETE
41,0.2369230769230769,2025-09-11 18:04:33.626765,2025-09-11 18:04:40.333388,0 days 00:00:06.706623,silu,increasing,128,True,0.1,False,,,,768.0,8.0,0.01,,minmax,False,,,,False,2,Adam,mean,,2e-07,0.23076923076923075,0.24,0.24,0.24,,COMPLETE
42,0.24049382716049383,2025-09-11 18:04:40.335388,2025-09-11 18:04:47.244576,0 days 00:00:06.909188,silu,increasing,128,True,0.1,False,,,,768.0,8.0,0.01,,minmax,False,,,,False,2,Adam,mean,,2e-07,0.24,0.24,0.24,,,COMPLETE
43,0.17391304347826086,2025-09-11 18:04:47.246578,2025-09-11 18:04:47.732570,0 days 00:00:00.485992,silu,increasing,128,True,0.2,False,False,,,768.0,6.0,0.01,,minmax,False,False,,,False,3,Adam,mean,,2e-07,0.17391304347826086,,,,,PRUNED
44,0.2369230769230769,2025-09-11 18:04:47.733570,2025-09-11 18:04:52.126804,0 days 00:00:04.393234,relu,increasing,128,True,0.0,,,,,768.0,11.0,0.002,,minmax,,,,,False,1,Adam,mean,,2e-07,0.24,0.24,,,,COMPLETE
45,0.0392156862745098,2025-09-11 18:04:52.127805,2025-09-11 18:04:54.042236,0 days 00:00:01.914431,silu,increasing,32,True,0.2,False,,,,64.0,4.0,5e-05,,minmax,False,,,,False,2,AdamW,mean,,5e-07,0.23076923076923075,0.23076923076923075,0.24,0.24,0.0392156862745098,PRUNED
46,0.26756613756613756,2025-09-11 18:04:54.043235,2025-09-11 18:05:00.143608,0 days 00:00:06.100373,relu,increasing,64,True,0.1,True,,,,128.0,8.0,0.01,,minmax,False,,,,False,2,Adam,mean,,2e-07,0.23076923076923075,0.24,0.24,0.24,,COMPLETE
47,0.0392156862745098,2025-09-11 18:05:00.144608,2025-09-11 18:05:06.180967,0 days 00:00:06.036359,relu,uniform,64,True,0.1,True,False,,,128.0,,2e-05,0.4,minmax,False,False,,,False,3,SGD,last,9.0,1e-06,0.23076923076923075,0.23076923076923075,0.24,0.24,0.0392156862745098,PRUNED
48,0.17391304347826086,2025-09-11 18:05:06.181968,2025-09-11 18:05:06.446027,0 days 00:00:00.264059,relu,increasing,64,True,0.0,,,,,128.0,10.0,1e-05,,minmax,,,,,False,1,AdamW,mean,,2e-06,0.17391304347826086,,,,,PRUNED
49,0.17391304347826086,2025-09-11 18:05:06.446027,2025-09-11 18:05:06.751095,0 days 00:00:00.305068,relu,increasing,64,True,0.30000000000000004,True,,,,128.0,6.0,5e-05,,minmax,False,,,,False,2,Adam,last,,2e-07,0.17391304347826086,,,,,PRUNED
