number,value,datetime_start,datetime_complete,duration,params_activation,params_architecture_pattern,params_batch_size,params_bidirectional,params_dropout,params_dropout_layer_1,params_dropout_layer_2,params_dropout_layer_3,params_dropout_layer_4,params_fc_hidden,params_first_size_idx,params_lr,params_momentum,params_norm,params_norm_layer_1,params_norm_layer_2,params_norm_layer_3,params_norm_layer_4,params_norm_post_lstm,params_num_layers,params_optimizer,params_pooling,params_size_idx,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,state
29,0.21875,2025-09-11 15:28:37.832157,2025-09-11 15:28:55.863321,0 days 00:00:18.031164,tanh,decreasing,96,False,0.30000000000000004,False,True,False,True,128.0,13.0,0.0001,,minmax,False,True,False,True,False,5,RMSprop,last,,1e-05,0.21761658031088082,0.21761658031088082,0.21875,,,PRUNED
30,0.21875,2025-09-11 15:28:55.864322,2025-09-11 15:28:58.550433,0 days 00:00:02.686111,elu,decreasing,64,False,0.2,,,,,64.0,5.0,0.002,0.5,L2,,,,,True,1,SGD,max,,1e-07,0.21761658031088082,0.21761658031088082,0.21875,,,PRUNED
31,0.22913256955810146,2025-09-11 15:28:58.551433,2025-09-11 15:29:06.294613,0 days 00:00:07.743180,silu,uniform,16,False,0.5,True,,,,768.0,,0.0001,,L2,True,,,,True,2,AdamW,mean,2.0,2e-07,0.21761658031088082,0.21761658031088082,0.22913256955810146,,,PRUNED
32,0.4101740669538669,2025-09-11 15:29:06.295615,2025-09-11 15:29:56.776694,0 days 00:00:50.481079,silu,uniform,16,True,0.5,True,,,,768.0,,0.0001,,L2,True,,,,True,2,AdamW,max,5.0,1e-06,0.21875,0.178030303030303,,,,COMPLETE
33,0.178030303030303,2025-09-11 15:29:56.776694,2025-09-11 15:30:35.796048,0 days 00:00:39.019354,silu,uniform,16,True,0.4,True,True,,,768.0,,0.0001,,L2,True,True,,,True,3,AdamW,max,5.0,1e-06,0.178030303030303,,,,,PRUNED
34,0.22466246624662464,2025-09-11 15:30:35.796048,2025-09-11 15:30:38.157241,0 days 00:00:02.361193,silu,uniform,96,False,0.5,True,,,,768.0,,1e-05,,minmax,True,,,,True,2,Adam,max,4.0,1e-06,0.21761658031088082,0.21761658031088082,0.22466246624662464,,,PRUNED
35,0.21875,2025-09-11 15:30:38.157241,2025-09-11 15:30:41.088169,0 days 00:00:02.930928,silu,uniform,128,True,0.4,True,False,,,512.0,,2e-05,,L2,True,False,,,True,3,AdamW,max,0.0,5e-07,0.21761658031088082,0.21875,,,,PRUNED
36,0.21875,2025-09-11 15:30:41.088504,2025-09-11 15:30:46.729034,0 days 00:00:05.640530,silu,increasing,16,False,0.5,,,,,768.0,8.0,0.0001,,minmax,,,,,True,1,AdamW,last,,1e-06,0.21875,,,,,PRUNED
37,0.21875,2025-09-11 15:30:46.730035,2025-09-11 15:30:56.408927,0 days 00:00:09.678892,relu,uniform,16,True,0.4,False,True,,,128.0,,0.001,,L2,True,True,,,True,3,AdamW,max,2.0,1e-06,0.21761658031088082,0.21761658031088082,0.21875,,,PRUNED
38,0.08558558558558559,2025-09-11 15:30:56.409911,2025-09-11 15:31:03.716490,0 days 00:00:07.306579,,decreasing,128,False,0.5,False,,,,,11.0,5e-05,0.5,L2,False,,,,True,2,SGD,max,,2e-06,0.21761658031088082,0.21761658031088082,0.08558558558558559,,,PRUNED
39,0.17702448210922786,2025-09-11 15:31:03.716490,2025-09-11 15:31:08.482002,0 days 00:00:04.765512,silu,increasing,32,True,0.4,True,True,True,False,768.0,2.0,0.01,,minmax,True,True,True,True,False,5,Adam,last,,5e-07,0.21761658031088082,0.17702448210922786,,,,PRUNED
40,0.4209905939978036,2025-09-11 15:31:08.483002,2025-09-11 15:31:31.528934,0 days 00:00:23.045932,elu,uniform,16,False,0.30000000000000004,,,,,512.0,,0.0001,,L2,,,,,True,1,AdamW,max,8.0,1e-06,0.32477507131885014,0.3701402909354455,0.3226097573923661,0.21875,0.21640488656195464,COMPLETE
41,0.178030303030303,2025-09-11 15:31:31.530936,2025-09-11 15:31:32.844766,0 days 00:00:01.313830,elu,uniform,16,False,0.30000000000000004,,,,,512.0,,0.0001,,L2,,,,,True,1,AdamW,max,8.0,1e-06,0.178030303030303,,,,,PRUNED
42,0.21875,2025-09-11 15:31:32.845768,2025-09-11 15:31:39.501566,0 days 00:00:06.655798,elu,uniform,16,False,0.30000000000000004,,,,,512.0,,0.0001,,L2,,,,,True,1,AdamW,max,6.0,1e-06,0.37902999719652364,0.36257702388678686,0.21875,,,PRUNED
43,0.21875,2025-09-11 15:31:39.502566,2025-09-11 15:31:48.966072,0 days 00:00:09.463506,elu,uniform,16,False,0.2,,,,,512.0,,0.0001,,L2,,,,,True,1,AdamW,max,10.0,1e-06,0.35846267553584626,0.21875,,,,PRUNED
44,0.41876484560748234,2025-09-11 15:31:48.972924,2025-09-11 15:32:13.316249,0 days 00:00:24.343325,,uniform,16,False,0.5,False,,,,,,0.001,,L2,False,,,,True,2,AdamW,max,4.0,0.0,0.21761658031088082,0.32148607406339363,0.34738304093567257,0.21875,0.21640488656195464,COMPLETE
45,0.21875,2025-09-11 15:32:13.316249,2025-09-11 15:32:19.808473,0 days 00:00:06.492224,,uniform,16,False,0.5,False,,,,,,0.001,0.0,L2,False,,,,True,2,SGD,max,4.0,1e-05,0.21761658031088082,0.21761658031088082,0.21875,,,PRUNED
46,0.17702448210922786,2025-09-11 15:32:19.810486,2025-09-11 15:32:21.018980,0 days 00:00:01.208494,,uniform,64,True,0.5,False,,,,,,0.001,,L2,False,,,,True,2,RMSprop,max,4.0,1e-06,0.17702448210922786,,,,,PRUNED
47,0.43755979551702123,2025-09-11 15:32:21.018980,2025-09-11 15:32:44.888336,0 days 00:00:23.869356,,uniform,16,False,0.5,,,,,,,0.001,,L2,,,,,False,1,AdamW,max,2.0,2e-06,0.21761658031088082,0.2990249187432286,0.40652122918132766,0.21875,0.21640488656195464,COMPLETE
48,0.21875,2025-09-11 15:32:44.890454,2025-09-11 15:32:54.475082,0 days 00:00:09.584628,,uniform,16,False,0.5,,,,,,,0.001,,L2,,,,,False,1,AdamW,max,5.0,2e-06,0.3663400736571469,0.3942548679390785,0.21875,,,PRUNED
49,0.21875,2025-09-11 15:32:54.476080,2025-09-11 15:32:58.954949,0 days 00:00:04.478869,,uniform,16,False,0.5,,,,,,,0.0001,,L2,,,,,False,1,AdamW,max,7.0,2e-06,0.21875,,,,,PRUNED
