number,value,datetime_start,datetime_complete,duration,params_activation,params_architecture_pattern,params_batch_size,params_bidirectional,params_dropout,params_dropout_layer_1,params_dropout_layer_2,params_dropout_layer_3,params_dropout_layer_4,params_fc_hidden,params_first_size_idx,params_lr,params_momentum,params_norm,params_norm_layer_1,params_norm_layer_2,params_norm_layer_3,params_norm_layer_4,params_norm_post_lstm,params_num_layers,params_optimizer,params_pooling,params_size_idx,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,state
10,0.21761658031088082,2025-09-11 20:07:58.663177,2025-09-11 20:08:01.574933,0 days 00:00:02.911756,,uniform,32,False,0.2,,,,,,,0.01,,L2,,,,,False,1,RMSprop,max,0.0,1e-05,0.21761658031088082,,,,,PRUNED
11,0.21761658031088082,2025-09-11 20:08:01.575933,2025-09-11 20:08:12.030569,0 days 00:00:10.454636,elu,decreasing,16,True,0.4,False,True,,,512.0,3.0,1e-05,,minmax,False,True,,,True,3,RMSprop,mean,,5e-07,0.21761658031088082,,,,,PRUNED
12,0.21761658031088082,2025-09-11 20:08:12.032570,2025-09-11 20:08:28.988266,0 days 00:00:16.955696,relu,decreasing,16,True,0.5,False,False,False,,256.0,6.0,1e-05,,L2,False,False,True,,True,4,Adam,max,,1e-07,0.21761658031088082,,,,,PRUNED
13,0.21875,2025-09-11 20:08:28.990266,2025-09-11 20:08:49.506173,0 days 00:00:20.515907,relu,decreasing,16,False,0.30000000000000004,False,False,False,,512.0,5.0,1e-05,,minmax,True,False,True,,True,4,RMSprop,mean,,1e-05,0.21761658031088082,0.21761658031088082,0.21875,,,PRUNED
14,0.17702448210922786,2025-09-11 20:08:49.507173,2025-09-11 20:08:52.541329,0 days 00:00:03.034156,elu,uniform,32,False,0.4,False,True,,,512.0,,0.001,,L2,True,True,,,True,3,Adam,max,5.0,0.0,0.17702448210922786,,,,,PRUNED
15,0.17702448210922786,2025-09-11 20:08:52.542329,2025-09-11 20:08:55.878925,0 days 00:00:03.336596,,decreasing,16,True,0.5,False,,,,,2.0,5e-05,,minmax,False,,,,True,2,RMSprop,max,,1e-05,0.17702448210922786,,,,,PRUNED
16,0.178030303030303,2025-09-11 20:08:55.878925,2025-09-11 20:09:19.345062,0 days 00:00:23.466137,leakyrelu,uniform,16,True,0.30000000000000004,True,False,True,,256.0,,0.01,,minmax,False,False,False,,True,4,Adam,mean,0.0,5e-07,0.21761658031088082,0.21761658031088082,0.178030303030303,,,PRUNED
17,0.22084110253819542,2025-09-11 20:09:19.346062,2025-09-11 20:09:36.582354,0 days 00:00:17.236292,gelu,decreasing,16,False,0.4,,,,,1024.0,0.0,2e-05,,L2,,,,,True,1,Adam,mean,,0.0,0.178030303030303,0.178030303030303,0.21640488656195464,,,COMPLETE
18,0.21875,2025-09-11 20:09:36.583354,2025-09-11 20:09:42.500533,0 days 00:00:05.917179,gelu,uniform,128,False,0.5,,,,,1024.0,,2e-05,,L2,,,,,False,1,RMSprop,max,7.0,0.0,0.21761658031088082,0.21761658031088082,0.21875,,,PRUNED
19,0.21875,2025-09-11 20:09:42.501533,2025-09-11 20:09:46.576450,0 days 00:00:04.074917,gelu,decreasing,96,False,0.30000000000000004,,,,,1024.0,0.0,2e-05,,L2,,,,,True,1,Adam,last,,0.0,0.21761658031088082,0.21875,,,,PRUNED
20,0.24426406926406927,2025-09-11 20:09:46.577450,2025-09-11 20:10:31.191441,0 days 00:00:44.613991,,decreasing,64,False,0.4,True,,,,,13.0,0.0002,,L2,True,,,,True,2,RMSprop,max,,1e-07,0.31787639195574235,0.21761658031088082,0.24426406926406927,,,PRUNED
21,0.178030303030303,2025-09-11 20:10:31.192441,2025-09-11 20:10:47.238617,0 days 00:00:16.046176,tanh,decreasing,16,False,0.4,False,True,,,512.0,4.0,0.002,,L2,True,True,,,True,3,Adam,mean,,2e-06,0.21761658031088082,0.178030303030303,,,,PRUNED
22,0.4032949579379072,2025-09-11 20:10:47.240617,2025-09-11 20:12:15.033955,0 days 00:01:27.793338,gelu,decreasing,16,False,0.5,False,,,,1024.0,2.0,0.001,,L2,False,,,,True,2,Adam,mean,,1e-05,0.21761658031088082,0.3443549134018709,0.38473193353876395,0.178030303030303,,COMPLETE
