number,value,datetime_start,datetime_complete,duration,params_activation,params_architecture_pattern,params_batch_size,params_bidirectional,params_dropout,params_dropout_layer_1,params_dropout_layer_2,params_dropout_layer_3,params_dropout_layer_4,params_fc_hidden,params_first_size_idx,params_lr,params_momentum_sgd,params_norm,params_norm_layer_1,params_norm_layer_2,params_norm_layer_3,params_norm_layer_4,params_norm_post_lstm,params_num_layers,params_optimizer,params_pooling,params_size_idx,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,state
20,0.1964472309299895,2025-09-12 10:13:28.890665,2025-09-12 10:13:40.054911,0 days 00:00:11.164246,,uniform,16,False,0.0,False,True,,,,,1e-05,,L2,True,True,,,True,3,RMSprop,max,4.0,1e-07,0.1964472309299895,,,,,PRUNED
21,0.2175904889576118,2025-09-12 10:13:40.055911,2025-09-12 10:13:53.214209,0 days 00:00:13.158298,,uniform,32,False,0.2,,,,,,,0.0002,,L2,,,,,False,1,RMSprop,max,1.0,1e-05,0.2176165803108808,0.21875,0.21875,0.2164048865619546,,COMPLETE
22,0.2176165803108808,2025-09-12 10:13:53.217210,2025-09-12 10:13:56.249892,0 days 00:00:03.032682,,uniform,128,False,0.3,,,,,,,0.001,,L2,,,,,False,1,RMSprop,max,0.0,1e-05,0.2176165803108808,0.2176165803108808,,,,PRUNED
23,0.0894854586129754,2025-09-12 10:13:56.250894,2025-09-12 10:14:07.274653,0 days 00:00:11.023759,,uniform,64,False,0.2,False,,,,,,0.002,,L2,True,,,,False,2,RMSprop,max,4.0,0.0,0.2176165803108808,0.21875,0.21875,0.0894854586129754,,PRUNED
24,0.3021592368266345,2025-09-12 10:14:07.275653,2025-09-12 10:14:17.319250,0 days 00:00:10.043597,,uniform,96,False,0.1,,,,,,,0.01,,L2,,,,,False,1,RMSprop,max,2.0,1e-05,0.3055555555555556,0.21875,0.2164048865619546,,,COMPLETE
25,0.178030303030303,2025-09-12 10:14:17.321248,2025-09-12 10:14:23.728163,0 days 00:00:06.406915,,uniform,96,False,0.1,True,,,,,,0.002,,L2,False,,,,False,2,RMSprop,max,2.0,1e-05,0.2339544513457556,0.178030303030303,,,,PRUNED
26,0.0894854586129754,2025-09-12 10:14:23.729163,2025-09-12 10:14:30.374653,0 days 00:00:06.645490,elu,uniform,96,True,0.0,,,,,512.0,,0.001,,minmax,,,,,False,1,RMSprop,max,3.0,0.0,0.2176165803108808,0.21875,0.21875,0.0894854586129754,,PRUNED
27,0.178030303030303,2025-09-12 10:14:30.375653,2025-09-12 10:14:36.831226,0 days 00:00:06.455573,leakyrelu,uniform,96,False,0.4,False,,,,128.0,,0.01,,L2,True,,,,False,2,Adam,max,6.0,1e-05,0.2176165803108808,0.178030303030303,,,,PRUNED
28,0.4681151990113877,2025-09-12 10:14:36.832226,2025-09-12 10:15:18.250236,0 days 00:00:41.418010,tanh,decreasing,96,False,0.1,,,,,256.0,9.0,5e-05,,L2,,,,,True,1,AdamW,last,,1e-06,0.21875,0.3609589361801751,0.4348364279398762,,,COMPLETE
29,0.2176165803108808,2025-09-12 10:15:18.252237,2025-09-12 10:15:30.886741,0 days 00:00:12.634504,tanh,decreasing,96,False,0.3,False,,,,256.0,9.0,5e-05,,minmax,True,,,,True,2,AdamW,last,,1e-06,0.2176165803108808,0.2176165803108808,,,,PRUNED
30,0.4797573261454322,2025-09-12 10:15:30.887742,2025-09-12 10:16:16.214005,0 days 00:00:45.326263,tanh,decreasing,16,False,0.0,,,,,64.0,5.0,0.0001,,L2,,,,,True,1,AdamW,last,,1e-06,0.21875,0.3791803826153332,,,,COMPLETE
31,0.4655809000902675,2025-09-12 10:16:16.216005,2025-09-12 10:17:04.592162,0 days 00:00:48.376157,tanh,decreasing,16,False,0.0,,,,,64.0,5.0,0.0001,,L2,,,,,True,1,AdamW,last,,1e-06,0.3529671995483267,0.21875,0.4029987760097919,,,COMPLETE
32,0.4577015878363373,2025-09-12 10:17:04.595163,2025-09-12 10:17:46.227164,0 days 00:00:41.632001,tanh,decreasing,16,False,0.0,,,,,64.0,5.0,0.0001,,L2,,,,,True,1,AdamW,last,,1e-06,0.3012781497261108,0.3826358826358826,,,,COMPLETE
33,0.2109682799873465,2025-09-12 10:17:46.228165,2025-09-12 10:17:51.910443,0 days 00:00:05.682278,tanh,decreasing,16,False,0.0,,,,,64.0,5.0,0.0001,,L2,,,,,True,1,AdamW,last,,1e-06,0.2109682799873465,,,,,PRUNED
34,0.4634261629348592,2025-09-12 10:17:51.910443,2025-09-12 10:18:40.553350,0 days 00:00:48.642907,tanh,decreasing,16,False,0.0,,,,,64.0,4.0,0.0001,,L2,,,,,True,1,AdamW,last,,1e-06,0.21875,0.3941317941317941,0.4969657249580537,,,COMPLETE
35,0.4075959451192593,2025-09-12 10:18:40.555350,2025-09-12 10:19:27.382372,0 days 00:00:46.827022,tanh,decreasing,16,True,0.0,,,,,64.0,3.0,0.0001,,L2,,,,,True,1,AdamW,last,,1e-06,0.3034042961258151,0.21875,0.21875,0.3409532428355957,,COMPLETE
36,0.178030303030303,2025-09-12 10:19:27.384372,2025-09-12 10:19:37.259438,0 days 00:00:09.875066,tanh,decreasing,16,False,0.1,,,,,64.0,6.0,0.0001,,minmax,,,,,True,1,AdamW,last,,1e-06,0.178030303030303,,,,,PRUNED
37,0.178030303030303,2025-09-12 10:19:37.260438,2025-09-12 10:19:45.039735,0 days 00:00:07.779297,tanh,decreasing,96,True,0.0,,,,,64.0,3.0,0.0001,,L2,,,,,True,1,AdamW,last,,1e-06,0.178030303030303,,,,,PRUNED
38,0.178030303030303,2025-09-12 10:19:45.040736,2025-09-12 10:19:53.277727,0 days 00:00:08.236991,tanh,decreasing,128,False,0.0,True,False,True,,64.0,6.0,0.0001,,minmax,False,False,False,,True,4,AdamW,last,,1e-06,0.2176165803108808,0.178030303030303,,,,PRUNED
39,0.2175904889576118,2025-09-12 10:19:53.278727,2025-09-12 10:20:42.462115,0 days 00:00:49.183388,tanh,decreasing,16,False,0.1,True,True,,,256.0,4.0,5e-05,,L2,False,True,,,True,3,AdamW,last,,1e-06,0.21875,0.21875,0.2164048865619546,,,COMPLETE
40,0.2642121843176094,2025-09-12 10:20:42.465116,2025-09-12 10:21:06.948817,0 days 00:00:24.483701,tanh,decreasing,64,True,0.0,True,,,,768.0,4.0,0.0001,,L2,False,,,,True,2,AdamW,last,,5e-07,0.21875,0.21875,0.2164048865619546,,,COMPLETE
41,0.4604452938206925,2025-09-12 10:21:06.950817,2025-09-12 10:21:50.062214,0 days 00:00:43.111397,tanh,decreasing,16,False,0.0,,,,,64.0,6.0,0.0001,,L2,,,,,True,1,AdamW,last,,1e-06,0.3083254194365305,0.4032014604942427,0.21875,0.3426035043332556,,COMPLETE
42,0.4763738528983225,2025-09-12 10:21:50.064215,2025-09-12 10:22:37.254442,0 days 00:00:47.190227,tanh,decreasing,16,False,0.0,,,,,64.0,6.0,0.0001,,L2,,,,,True,1,AdamW,last,,1e-06,0.3971861471861471,0.21875,0.3581569115815691,,,COMPLETE
43,0.4737278095777033,2025-09-12 10:22:37.256443,2025-09-12 10:24:15.714938,0 days 00:01:38.458495,tanh,decreasing,16,False,0.0,,,,,64.0,9.0,0.0001,,L2,,,,,True,1,AdamW,last,,1e-06,0.21875,0.3608765015015014,,,,COMPLETE
44,0.2679821629955599,2025-09-12 10:24:15.716938,2025-09-12 10:25:27.891313,0 days 00:01:12.174375,tanh,increasing,16,False,0.1,,,,,64.0,9.0,1e-05,,L2,,,,,True,1,AdamW,mean,,1e-06,0.21875,0.21875,0.2164048865619546,,,COMPLETE
45,0.0855855855855855,2025-09-12 10:25:27.893314,2025-09-12 10:25:32.638687,0 days 00:00:04.745373,tanh,decreasing,128,False,0.1,,,,,64.0,8.0,0.0002,0.5,L2,,,,,True,1,SGD,last,,2e-07,0.0855855855855855,,,,,PRUNED
46,0.178030303030303,2025-09-12 10:25:32.639687,2025-09-12 10:26:17.231657,0 days 00:00:44.591970,tanh,decreasing,16,False,0.0,True,,,,128.0,8.0,0.0001,,minmax,False,,,,True,2,AdamW,last,,1e-06,0.21875,0.178030303030303,,,,PRUNED
47,0.3881696610979722,2025-09-12 10:26:17.232657,2025-09-12 10:29:04.805456,0 days 00:02:47.572799,relu,decreasing,16,False,0.0,True,,,,256.0,9.0,2e-05,,L2,False,,,,True,2,AdamW,last,,2e-06,0.2176165803108808,0.21875,0.21875,0.37671802396674,0.4546350819642745,COMPLETE
48,0.1770244821092278,2025-09-12 10:29:04.807457,2025-09-12 10:29:09.629544,0 days 00:00:04.822087,elu,increasing,64,True,0.1,,,,,1024.0,7.0,5e-05,,L2,,,,,True,1,AdamW,mean,,1e-06,0.1770244821092278,,,,,PRUNED
49,0.0894854586129754,2025-09-12 10:29:09.630544,2025-09-12 10:29:28.250630,0 days 00:00:18.620086,gelu,decreasing,16,False,0.0,,,,,768.0,6.0,0.0001,0.5,L2,,,,,True,1,SGD,last,,1e-06,0.21875,0.0894854586129754,,,,PRUNED
