number,value,datetime_start,datetime_complete,duration,params_activation,params_architecture_pattern,params_batch_size,params_bidirectional,params_dropout,params_dropout_layer_1,params_dropout_layer_2,params_dropout_layer_3,params_dropout_layer_4,params_fc_hidden,params_first_size_idx,params_lr,params_momentum,params_norm,params_norm_layer_1,params_norm_layer_2,params_norm_layer_3,params_norm_layer_4,params_norm_post_lstm,params_num_layers,params_optimizer,params_pooling,params_size_idx,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,state
30,0.21640488656195464,2025-09-12 09:57:26.499891,2025-09-12 09:57:42.932789,0 days 00:00:16.432898,gelu,decreasing,16,False,0.1,,,,,128.0,2.0,0.001,,L2,,,,,True,1,Adam,last,,1e-05,0.21875,0.21875,0.21640488656195464,,,PRUNED
31,0.42562484318153443,2025-09-12 09:57:42.933789,2025-09-12 09:57:51.761389,0 days 00:00:08.827600,gelu,decreasing,96,False,0.1,,,,,128.0,2.0,0.001,,L2,,,,,True,1,Adam,last,,1e-05,0.21875,0.21875,0.38447463030796364,,,COMPLETE
32,0.178030303030303,2025-09-12 09:57:51.763390,2025-09-12 09:57:54.705059,0 days 00:00:02.941669,gelu,decreasing,96,False,0.1,,,,,128.0,2.0,1e-05,,L2,,,,,True,1,Adam,last,,1e-05,0.178030303030303,,,,,PRUNED
33,0.4305714503005161,2025-09-12 09:57:54.706060,2025-09-12 09:58:03.490614,0 days 00:00:08.784554,gelu,decreasing,96,False,0.1,,,,,128.0,1.0,0.001,,L2,,,,,True,1,Adam,last,,1e-05,0.31621429014067054,0.21875,0.21875,0.39308624834483913,,COMPLETE
34,0.4426118613114947,2025-09-12 09:58:03.492615,2025-09-12 09:58:17.412310,0 days 00:00:13.919695,gelu,decreasing,96,False,0.1,,,,,128.0,1.0,0.0002,,minmax,,,,,True,1,Adam,last,,1e-06,0.21761658031088082,0.3010882303699983,0.21875,0.3566956359218765,0.4549587951122478,COMPLETE
35,0.43902997169000746,2025-09-12 09:58:17.414310,2025-09-12 09:58:32.472998,0 days 00:00:15.058688,gelu,decreasing,96,False,0.1,,,,,128.0,1.0,0.0002,,minmax,,,,,True,1,Adam,last,,1e-06,0.327405760859498,0.3148148148148148,0.21875,0.2816205533596838,,COMPLETE
36,0.4376364163023673,2025-09-12 09:58:32.474999,2025-09-12 09:58:46.639186,0 days 00:00:14.164187,gelu,decreasing,96,False,0.0,,,,,128.0,2.0,0.0002,,minmax,,,,,True,1,Adam,last,,1e-06,0.3526881720430108,0.21875,0.37277192982456137,,,COMPLETE
37,0.3082558467173852,2025-09-12 09:58:46.641187,2025-09-12 09:58:52.239631,0 days 00:00:05.598444,gelu,decreasing,96,False,0.0,,,,,128.0,1.0,0.0002,,minmax,,,,,True,1,Adam,last,,1e-06,0.21875,0.21875,0.3082558467173852,,,PRUNED
38,0.39534109107743237,2025-09-12 09:58:52.240631,2025-09-12 09:59:02.743935,0 days 00:00:10.503304,gelu,decreasing,96,False,0.0,,,,,128.0,1.0,0.0002,,minmax,,,,,True,1,Adam,last,,1e-06,0.3208874458874459,0.21875,0.39990112470646394,,,COMPLETE
39,0.431398769909671,2025-09-12 09:59:02.745937,2025-09-12 09:59:14.419577,0 days 00:00:11.673640,gelu,decreasing,96,False,0.0,,,,,128.0,3.0,0.0002,,minmax,,,,,True,1,Adam,last,,1e-06,0.2282394439257184,0.30566534914361004,0.21875,0.28565400843881855,,COMPLETE
40,0.3082558467173852,2025-09-12 09:59:14.421577,2025-09-12 09:59:25.446022,0 days 00:00:11.024445,relu,decreasing,96,False,0.0,,,,,768.0,3.0,0.0002,,minmax,,,,,False,1,Adam,last,,1e-06,0.31494194423256205,0.4698634698634699,0.3082558467173852,,,PRUNED
41,0.4393757736516357,2025-09-12 09:59:25.447022,2025-09-12 09:59:40.130788,0 days 00:00:14.683766,gelu,decreasing,96,False,0.1,,,,,128.0,1.0,0.0002,,minmax,,,,,True,1,Adam,last,,1e-06,0.21761658031088082,0.32963858099286053,0.21875,0.39462365591397847,0.4393757736516357,PRUNED
42,0.44986207757807856,2025-09-12 09:59:40.132787,2025-09-12 09:59:54.784880,0 days 00:00:14.652093,gelu,decreasing,96,False,0.0,,,,,128.0,3.0,0.0002,,minmax,,,,,True,1,Adam,last,,1e-06,0.31473922902494333,0.21875,0.3479771257549036,,,COMPLETE
43,0.4513057490333103,2025-09-12 09:59:54.786881,2025-09-12 10:00:07.586401,0 days 00:00:12.799520,gelu,decreasing,96,False,0.0,,,,,128.0,3.0,0.0002,,minmax,,,,,True,1,Adam,last,,1e-06,0.3851673851673852,0.21875,0.37325379070345516,,,COMPLETE
44,0.32861774241084585,2025-09-12 10:00:07.587401,2025-09-12 10:00:20.226487,0 days 00:00:12.639086,tanh,increasing,96,False,0.0,True,,,,128.0,3.0,0.0002,,minmax,False,,,,True,2,AdamW,last,,1e-06,0.3675645342312009,0.21875,0.32861774241084585,,,PRUNED
45,0.44132860169926263,2025-09-12 10:00:20.227488,2025-09-12 10:00:37.439092,0 days 00:00:17.211604,gelu,decreasing,96,False,0.0,,,,,128.0,5.0,0.0002,,minmax,,,,,True,1,Adam,last,,1e-06,0.21761658031088082,0.29185185185185186,0.21875,0.427133655394525,,COMPLETE
46,0.4213048677096658,2025-09-12 10:00:37.441092,2025-09-12 10:00:53.596145,0 days 00:00:16.155053,gelu,decreasing,96,False,0.2,,,,,128.0,5.0,0.0002,,minmax,,,,,True,1,Adam,last,,1e-06,0.21875,0.21640488656195464,,,,COMPLETE
47,0.4396865122381411,2025-09-12 10:00:53.597145,2025-09-12 10:01:07.502093,0 days 00:00:13.904948,gelu,decreasing,96,False,0.1,,,,,768.0,5.0,0.0002,,minmax,,,,,True,1,Adam,last,,1e-06,0.4102984726438463,0.21875,0.4072010925997865,,,COMPLETE
48,0.21875,2025-09-12 10:01:07.504095,2025-09-12 10:01:13.114929,0 days 00:00:05.610834,relu,increasing,128,False,0.0,True,,,,768.0,5.0,0.0002,,minmax,False,,,,False,2,AdamW,last,,1e-06,0.21875,,,,,PRUNED
49,0.28512820512820514,2025-09-12 10:01:13.115930,2025-09-12 10:01:19.211894,0 days 00:00:06.095964,elu,decreasing,96,False,0.1,True,,,,768.0,5.0,0.0002,,minmax,False,,,,True,2,Adam,last,,2e-07,0.28512820512820514,,,,,PRUNED
