number,value,datetime_start,datetime_complete,duration,params_activation,params_architecture_pattern,params_batch_size,params_bidirectional,params_dropout,params_dropout_layer_1,params_dropout_layer_2,params_dropout_layer_3,params_dropout_layer_4,params_fc_hidden,params_first_size_idx,params_lr,params_momentum_sgd,params_norm,params_norm_layer_1,params_norm_layer_2,params_norm_layer_3,params_norm_layer_4,params_norm_post_lstm,params_num_layers,params_optimizer,params_pooling,params_size_idx,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
37,0.2307692307692307,2025-09-12 09:37:43.753519,2025-09-12 09:37:47.520367,0 days 00:00:03.766848,gelu,uniform,16,False,0.3,False,False,,,128.0,,0.001,,L2,False,False,,,False,3,AdamW,last,2.0,5e-07,0.2307692307692307,0.2307692307692307,,,PRUNED
38,0.2369230769230769,2025-09-12 09:37:47.521367,2025-09-12 09:38:02.213456,0 days 00:00:14.692089,tanh,decreasing,64,False,0.2,False,True,True,True,768.0,7.0,0.01,,L2,True,True,False,True,True,5,AdamW,mean,,1e-06,0.24,0.24,0.24,,COMPLETE
39,0.0392156862745098,2025-09-12 09:38:02.215456,2025-09-12 09:38:06.583537,0 days 00:00:04.368081,silu,increasing,128,True,0.4,True,,,,512.0,6.0,0.002,0.0,minmax,False,,,,False,2,SGD,max,,1e-05,0.0392156862745098,,,,PRUNED
40,0.1818181818181818,2025-09-12 09:38:06.584538,2025-09-12 09:38:09.981322,0 days 00:00:03.396784,,uniform,16,False,0.5,,,,,,,0.001,,L2,,,,,True,1,AdamW,max,1.0,0.0,0.24,0.1818181818181818,,,PRUNED
41,0.3778804473604132,2025-09-12 09:38:09.982322,2025-09-12 09:38:18.006634,0 days 00:00:08.024312,leakyrelu,increasing,64,False,0.1,False,True,True,,128.0,0.0,0.001,,L2,True,True,False,,False,4,AdamW,max,,1e-05,0.24,0.2407407407407407,,,COMPLETE
42,0.3721139971139971,2025-09-12 09:38:18.007634,2025-09-12 09:38:27.989756,0 days 00:00:09.982122,leakyrelu,increasing,64,False,0.0,False,True,True,,128.0,1.0,0.001,,L2,True,True,False,,False,4,AdamW,max,,1e-05,0.2769726247987117,0.2787878787878788,0.24,0.299719887955182,COMPLETE
43,0.4082291165624498,2025-09-12 09:38:27.991756,2025-09-12 09:38:38.816471,0 days 00:00:10.824715,leakyrelu,increasing,64,False,0.0,False,True,True,,128.0,1.0,0.001,,L2,True,True,False,,False,4,AdamW,max,,1e-05,0.3787878787878787,0.24,0.24,,COMPLETE
44,0.2193362193362193,2025-09-12 09:38:38.819472,2025-09-12 09:38:41.734128,0 days 00:00:02.914656,leakyrelu,increasing,64,False,0.0,False,True,True,,128.0,1.0,0.001,,L2,True,True,False,,False,4,AdamW,max,,1e-05,0.2193362193362193,,,,PRUNED
45,0.1818181818181818,2025-09-12 09:38:41.735128,2025-09-12 09:38:44.260709,0 days 00:00:02.525581,leakyrelu,increasing,64,False,0.0,False,True,True,,128.0,0.0,0.001,,L2,True,True,False,,False,4,AdamW,max,,1e-05,0.1818181818181818,,,,PRUNED
46,0.1818181818181818,2025-09-12 09:38:44.262709,2025-09-12 09:38:47.438852,0 days 00:00:03.176143,leakyrelu,increasing,64,False,0.0,False,True,True,False,128.0,1.0,1e-05,,L2,True,True,False,False,False,5,AdamW,max,,1e-05,0.1818181818181818,,,,PRUNED
47,0.3480753164963692,2025-09-12 09:38:47.439853,2025-09-12 09:38:58.762222,0 days 00:00:11.322369,leakyrelu,increasing,64,False,0.0,False,True,True,,128.0,2.0,0.001,,L2,True,True,False,,False,4,AdamW,max,,1e-05,0.3055555555555555,0.24,0.24,,COMPLETE
48,0.1818181818181818,2025-09-12 09:38:58.765223,2025-09-12 09:39:01.811908,0 days 00:00:03.046685,leakyrelu,increasing,64,True,0.0,False,True,True,,128.0,0.0,0.0002,,L2,True,True,False,,False,4,AdamW,mean,,1e-05,0.2307692307692307,0.1818181818181818,,,PRUNED
49,0.1818181818181818,2025-09-12 09:39:01.812909,2025-09-12 09:39:04.617045,0 days 00:00:02.804136,leakyrelu,increasing,64,False,0.1,False,True,True,False,128.0,0.0,2e-05,,L2,True,True,False,True,False,5,AdamW,max,,2e-07,0.2307692307692307,0.1818181818181818,,,PRUNED
