number,value,datetime_start,datetime_complete,duration,params_activation,params_architecture_pattern,params_batch_size,params_bidirectional,params_dropout,params_dropout_layer_1,params_dropout_layer_2,params_dropout_layer_3,params_dropout_layer_4,params_fc_hidden,params_first_size_idx,params_lr,params_momentum,params_norm,params_norm_layer_1,params_norm_layer_2,params_norm_layer_3,params_norm_layer_4,params_norm_post_lstm,params_num_layers,params_optimizer,params_pooling,params_size_idx,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
26,0.178030303030303,2025-09-12 15:12:11.302914,2025-09-12 15:12:26.068731,0 days 00:00:14.765817,elu,decreasing,64,True,0.4,,,,,64.0,1.0,0.01,,minmax,,,,,False,1,Adam,last,,1e-07,0.21875,0.178030303030303,,,PRUNED
27,0.1770244821092278,2025-09-12 15:12:26.068731,2025-09-12 15:13:00.943420,0 days 00:00:34.874689,tanh,decreasing,128,False,0.3,True,True,True,,256.0,9.0,0.01,,L2,False,False,False,,False,4,Adam,last,,1e-07,0.1770244821092278,,,,PRUNED
28,0.178030303030303,2025-09-12 15:13:00.943420,2025-09-12 15:13:17.928436,0 days 00:00:16.985016,elu,decreasing,32,False,0.2,True,,,,512.0,4.0,0.01,,L2,False,,,,False,2,Adam,last,,1e-07,0.2176165803108808,0.178030303030303,,,PRUNED
29,0.2176165803108808,2025-09-12 15:13:17.928436,2025-09-12 15:13:30.443438,0 days 00:00:12.515002,,decreasing,64,False,0.5,True,,,,,3.0,0.01,,L2,False,,,,False,2,AdamW,last,,0.0,0.2176165803108808,0.2176165803108808,,,PRUNED
30,0.3730326521024196,2025-09-12 15:13:30.459063,2025-09-12 15:13:50.224831,0 days 00:00:19.765768,gelu,increasing,64,False,0.1,,,,,128.0,1.0,0.002,,L2,,,,,False,1,Adam,mean,,5e-07,0.21875,0.3730326521024196,,,PRUNED
31,0.5130826647780284,2025-09-12 15:13:50.224831,2025-09-12 15:14:16.321152,0 days 00:00:26.096321,,decreasing,64,False,0.4,,,,,,0.0,0.01,,L2,,,,,False,1,Adam,last,,1e-07,0.4123679002989348,0.21875,0.464613680387225,,COMPLETE
32,0.178030303030303,2025-09-12 15:14:16.323152,2025-09-12 15:14:23.037142,0 days 00:00:06.713990,,decreasing,64,False,0.4,,,,,,1.0,0.0001,,L2,,,,,False,1,Adam,last,,1e-07,0.178030303030303,,,,PRUNED
33,0.2164048865619546,2025-09-12 15:14:23.037142,2025-09-12 15:14:36.521292,0 days 00:00:13.484150,,decreasing,64,False,0.5,,,,,,0.0,0.01,,L2,,,,,False,1,Adam,last,,1e-07,0.3546576879910213,0.3893698893698894,0.21875,0.2164048865619546,PRUNED
34,0.2263681592039801,2025-09-12 15:14:36.521292,2025-09-12 15:14:47.363811,0 days 00:00:10.842519,leakyrelu,decreasing,96,False,0.4,,,,,768.0,1.0,1e-05,,minmax,,,,,False,1,Adam,last,,1e-06,0.21875,0.2263681592039801,,,PRUNED
35,0.1770244821092278,2025-09-12 15:14:47.364811,2025-09-12 15:15:00.271371,0 days 00:00:12.906560,relu,decreasing,64,True,0.4,False,False,,,1024.0,3.0,0.01,,L2,False,True,,,False,3,Adam,last,,1e-07,0.1770244821092278,,,,PRUNED
36,0.2152777777777778,2025-09-12 15:15:00.271371,2025-09-12 15:15:04.021446,0 days 00:00:03.750075,,decreasing,128,False,0.3,,,,,,0.0,0.0002,0.5,minmax,,,,,False,1,SGD,last,,2e-06,0.2152777777777778,,,,PRUNED
37,0.178030303030303,2025-09-12 15:15:04.021446,2025-09-12 15:15:15.709084,0 days 00:00:11.687638,relu,decreasing,96,True,0.5,True,,,,64.0,2.0,2e-05,,L2,True,,,,False,2,Adam,mean,,1e-06,0.178030303030303,,,,PRUNED
38,0.305423987776929,2025-09-12 15:15:15.709084,2025-09-12 15:15:32.255849,0 days 00:00:16.546765,tanh,increasing,32,False,0.4,,,,,128.0,1.0,0.0001,,minmax,,,,,False,1,AdamW,last,,1e-05,0.2176165803108808,0.21875,0.21875,0.305423987776929,PRUNED
39,0.0894854586129754,2025-09-12 15:15:32.255849,2025-09-12 15:15:49.807132,0 days 00:00:17.551283,gelu,decreasing,64,False,0.2,True,,,,768.0,2.0,5e-05,0.5,L2,False,,,,False,2,SGD,last,,2e-07,0.21875,0.0894854586129754,,,PRUNED
40,0.178030303030303,2025-09-12 15:15:49.808132,2025-09-12 15:16:02.818295,0 days 00:00:13.010163,leakyrelu,increasing,128,True,0.3,False,False,,,512.0,0.0,0.01,,L2,True,True,,,False,3,Adam,mean,,5e-07,0.2176165803108808,0.178030303030303,,,PRUNED
41,0.4832306337140066,2025-09-12 15:16:02.818295,2025-09-12 15:16:25.552480,0 days 00:00:22.734185,,decreasing,64,False,0.4,,,,,,0.0,0.01,,L2,,,,,False,1,Adam,last,,1e-07,0.3913451609875153,0.3928711320015667,0.21875,0.4531408308004052,COMPLETE
42,0.5080467538964685,2025-09-12 15:16:25.552480,2025-09-12 15:16:47.220301,0 days 00:00:21.667821,,decreasing,64,False,0.4,,,,,,1.0,0.01,,L2,,,,,False,1,Adam,last,,1e-07,0.21875,0.4325564267686974,,,COMPLETE
43,0.4906014102441908,2025-09-12 15:16:47.220301,2025-09-12 15:17:15.209420,0 days 00:00:27.989119,,decreasing,64,False,0.4,,,,,,0.0,0.01,,L2,,,,,False,1,Adam,last,,1e-07,0.2518518518518518,0.415581098339719,0.21875,0.413028413028413,COMPLETE
44,0.407142278760904,2025-09-12 15:17:15.209420,2025-09-12 15:17:41.779837,0 days 00:00:26.570417,,decreasing,64,False,0.5,,,,,,1.0,0.001,,L2,,,,,False,1,Adam,last,,1e-07,0.21875,0.3794864241174449,,,COMPLETE
45,0.178030303030303,2025-09-12 15:17:41.781838,2025-09-12 15:18:02.784003,0 days 00:00:21.002165,,decreasing,64,False,0.4,False,,,,,6.0,0.01,,L2,True,,,,True,2,Adam,last,,1e-07,0.178030303030303,,,,PRUNED
46,0.178030303030303,2025-09-12 15:18:02.785733,2025-09-12 15:18:09.540893,0 days 00:00:06.755160,,decreasing,64,False,0.4,,,,,,0.0,1e-05,,minmax,,,,,False,1,Adam,last,,1e-07,0.178030303030303,,,,PRUNED
47,0.2164048865619546,2025-09-12 15:18:09.541893,2025-09-12 15:18:28.587721,0 days 00:00:19.045828,,decreasing,64,False,0.5,True,,,,,2.0,0.01,,L2,False,,,,False,2,Adam,last,,1e-07,0.2176165803108808,0.21875,0.21875,0.2164048865619546,PRUNED
48,0.1843688534073817,2025-09-12 15:18:28.587721,2025-09-12 15:18:39.335068,0 days 00:00:10.747347,elu,decreasing,64,True,0.4,,,,,128.0,1.0,2e-05,,L2,,,,,True,1,AdamW,last,,2e-07,0.1843688534073817,,,,PRUNED
49,0.4377693151324006,2025-09-12 15:18:39.336070,2025-09-12 15:19:27.339166,0 days 00:00:48.003096,silu,decreasing,16,False,0.5,,,,,64.0,0.0,0.0002,,L2,,,,,False,1,Adam,last,,1e-07,0.2176165803108808,0.3696969696969696,0.21875,0.4532894707031161,COMPLETE
