number,value,datetime_start,datetime_complete,duration,params_activation,params_architecture_pattern,params_batch_size,params_bidirectional,params_dropout,params_dropout_layer_1,params_dropout_layer_2,params_dropout_layer_3,params_dropout_layer_4,params_fc_hidden,params_first_size_idx,params_lr,params_momentum,params_norm,params_norm_layer_1,params_norm_layer_2,params_norm_layer_3,params_norm_layer_4,params_norm_post_lstm,params_num_layers,params_optimizer,params_pooling,params_size_idx,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,state
29,0.21761658031088082,2025-09-11 18:43:09.511848,2025-09-11 18:43:13.408771,0 days 00:00:03.896923,,decreasing,32,False,0.0,True,False,,,,5.0,0.001,,L2,False,False,,,False,3,RMSprop,mean,,1e-05,0.21761658031088082,0.21761658031088082,,,,PRUNED
30,0.21875,2025-09-11 18:43:13.408771,2025-09-11 18:43:18.645422,0 days 00:00:05.236651,leakyrelu,uniform,32,False,0.1,False,,,,1024.0,,1e-05,,L2,True,,,,False,2,RMSprop,max,1.0,1e-07,0.21875,,,,,PRUNED
31,0.24421052631578946,2025-09-11 18:43:18.645422,2025-09-11 18:43:20.610973,0 days 00:00:01.965551,,uniform,96,False,0.2,False,,,,,,0.0001,,L2,True,,,,False,2,RMSprop,max,3.0,1e-05,0.21761658031088082,0.24421052631578946,,,,PRUNED
32,0.21761658031088082,2025-09-11 18:43:20.610973,2025-09-11 18:43:26.014132,0 days 00:00:05.403159,elu,uniform,16,False,0.1,False,True,,,512.0,,0.001,,minmax,True,True,,,False,3,RMSprop,max,1.0,5e-07,0.21761658031088082,0.21761658031088082,,,,PRUNED
33,0.3700693282333254,2025-09-11 18:43:26.014609,2025-09-11 18:43:32.614285,0 days 00:00:06.599676,,decreasing,16,False,0.2,,,,,,3.0,0.0002,,L2,,,,,True,1,Adam,max,,1e-06,0.3700693282333254,,,,,PRUNED
34,0.21433168847886722,2025-09-11 18:43:32.614900,2025-09-11 18:43:34.412888,0 days 00:00:01.797988,relu,uniform,96,True,0.1,False,True,,,256.0,,0.001,0.5,minmax,True,False,,,False,3,SGD,last,4.0,1e-05,0.21433168847886722,,,,,PRUNED
35,0.17702448210922786,2025-09-11 18:43:34.413888,2025-09-11 18:43:36.106690,0 days 00:00:01.692802,silu,uniform,128,False,0.4,,,,,64.0,,2e-05,,L2,,,,,True,1,RMSprop,mean,1.0,2e-06,0.17702448210922786,,,,,PRUNED
36,0.21761658031088082,2025-09-11 18:43:36.106690,2025-09-11 18:43:41.594567,0 days 00:00:05.487877,tanh,increasing,16,True,0.0,False,,,,128.0,3.0,0.001,,minmax,True,,,,True,2,RMSprop,max,,1e-06,0.21761658031088082,0.21761658031088082,,,,PRUNED
37,0.21761658031088082,2025-09-11 18:43:41.595567,2025-09-11 18:43:43.766989,0 days 00:00:02.171422,,uniform,64,False,0.30000000000000004,False,,,,,,0.0001,,L2,True,,,,False,2,AdamW,last,2.0,2e-07,0.21761658031088082,,,,,PRUNED
38,0.3755834015411448,2025-09-11 18:43:43.766989,2025-09-11 18:44:22.855379,0 days 00:00:39.088390,leakyrelu,decreasing,128,False,0.2,,,,,768.0,10.0,5e-05,,L2,,,,,True,1,Adam,mean,,1e-05,0.21875,0.21640488656195464,,,,COMPLETE
39,0.2652436746710745,2025-09-11 18:44:22.863619,2025-09-11 18:46:06.633963,0 days 00:01:43.770344,elu,increasing,32,True,0.0,False,False,,,512.0,8.0,0.002,0.5,minmax,True,True,,,False,3,SGD,max,,5e-07,0.21875,0.21640488656195464,,,,COMPLETE
40,0.38687177877194356,2025-09-11 18:46:06.633963,2025-09-11 18:46:16.982585,0 days 00:00:10.348622,,uniform,16,False,0.5,False,,,,,,0.001,,L2,False,,,,True,2,AdamW,max,4.0,1e-05,0.26977279263733106,0.4049870618677958,0.38687177877194356,,,PRUNED
41,0.27960927960927956,2025-09-11 18:46:16.982585,2025-09-11 18:46:19.080014,0 days 00:00:02.097429,,uniform,32,False,0.2,,,,,,,0.01,,L2,,,,,False,1,RMSprop,max,0.0,1e-05,0.21761658031088082,0.27960927960927956,,,,PRUNED
42,0.21761658031088082,2025-09-11 18:46:19.080014,2025-09-11 18:46:21.302757,0 days 00:00:02.222743,,uniform,32,False,0.30000000000000004,,,,,,,0.01,,L2,,,,,False,1,RMSprop,max,1.0,1e-05,0.21761658031088082,0.21761658031088082,,,,PRUNED
43,0.27897577571432225,2025-09-11 18:46:21.302757,2025-09-11 18:46:23.483427,0 days 00:00:02.180670,,uniform,32,False,0.2,,,,,,,0.01,,L2,,,,,False,1,RMSprop,max,0.0,1e-05,0.21761658031088082,0.27897577571432225,,,,PRUNED
44,0.22089947089947093,2025-09-11 18:46:23.490137,2025-09-11 18:46:29.741293,0 days 00:00:06.251156,,uniform,32,False,0.1,False,,,,,,0.01,,L2,True,,,,False,2,RMSprop,max,1.0,2e-07,0.22089947089947093,,,,,PRUNED
45,0.21761658031088082,2025-09-11 18:46:29.741293,2025-09-11 18:46:33.644325,0 days 00:00:03.903032,,uniform,32,False,0.4,,,,,,,1e-05,,L2,,,,,False,1,RMSprop,max,10.0,1e-05,0.21761658031088082,0.21761658031088082,,,,PRUNED
46,0.17702448210922786,2025-09-11 18:46:33.645324,2025-09-11 18:46:35.040800,0 days 00:00:01.395476,relu,uniform,64,False,0.30000000000000004,False,,,,128.0,,0.0002,0.0,L2,False,,,,False,2,SGD,mean,2.0,1e-05,0.17702448210922786,,,,,PRUNED
47,0.178030303030303,2025-09-11 18:46:35.047279,2025-09-11 18:47:18.629252,0 days 00:00:43.581973,gelu,increasing,32,True,0.2,,,,,256.0,11.0,2e-05,,L2,,,,,True,1,RMSprop,max,,2e-06,0.21761658031088082,0.29548563611491113,0.40517961570593153,0.178030303030303,0.178030303030303,PRUNED
48,0.34536245647356756,2025-09-11 18:47:18.630252,2025-09-11 18:47:28.518902,0 days 00:00:09.888650,,uniform,16,False,0.1,True,,,,,,0.001,,L2,True,,,,False,2,RMSprop,max,1.0,1e-06,0.21761658031088082,0.31229132696637935,0.34536245647356756,,,PRUNED
49,0.2851851851851852,2025-09-11 18:47:28.527005,2025-09-11 18:47:30.223415,0 days 00:00:01.696410,relu,uniform,96,False,0.2,,,,,64.0,,0.002,,L2,,,,,False,1,RMSprop,last,3.0,1e-05,0.2851851851851852,,,,,PRUNED
