number,value,datetime_start,datetime_complete,duration,params_activation,params_architecture_pattern,params_batch_size,params_bidirectional,params_dropout,params_dropout_layer_1,params_dropout_layer_2,params_dropout_layer_3,params_dropout_layer_4,params_fc_hidden,params_first_size_idx,params_lr,params_momentum,params_norm,params_norm_layer_1,params_norm_layer_2,params_norm_layer_3,params_norm_layer_4,params_norm_post_lstm,params_num_layers,params_optimizer,params_pooling,params_size_idx,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,state
30,0.34840767244406345,2025-09-12 12:24:24.007036,2025-09-12 12:25:42.120695,0 days 00:01:18.113659,elu,decreasing,96,False,0.30000000000000004,,,,,64.0,9.0,0.0001,,minmax,,,,,False,1,AdamW,last,,0.0,0.247719298245614,0.31376262626262624,0.2794011544011544,,,COMPLETE
31,0.4716810658375847,2025-09-12 12:25:42.123696,2025-09-12 12:27:14.391257,0 days 00:01:32.267561,elu,decreasing,96,False,0.30000000000000004,False,,,,64.0,6.0,0.0001,,minmax,True,,,,False,2,AdamW,last,,0.0,0.3781002366985695,0.21875,0.3695575221238938,,,COMPLETE
32,0.43628845690342405,2025-09-12 12:27:14.394258,2025-09-12 12:28:49.105564,0 days 00:01:34.711306,elu,decreasing,96,False,0.30000000000000004,False,,,,64.0,6.0,0.0001,,minmax,True,,,,False,2,AdamW,last,,0.0,0.38482463810356554,0.21875,0.39029742727739647,,,COMPLETE
33,0.21640488656195464,2025-09-12 12:28:49.107564,2025-09-12 12:30:40.908350,0 days 00:01:51.800786,elu,decreasing,96,False,0.30000000000000004,False,False,True,,64.0,9.0,0.0001,,minmax,True,False,False,,False,4,AdamW,last,,0.0,0.21875,0.21875,0.21640488656195464,,,PRUNED
34,0.38171859362546573,2025-09-12 12:30:40.910352,2025-09-12 12:32:54.009621,0 days 00:02:13.099269,elu,decreasing,96,False,0.4,False,True,,,64.0,6.0,0.0001,,minmax,True,True,,,False,3,AdamW,last,,0.0,0.21761658031088082,0.21875,0.21875,0.2938690476190476,0.39117702922998504,COMPLETE
35,0.46780924515336264,2025-09-12 12:32:54.011621,2025-09-12 12:38:54.573963,0 days 00:06:00.562342,elu,decreasing,96,True,0.30000000000000004,False,,,,64.0,8.0,0.0001,,minmax,True,,,,False,2,AdamW,last,,5e-07,0.21875,0.40051876716509,,,,COMPLETE
36,0.46138319641113285,2025-09-12 12:38:54.575964,2025-09-12 12:46:49.367963,0 days 00:07:54.791999,elu,decreasing,96,True,0.30000000000000004,False,False,,,64.0,8.0,0.0001,,minmax,True,False,,,False,3,AdamW,last,,5e-07,0.26802070888092394,0.4155280985133775,0.21875,0.3796455117209834,,COMPLETE
37,0.21640488656195464,2025-09-12 12:46:49.370963,2025-09-12 12:49:32.533394,0 days 00:02:43.162431,elu,decreasing,96,True,0.30000000000000004,False,False,,,64.0,8.0,0.0001,,minmax,True,False,,,False,3,AdamW,mean,,5e-07,0.21761658031088082,0.21875,0.21875,0.21640488656195464,,PRUNED
38,0.1884469696969697,2025-09-12 12:49:32.534394,2025-09-12 12:50:22.169019,0 days 00:00:49.634625,elu,increasing,96,True,0.2,False,False,,,64.0,6.0,0.0001,,minmax,True,False,,,False,3,AdamW,last,,5e-07,0.1884469696969697,,,,,PRUNED
39,0.45263873445971353,2025-09-12 12:50:22.170020,2025-09-12 12:55:42.265222,0 days 00:05:20.095202,elu,decreasing,96,True,0.30000000000000004,False,,,,64.0,8.0,0.0001,,minmax,True,,,,False,2,AdamW,last,,5e-07,0.40353535353535347,0.21875,0.3733316232739088,,,COMPLETE
