number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_dropout_layer_1,params_dropout_layer_2,params_dropout_layer_3,params_dropout_layer_4,params_dropout_layer_5,params_dropout_rate,params_lr,params_momentum_sgd,params_norm,params_norm_layer_1,params_norm_layer_2,params_norm_layer_3,params_norm_layer_4,params_norm_layer_5,params_num_layers,params_optimizer,params_pca_frac,params_pooling,params_use_pca,params_wd,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
10,0.4904,2025-10-23 17:23:02.479773,2025-10-23 17:23:24.367922,0 days 00:00:21.888149,leakyrelu,896,96,True,True,True,True,,0.5,0.001,,minmax,False,False,False,True,,4,RMSprop,0.7,mean,True,0.0001,0.21839080459770113,0.21839080459770113,0.21637426900584797,,COMPLETE
11,0.2164,2025-10-23 17:23:24.371447,2025-10-23 17:23:42.739115,0 days 00:00:18.367668,leakyrelu,896,96,True,True,True,True,,0.5,0.001,,minmax,False,False,False,True,,4,RMSprop,0.7,mean,True,0.0001,0.21637426900584797,,,,PRUNED
12,0.1761,2025-10-23 17:23:42.740940,2025-10-23 17:23:52.583616,0 days 00:00:09.842676,leakyrelu,896,96,True,True,True,True,,0.5,0.001,,minmax,False,False,False,True,,4,RMSprop,0.7,mean,True,0.0001,0.21839080459770113,0.1761006289308176,,,PRUNED
13,0.1778,2025-10-23 17:23:52.585501,2025-10-23 17:24:07.753803,0 days 00:00:15.168302,relu,512,96,True,True,True,False,False,0.6,5e-05,0.8,minmax,False,False,False,True,True,5,SGD,0.7,mean,True,0.0001,0.17777777777777778,,,,PRUNED
14,0.4074,2025-10-23 17:24:07.755802,2025-10-23 17:24:24.762008,0 days 00:00:17.006206,leakyrelu,896,96,False,True,True,,,0.2,0.001,,minmax,False,False,False,,,3,AdamW,,mean,False,0.0001,0.40088858509911135,0.21839080459770113,0.21839080459770113,0.21637426900584797,COMPLETE
15,0.4773,2025-10-23 17:24:24.762008,2025-10-23 17:24:40.781949,0 days 00:00:16.019941,leakyrelu,896,96,True,True,,,,0.5,0.001,,minmax,False,False,,,,2,RMSprop,0.95,mean,True,0.0001,0.21637426900584797,,,,COMPLETE
16,0.3997,2025-10-23 17:24:40.784801,2025-10-23 17:24:56.840076,0 days 00:00:16.055275,tanh,512,96,True,False,,,,0.5,0.0002,,minmax,False,True,,,,2,RMSprop,0.95,mean,True,0.0,0.38278964508472707,0.27575757575757576,0.2747354497354497,0.25788497217068646,COMPLETE
17,0.3884,2025-10-23 17:24:56.843099,2025-10-23 17:25:10.675398,0 days 00:00:13.832299,silu,1280,96,True,True,,,,0.0,5e-05,,minmax,False,False,,,,2,RMSprop,0.95,mean,True,0.0001,0.30784508440913605,0.2815083686227062,0.33312133418132994,,COMPLETE
18,0.4438,2025-10-23 17:25:10.678441,2025-10-23 17:25:24.859681,0 days 00:00:14.181240,relu,896,96,True,True,,,,0.2,0.0001,,minmax,False,False,,,,2,RMSprop,0.9,mean,True,0.0001,0.41749902659578697,0.21839080459770113,0.21839080459770113,0.42549019607843136,COMPLETE
19,0.4631,2025-10-23 17:25:24.863691,2025-10-23 17:25:42.195288,0 days 00:00:17.331597,leakyrelu,896,64,True,,,,,0.6,0.001,,minmax,False,,,,,1,RMSprop,0.8,mean,True,0.0001,0.2666359659221736,0.35053763440860214,,,COMPLETE
20,0.1778,2025-10-23 17:25:42.198393,2025-10-23 17:25:55.121905,0 days 00:00:12.923512,leakyrelu,896,80,True,True,True,,,0.5,0.001,,minmax,False,False,False,,,3,RMSprop,0.7,mean,True,0.0,0.3078543682928435,0.21839080459770113,0.17777777777777778,,PRUNED
21,0.45,2025-10-23 17:25:55.121905,2025-10-23 17:26:11.311893,0 days 00:00:16.189988,leakyrelu,896,64,True,,,,,0.6,0.001,,minmax,False,,,,,1,RMSprop,0.8,mean,True,0.0001,0.4253180836893115,0.44896329567623977,0.28441909775535573,0.3156521739130435,COMPLETE
22,0.3013,2025-10-23 17:26:11.318979,2025-10-23 17:26:13.999693,0 days 00:00:02.680714,leakyrelu,896,64,True,,,,,0.6,0.001,,minmax,False,,,,,1,RMSprop,0.8,mean,True,0.0001,0.3013431013431013,,,,PRUNED
23,0.2184,2025-10-23 17:26:13.999693,2025-10-23 17:26:21.750257,0 days 00:00:07.750564,leakyrelu,896,64,True,False,,,,0.6,0.001,,minmax,False,True,,,,2,RMSprop,0.95,mean,True,0.0001,0.21839080459770113,,,,PRUNED
24,0.2184,2025-10-23 17:26:21.751275,2025-10-23 17:26:23.403503,0 days 00:00:01.652228,leakyrelu,896,128,True,,,,,0.5,0.001,0.0,minmax,False,,,,,1,SGD,0.8,mean,True,0.0001,0.21839080459770113,,,,PRUNED
25,0.2072,2025-10-23 17:26:23.403503,2025-10-23 17:26:41.242308,0 days 00:00:17.838805,leakyrelu,1024,64,True,True,,,,0.6,0.001,,minmax,False,False,,,,2,RMSprop,0.95,mean,True,0.0001,0.48692070678488336,0.3,0.312460468058191,0.2071977638015374,PRUNED
26,0.2661,2025-10-23 17:26:41.244313,2025-10-23 17:26:57.039847,0 days 00:00:15.795534,relu,640,96,True,,,,,0.5,2e-05,,L2,True,,,,,1,RMSprop,0.8,mean,True,0.0001,0.3535762483130904,,,,COMPLETE
27,0.4017,2025-10-23 17:26:57.040229,2025-10-23 17:27:12.140398,0 days 00:00:15.100169,tanh,1280,96,True,True,,,,0.0,1e-05,,minmax,False,False,,,,2,RMSprop,0.7,mean,True,0.0001,0.39107827038861526,0.40257252326217846,0.3723524497518305,0.36015075741103136,COMPLETE
28,0.2594,2025-10-23 17:27:12.146643,2025-10-23 17:27:32.579295,0 days 00:00:20.432652,silu,512,64,True,False,True,,,0.3,0.0002,,minmax,False,True,False,,,3,RMSprop,0.9,mean,True,0.0,0.3986856516976999,0.25943104514533083,,,PRUNED
29,0.2184,2025-10-23 17:27:32.581529,2025-10-23 17:27:36.038478,0 days 00:00:03.456949,elu,896,80,True,True,True,,,0.2,5e-05,0.95,L2,True,False,False,,,3,SGD,0.7,mean,True,1e-06,0.21839080459770113,,,,PRUNED
