number,value,state,datetime_start,datetime_complete,duration,layer_sizes,dropout_layers,norm_layers,num_layers,native_mode,dropout,architecture_pattern,activation,batch_size,bidirectional,fc_hidden,lr,momentum_sgd,norm,norm_post_lstm,optimizer,pooling,weight_decay
10,0.45250689472024996,COMPLETE,2025-12-09 09:40:22.946374,2025-12-09 09:41:06.615905,0 days 00:00:43.669531,[64],[],[],1,True,0.0,uniform,gelu,48,True,512.0,0.001,,L2,False,RMSprop,max,1e-05
11,0.44705189662934297,COMPLETE,2025-12-09 09:41:06.616911,2025-12-09 09:41:47.021400,0 days 00:00:40.404489,[64],[],[],1,True,0.0,uniform,gelu,48,True,512.0,0.001,,L2,False,RMSprop,max,1e-05
12,0.43795335088303444,COMPLETE,2025-12-09 09:41:47.022400,2025-12-09 09:42:33.496771,0 days 00:00:46.474371,[64],[],[],1,True,0.0,uniform,gelu,48,True,512.0,0.001,,L2,False,RMSprop,max,1e-05
13,0.4312857013051773,COMPLETE,2025-12-09 09:42:33.498789,2025-12-09 10:20:33.672307,0 days 00:38:00.173518,"[896, 896, 896]",[],[],3,True,0.2,uniform,gelu,16,True,512.0,5e-05,,L2,False,AdamW,max,1e-05
14,0.44622786748431126,COMPLETE,2025-12-09 10:20:33.673811,2025-12-09 10:21:32.259837,0 days 00:00:58.586026,[384],[],[],1,True,0.0,decreasing,gelu,96,True,128.0,0.001,,L2,False,RMSprop,max,1e-05
15,0.43868987584673863,COMPLETE,2025-12-09 10:21:32.260864,2025-12-09 10:24:34.394426,0 days 00:03:02.133562,"[256, 256, 256]",[],[],3,True,0.3,uniform,relu,48,True,1024.0,0.0002,,L2,False,AdamW,last,1e-06
16,0.21758419036095988,COMPLETE,2025-12-09 10:24:34.395428,2025-12-09 10:25:07.465210,0 days 00:00:33.069782,[384],[],[],1,True,0.0,uniform,,96,True,,5e-05,,L2,False,RMSprop,last,1e-05
17,0.47387004194275184,COMPLETE,2025-12-09 10:25:07.466223,2025-12-09 10:27:20.467668,0 days 00:02:13.001445,[384],[],[],1,True,0.0,decreasing,elu,16,True,256.0,0.0002,,L2,False,RMSprop,max,1e-05
18,0.4225262425808549,COMPLETE,2025-12-09 10:27:20.468678,2025-12-09 10:34:05.982224,0 days 00:06:45.513546,"[384, 256]",[],[],2,False,0.0,decreasing,elu,16,True,256.0,0.0002,,L2,False,AdamW,mean,1e-05
19,0.42023968664393374,COMPLETE,2025-12-09 10:34:05.983223,2025-12-09 10:40:48.378319,0 days 00:06:42.395096,"[384, 256, 192]",[],[2],3,False,0.0,decreasing,elu,16,True,256.0,0.0002,,L2,False,Adam,last,1e-06
20,0.47974030903059955,COMPLETE,2025-12-09 10:40:48.379324,2025-12-09 10:41:48.138107,0 days 00:00:59.758783,[192],[],[],1,True,0.0,decreasing,tanh,96,True,256.0,0.0002,,L2,False,RMSprop,max,1e-05
21,0.47281377712353495,COMPLETE,2025-12-09 10:41:48.139108,2025-12-09 10:43:03.170406,0 days 00:01:15.031298,[256],[],[],1,True,0.0,decreasing,tanh,96,True,256.0,0.0002,,L2,False,RMSprop,max,1e-05
22,0.4366243135822659,COMPLETE,2025-12-09 10:43:03.171753,2025-12-09 10:43:53.163960,0 days 00:00:49.992207,[192],[],[],1,True,0.0,decreasing,tanh,96,True,256.0,0.0002,,L2,False,RMSprop,max,1e-05
23,0.4764928016933457,COMPLETE,2025-12-09 10:43:53.165006,2025-12-09 10:46:49.668416,0 days 00:02:56.503410,[64],[],[],1,True,0.0,decreasing,tanh,16,True,256.0,0.0002,,L2,False,RMSprop,max,1e-05
24,0.47982842860381114,COMPLETE,2025-12-09 10:46:49.670417,2025-12-09 10:50:03.326092,0 days 00:03:13.655675,[64],[],[],1,True,0.0,decreasing,tanh,16,True,256.0,0.0002,,L2,False,RMSprop,max,1e-05
25,0.44153174996585187,COMPLETE,2025-12-09 10:50:03.327093,2025-12-09 10:52:21.411417,0 days 00:02:18.084324,[64],[],[],1,True,0.0,decreasing,tanh,16,True,256.0,0.0002,,L2,False,RMSprop,max,1e-05
26,0.4406819951136368,COMPLETE,2025-12-09 10:52:21.412919,2025-12-09 10:54:42.557552,0 days 00:02:21.144633,[64],[],[],1,True,0.0,decreasing,tanh,16,False,256.0,0.0002,,L2,False,RMSprop,max,1e-05
27,0.365698703064306,COMPLETE,2025-12-09 10:54:42.558553,2025-12-09 10:59:37.526540,0 days 00:04:54.967987,"[192, 128]",[1],[1],2,False,0.4,decreasing,tanh,16,True,256.0,5e-05,,L2,False,RMSprop,max,1e-07
28,0.21758419036095988,COMPLETE,2025-12-09 10:59:37.527566,2025-12-09 11:00:48.584486,0 days 00:01:11.056920,[128],[],[],1,True,0.0,decreasing,tanh,16,True,256.0,1e-05,,L2,False,RMSprop,max,1e-06
29,0.21758419036095988,COMPLETE,2025-12-09 11:00:48.585487,2025-12-09 11:01:11.061707,0 days 00:00:22.476220,[64],[],[],1,True,0.0,decreasing,tanh,64,True,1024.0,0.0001,,minmax,False,RMSprop,max,1e-06
30,0.21758419036095988,COMPLETE,2025-12-09 11:01:11.063212,2025-12-09 11:01:40.807476,0 days 00:00:29.744264,"[192, 128]",[1],[1],2,False,0.1,decreasing,tanh,128,True,256.0,2e-05,,L2,False,RMSprop,max,1e-05
31,0.4530850103171035,COMPLETE,2025-12-09 11:01:40.808486,2025-12-09 11:03:50.719604,0 days 00:02:09.911118,[128],[],[],1,True,0.0,decreasing,elu,16,True,256.0,0.0002,,L2,False,RMSprop,max,1e-05
32,0.45445560833457205,COMPLETE,2025-12-09 11:03:50.720616,2025-12-09 11:06:04.385001,0 days 00:02:13.664385,[256],[],[],1,True,0.0,decreasing,leakyrelu,16,True,256.0,0.0002,,L2,False,RMSprop,max,1e-05
33,0.25487988732477507,COMPLETE,2025-12-09 11:06:04.386008,2025-12-09 11:07:16.735913,0 days 00:01:12.349905,[128],[],[],1,True,0.0,decreasing,elu,16,True,256.0,0.0002,0.7,L2,False,SGD,max,1e-05
34,0.4388200565992788,COMPLETE,2025-12-09 11:07:16.735913,2025-12-09 11:08:56.105166,0 days 00:01:39.369253,[64],[],[],1,True,0.0,decreasing,,16,True,,0.0002,,L2,True,RMSprop,max,1e-05
35,0.45383646441441233,COMPLETE,2025-12-09 11:08:56.106211,2025-12-09 11:11:20.393565,0 days 00:02:24.287354,[256],[],[],1,True,0.0,increasing,tanh,32,True,128.0,0.0002,,L2,False,RMSprop,attention,1e-07
36,0.15736880623358734,COMPLETE,2025-12-09 11:11:20.394570,2025-12-09 11:11:55.975400,0 days 00:00:35.580830,"[192, 128]",[1],[],2,False,0.5,decreasing,tanh,96,True,1024.0,1e-05,0.8,L2,False,SGD,mean,0.0
37,0.4426114271860732,COMPLETE,2025-12-09 11:11:55.975400,2025-12-09 11:12:56.856480,0 days 00:01:00.881080,"[448, 384]",[],[],2,False,0.0,decreasing,elu,64,False,256.0,0.0002,,L2,True,AdamW,max,1e-05
38,0.21758419036095988,COMPLETE,2025-12-09 11:12:56.858483,2025-12-09 11:14:10.977527,0 days 00:01:14.119044,[128],[],[],1,True,0.0,increasing,leakyrelu,16,True,768.0,0.0001,,minmax,False,RMSprop,attention,1e-05
39,0.20238301566472944,COMPLETE,2025-12-09 11:14:10.977527,2025-12-09 11:15:43.337425,0 days 00:01:32.359898,"[448, 384, 256, 192]",[1],"[1, 2, 3]",4,False,0.4,decreasing,silu,32,False,256.0,1e-05,0.7,L2,False,SGD,max,1e-07
40,0.21758419036095988,COMPLETE,2025-12-09 11:15:43.337425,2025-12-09 11:16:15.213925,0 days 00:00:31.876500,"[64, 128]",[1],[],2,False,0.5,increasing,relu,96,True,128.0,0.0002,,minmax,True,RMSprop,mean,0.0
41,0.4727776594585431,COMPLETE,2025-12-09 11:16:15.213925,2025-12-09 11:17:23.428020,0 days 00:01:08.214095,[256],[],[],1,True,0.0,decreasing,tanh,96,True,256.0,0.0002,,L2,False,RMSprop,max,1e-05
42,0.4456634387941765,COMPLETE,2025-12-09 11:17:23.428020,2025-12-09 11:18:17.618438,0 days 00:00:54.190418,[256],[],[],1,True,0.0,decreasing,tanh,96,True,256.0,0.0002,,L2,False,RMSprop,max,1e-05
43,0.44322861427971266,COMPLETE,2025-12-09 11:18:17.634335,2025-12-09 11:19:09.247533,0 days 00:00:51.613198,[256],[],[],1,True,0.0,decreasing,tanh,96,True,256.0,0.0002,,L2,False,RMSprop,max,1e-05
44,0.21758419036095988,COMPLETE,2025-12-09 11:19:09.248536,2025-12-09 11:19:40.981950,0 days 00:00:31.733414,[448],[],[],1,True,0.0,decreasing,tanh,128,True,256.0,2e-05,,L2,False,RMSprop,max,1e-05
45,0.4561606202877838,COMPLETE,2025-12-09 11:19:40.983953,2025-12-09 11:20:52.015474,0 days 00:01:11.031521,[384],[],[],1,True,0.0,decreasing,silu,96,True,768.0,0.0002,,L2,False,RMSprop,max,1e-05
46,0.21758419036095988,COMPLETE,2025-12-09 11:20:52.016532,2025-12-09 11:22:22.978014,0 days 00:01:30.961482,"[192, 128]",[],[1],2,False,0.0,decreasing,tanh,16,False,256.0,0.0002,,minmax,True,Adam,attention,1e-05
47,0.24983195536734554,COMPLETE,2025-12-09 11:22:22.978014,2025-12-09 11:23:31.245658,0 days 00:01:08.267644,[512],[],[],1,True,0.0,decreasing,,32,True,,0.0001,,L2,False,RMSprop,max,0.0
48,0.22434981683595545,COMPLETE,2025-12-09 11:23:31.247666,2025-12-09 11:23:55.650603,0 days 00:00:24.402937,[128],[],[],1,True,0.0,increasing,elu,64,True,256.0,5e-05,,L2,False,AdamW,max,1e-05
49,0.39364294759950735,COMPLETE,2025-12-09 11:23:55.650603,2025-12-09 11:25:34.568424,0 days 00:01:38.917821,"[384, 256]",[],[],2,False,0.0,decreasing,leakyrelu,48,True,1024.0,0.001,,L2,False,RMSprop,last,1e-07
