number,value,state,datetime_start,datetime_complete,duration,layer_sizes,dropout_layers,norm_layers,num_layers,native_mode,dropout,architecture_pattern,batch_size,bidirectional,lr,norm,norm_post_lstm,optimizer,pooling,weight_decay,activation,fc_hidden,momentum_sgd
11,0.21758419036095988,COMPLETE,2025-12-09 13:19:21.539531,2025-12-09 13:19:37.050867,0 days 00:00:15.511336,"[384, 448]",[],[],2,False,0.0,increasing,64,False,2e-05,minmax,True,Adam,last,0.0,tanh,768.0,
12,0.2681595108316287,COMPLETE,2025-12-09 13:19:37.050867,2025-12-09 13:20:17.919703,0 days 00:00:40.868836,"[384, 448]",[1],[],2,False,0.2,increasing,32,False,5e-05,minmax,True,Adam,last,0.0,leakyrelu,768.0,
13,0.21758419036095988,COMPLETE,2025-12-09 13:20:17.921706,2025-12-09 13:21:02.937968,0 days 00:00:45.016262,"[192, 256]",[],[1],2,False,0.0,increasing,16,False,5e-05,minmax,True,Adam,mean,1e-07,silu,768.0,
14,0.25004050726342214,COMPLETE,2025-12-09 13:21:02.939972,2025-12-09 13:21:41.418150,0 days 00:00:38.478178,"[448, 512, 640]",[2],[2],3,False,0.4,increasing,128,True,2e-05,L2,True,SGD,last,0.0,elu,128.0,0.7
15,0.45876186347975445,COMPLETE,2025-12-09 13:21:41.418150,2025-12-09 13:22:12.277719,0 days 00:00:30.859569,[448],[],[],1,True,0.0,decreasing,64,False,0.0001,minmax,True,Adam,last,0.0,leakyrelu,512.0,
16,0.41836729487307833,COMPLETE,2025-12-09 13:22:12.279722,2025-12-09 13:22:37.130710,0 days 00:00:24.850988,[512],[],[],1,True,0.0,decreasing,64,False,0.0001,L2,True,Adam,mean,1e-07,leakyrelu,512.0,
17,0.42032504636599877,COMPLETE,2025-12-09 13:22:37.130710,2025-12-09 13:23:09.577425,0 days 00:00:32.446715,[64],[],[],1,True,0.0,decreasing,64,True,0.0001,minmax,True,Adam,max,1e-06,leakyrelu,512.0,
18,0.21758419036095988,COMPLETE,2025-12-09 13:23:09.577425,2025-12-09 13:23:59.779207,0 days 00:00:50.201782,"[448, 384, 256]",[1],[2],3,False,0.5,decreasing,32,True,0.0002,minmax,False,AdamW,last,1e-07,silu,512.0,
19,0.21758419036095988,COMPLETE,2025-12-09 13:23:59.779207,2025-12-09 13:24:25.300808,0 days 00:00:25.521601,"[512, 448, 384, 256]","[1, 3]","[2, 3]",4,False,0.2,decreasing,64,False,0.0001,L2,True,SGD,mean,0.0,,,0.8
20,0.22766041540633192,COMPLETE,2025-12-09 13:24:25.300808,2025-12-09 13:24:45.084518,0 days 00:00:19.783710,[896],[],[],1,True,0.0,decreasing,64,False,0.0001,minmax,True,Adam,mean,1e-07,elu,512.0,
21,0.4587054931677358,COMPLETE,2025-12-09 13:24:45.084518,2025-12-09 13:25:17.470754,0 days 00:00:32.386236,[64],[],[],1,True,0.0,decreasing,64,True,0.0001,minmax,True,Adam,max,1e-06,leakyrelu,512.0,
22,0.43121080059331424,COMPLETE,2025-12-09 13:25:17.470754,2025-12-09 13:25:45.720460,0 days 00:00:28.249706,[128],[],[],1,True,0.0,decreasing,64,True,0.0001,minmax,True,Adam,max,1e-06,leakyrelu,512.0,
23,0.2388632943986846,COMPLETE,2025-12-09 13:25:45.720460,2025-12-09 13:26:06.616844,0 days 00:00:20.896384,"[384, 256]",[1],[],2,False,0.5,decreasing,64,True,0.0001,minmax,True,Adam,max,1e-06,leakyrelu,512.0,
24,0.4235075730681075,COMPLETE,2025-12-09 13:26:06.618886,2025-12-09 13:26:53.314387,0 days 00:00:46.695501,[256],[],[],1,True,0.0,decreasing,32,True,0.0001,minmax,True,Adam,max,1e-06,,,
25,0.21758419036095988,COMPLETE,2025-12-09 13:26:53.315387,2025-12-09 13:27:46.400615,0 days 00:00:53.085228,"[640, 640]",[1],[],2,False,0.5,uniform,64,True,2e-05,minmax,True,Adam,max,1e-06,tanh,512.0,
26,0.22637296493810122,COMPLETE,2025-12-09 13:27:46.401633,2025-12-09 13:28:09.084399,0 days 00:00:22.682766,"[256, 192, 128]","[1, 2]",[2],3,False,0.3,decreasing,96,True,1e-05,L2,False,Adam,last,0.0,leakyrelu,256.0,
27,0.21758419036095988,COMPLETE,2025-12-09 13:28:09.085619,2025-12-09 13:28:26.204744,0 days 00:00:17.119125,[128],[],[],1,True,0.0,decreasing,48,True,0.0002,minmax,True,AdamW,attention,1e-05,leakyrelu,128.0,
28,0.3753055694955564,COMPLETE,2025-12-09 13:28:26.206744,2025-12-09 13:28:53.103686,0 days 00:00:26.896942,"[512, 448]",[1],[1],2,False,0.1,decreasing,128,False,0.001,L2,True,SGD,max,1e-07,leakyrelu,1024.0,0.9
29,0.39321375557749055,COMPLETE,2025-12-09 13:28:53.105695,2025-12-09 13:29:36.437191,0 days 00:00:43.331496,[384],[],[],1,True,0.0,uniform,32,False,5e-05,minmax,True,Adam,last,0.0,,,
30,0.21758419036095988,COMPLETE,2025-12-09 13:29:36.438447,2025-12-09 13:30:14.904505,0 days 00:00:38.466058,"[448, 384, 256]",[1],[2],3,False,0.5,decreasing,64,True,0.0001,minmax,True,Adam,mean,1e-06,silu,512.0,
31,0.4535623181629778,COMPLETE,2025-12-09 13:30:14.905512,2025-12-09 13:30:47.964651,0 days 00:00:33.059139,[128],[],[],1,True,0.0,decreasing,64,True,0.0001,minmax,True,Adam,max,1e-06,leakyrelu,512.0,
32,0.4147082394536682,COMPLETE,2025-12-09 13:30:47.965685,2025-12-09 13:31:15.165935,0 days 00:00:27.200250,[128],[],[],1,True,0.0,decreasing,64,True,0.0001,minmax,True,Adam,max,1e-06,leakyrelu,512.0,
33,0.4184814264312887,COMPLETE,2025-12-09 13:31:15.166941,2025-12-09 13:31:46.453095,0 days 00:00:31.286154,[64],[],[],1,True,0.0,decreasing,64,True,0.0001,minmax,True,Adam,max,1e-06,leakyrelu,512.0,
34,0.21758419036095988,COMPLETE,2025-12-09 13:31:46.454131,2025-12-09 13:32:24.487444,0 days 00:00:38.033313,[128],[],[],1,True,0.0,decreasing,16,True,1e-05,minmax,True,Adam,max,1e-06,leakyrelu,256.0,
35,0.21758419036095988,COMPLETE,2025-12-09 13:32:24.488467,2025-12-09 13:32:46.144018,0 days 00:00:21.655551,"[256, 192]",[1],[],2,False,0.5,decreasing,64,True,0.001,minmax,False,RMSprop,attention,1e-05,elu,512.0,
36,0.43700443462344546,COMPLETE,2025-12-09 13:32:46.146123,2025-12-09 13:34:03.666684,0 days 00:01:17.520561,"[384, 256, 192, 128]","[2, 3]","[1, 2]",4,False,0.2,decreasing,96,True,0.0001,L2,True,Adam,last,0.0,gelu,128.0,
37,0.4487737274861135,COMPLETE,2025-12-09 13:34:03.668724,2025-12-09 13:34:46.579373,0 days 00:00:42.910649,[512],[],[],1,True,0.0,uniform,96,True,0.0001,L2,True,Adam,last,0.0,gelu,128.0,
38,0.270031322393338,COMPLETE,2025-12-09 13:34:46.580396,2025-12-09 13:35:08.182515,0 days 00:00:21.602119,[512],[],[],1,True,0.0,uniform,96,True,0.0001,minmax,True,AdamW,last,0.0,gelu,128.0,
39,0.23363112134658434,COMPLETE,2025-12-09 13:35:08.184012,2025-12-09 13:35:26.397020,0 days 00:00:18.213008,[384],[],[],1,True,0.0,uniform,48,True,0.0001,L2,False,SGD,last,0.0,gelu,128.0,0.9
40,0.24599834815027966,COMPLETE,2025-12-09 13:35:26.398288,2025-12-09 13:35:47.387339,0 days 00:00:20.989051,[896],[],[],1,True,0.0,uniform,96,False,0.0001,minmax,True,RMSprop,last,0.0,tanh,1024.0,
41,0.3933898851942347,COMPLETE,2025-12-09 13:35:47.388350,2025-12-09 13:38:51.516890,0 days 00:03:04.128540,"[512, 512, 512, 512]","[2, 3]","[1, 2]",4,False,0.2,uniform,96,True,0.0001,L2,True,Adam,last,0.0,gelu,128.0,
42,0.4373058379354742,COMPLETE,2025-12-09 13:38:51.517895,2025-12-09 13:39:15.807268,0 days 00:00:24.289373,[192],[],[],1,True,0.0,uniform,96,True,0.0001,L2,True,Adam,last,0.0,gelu,128.0,
43,0.4354560290585777,COMPLETE,2025-12-09 13:39:15.809268,2025-12-09 13:39:42.735947,0 days 00:00:26.926679,[192],[],[],1,True,0.0,uniform,96,True,0.0001,L2,True,Adam,last,0.0,gelu,128.0,
44,0.4437329456020379,COMPLETE,2025-12-09 13:39:42.737958,2025-12-09 13:40:07.729527,0 days 00:00:24.991569,[192],[],[],1,True,0.0,uniform,96,True,0.0002,L2,True,Adam,last,0.0,gelu,128.0,
45,0.2785238959467634,COMPLETE,2025-12-09 13:40:07.730983,2025-12-09 13:40:23.920389,0 days 00:00:16.189406,[64],[],[],1,True,0.0,uniform,96,True,0.0002,L2,True,Adam,attention,0.0,relu,128.0,
46,0.44710172306245877,COMPLETE,2025-12-09 13:40:23.921409,2025-12-09 13:41:04.105789,0 days 00:00:40.184380,"[256, 256]",[],[],2,True,0.1,uniform,128,True,0.0002,L2,True,Adam,last,1e-06,gelu,512.0,
47,0.46512458952746394,COMPLETE,2025-12-09 13:41:04.106796,2025-12-09 13:41:33.433591,0 days 00:00:29.326795,"[64, 128]",[],[1],2,False,0.0,increasing,128,False,0.0002,L2,True,RMSprop,max,1e-06,gelu,512.0,
48,0.21758419036095988,COMPLETE,2025-12-09 13:41:33.434632,2025-12-09 13:41:44.080624,0 days 00:00:10.645992,"[64, 128]",[],[1],2,False,0.0,increasing,128,False,0.0002,minmax,False,RMSprop,max,1e-06,leakyrelu,512.0,
49,0.23691683569979713,COMPLETE,2025-12-09 13:41:44.080624,2025-12-09 13:41:55.005894,0 days 00:00:10.925270,"[64, 128]",[],[1],2,False,0.0,increasing,128,False,2e-05,L2,True,RMSprop,max,1e-06,relu,512.0,
