number,value,state,datetime_start,datetime_complete,duration,layer_sizes,dropout_layers,norm_layers,num_layers,native_mode,dropout,architecture_pattern,activation,batch_size,bidirectional,fc_hidden,lr,momentum_sgd,norm,norm_post_lstm,optimizer,pooling,weight_decay
12,0.31451379005480057,COMPLETE,2025-12-09 06:56:29.596844,2025-12-09 06:59:58.080760,0 days 00:03:28.483916,"[896, 768, 640]","[1, 2]","[1, 2]",3,False,0.5,decreasing,,32,False,,2e-05,,minmax,True,AdamW,max,1e-07
13,0.2806365624781553,COMPLETE,2025-12-09 06:59:58.081765,2025-12-09 07:04:41.743981,0 days 00:04:43.662216,"[896, 768, 640]","[1, 2]","[1, 2]",3,False,0.5,decreasing,,32,False,,2e-05,,minmax,True,AdamW,max,1e-07
14,0.2964881655419429,COMPLETE,2025-12-09 07:04:41.744981,2025-12-09 07:06:28.749060,0 days 00:01:47.004079,"[640, 512]",[1],[1],2,False,0.5,decreasing,,32,False,,0.0001,,minmax,True,AdamW,max,1e-07
15,0.21758419036095988,COMPLETE,2025-12-09 07:06:28.750060,2025-12-09 07:08:25.239117,0 days 00:01:56.489057,"[640, 512, 448]",[1],"[1, 2]",3,False,0.5,decreasing,,32,False,,0.001,,minmax,True,AdamW,max,1e-07
16,0.2269853945207847,COMPLETE,2025-12-09 07:08:25.240125,2025-12-09 07:09:54.051844,0 days 00:01:28.811719,"[640, 512]",[1],[1],2,False,0.5,decreasing,relu,32,False,512.0,0.0002,,minmax,True,AdamW,max,1e-07
17,0.3015519049431583,COMPLETE,2025-12-09 07:09:54.052844,2025-12-09 07:12:53.682958,0 days 00:02:59.630114,"[768, 640, 512, 448]","[1, 2, 3]","[1, 2]",4,False,0.2,decreasing,,128,False,,2e-05,,minmax,True,AdamW,attention,1e-07
18,0.2682196676375563,COMPLETE,2025-12-09 07:12:53.684155,2025-12-09 07:15:22.805182,0 days 00:02:29.121027,"[768, 640, 512]",[2],"[1, 2]",3,False,0.3,decreasing,,32,False,,2e-05,,minmax,True,AdamW,mean,1e-06
19,0.3049737622179038,COMPLETE,2025-12-09 07:15:22.807706,2025-12-09 07:17:05.435610,0 days 00:01:42.627904,"[512, 640]",[1],[1],2,False,0.4,increasing,,32,False,,2e-05,,minmax,True,Adam,max,0.0
20,0.21758419036095988,COMPLETE,2025-12-09 07:17:05.437115,2025-12-09 07:20:48.657510,0 days 00:03:43.220395,"[896, 768, 640, 512]","[1, 3]","[1, 3]",4,False,0.5,decreasing,leakyrelu,32,False,128.0,0.001,,minmax,True,RMSprop,max,1e-07
21,0.30620057857245797,COMPLETE,2025-12-09 07:20:48.658512,2025-12-09 07:24:25.094144,0 days 00:03:36.435632,"[896, 768, 640]","[1, 2]","[1, 2]",3,False,0.5,decreasing,,32,False,,2e-05,,minmax,True,AdamW,max,1e-07
22,0.3319952553615387,COMPLETE,2025-12-09 07:24:25.095150,2025-12-09 07:28:20.927293,0 days 00:03:55.832143,"[768, 640, 512]","[1, 2]","[1, 2]",3,False,0.5,decreasing,,32,False,,2e-05,,minmax,True,AdamW,max,1e-07
23,0.2959500788344346,COMPLETE,2025-12-09 07:28:20.928797,2025-12-09 07:31:36.529160,0 days 00:03:15.600363,"[768, 640, 512]","[1, 2]","[1, 2]",3,False,0.5,decreasing,,32,False,,2e-05,,minmax,True,AdamW,max,1e-07
24,0.3258269275505781,COMPLETE,2025-12-09 07:31:36.531372,2025-12-09 07:35:03.392348,0 days 00:03:26.860976,"[768, 640, 512]","[1, 2]","[1, 2]",3,False,0.5,decreasing,,32,False,,2e-05,,minmax,True,AdamW,max,1e-07
25,0.2434463767345759,COMPLETE,2025-12-09 07:35:03.393357,2025-12-09 07:35:52.814605,0 days 00:00:49.421248,"[512, 448]",[1],[1],2,False,0.5,decreasing,relu,128,False,256.0,0.0002,,minmax,True,AdamW,max,1e-07
26,0.21758419036095988,COMPLETE,2025-12-09 07:35:52.816108,2025-12-09 07:37:51.921650,0 days 00:01:59.105542,"[768, 640, 512]","[1, 2]","[1, 2]",3,False,0.5,decreasing,silu,96,False,1024.0,1e-05,,minmax,True,AdamW,attention,1e-07
27,0.23549333102872122,COMPLETE,2025-12-09 07:37:51.922711,2025-12-09 07:41:49.423201,0 days 00:03:57.500490,"[640, 512, 448, 384]",[2],"[1, 2]",4,False,0.3,decreasing,silu,16,False,512.0,0.0001,,minmax,True,AdamW,last,1e-06
28,0.24604225235163635,COMPLETE,2025-12-09 07:41:49.424486,2025-12-09 07:44:14.755813,0 days 00:02:25.331327,"[512, 640, 768]",[1],[1],3,False,0.4,increasing,tanh,48,False,768.0,5e-05,,minmax,True,RMSprop,mean,0.0
29,0.21758419036095988,COMPLETE,2025-12-09 07:44:14.757215,2025-12-09 07:44:43.053014,0 days 00:00:28.295799,"[64, 64, 64, 64]",[],[],4,True,0.2,uniform,relu,128,False,128.0,0.0001,,minmax,False,Adam,mean,0.0
30,0.30887962771376143,COMPLETE,2025-12-09 07:44:43.054030,2025-12-09 07:45:54.468760,0 days 00:01:11.414730,"[64, 64]",[],[],2,True,0.5,uniform,,32,False,,2e-05,,minmax,True,AdamW,max,1e-07
31,0.29206075634891954,COMPLETE,2025-12-09 07:45:54.469760,2025-12-09 07:48:54.641009,0 days 00:03:00.171249,"[768, 640, 512]","[1, 2]","[1, 2]",3,False,0.5,decreasing,,32,False,,2e-05,,minmax,True,AdamW,max,1e-07
32,0.3319414493794016,COMPLETE,2025-12-09 07:48:54.642009,2025-12-09 07:52:37.532750,0 days 00:03:42.890741,"[896, 768, 640]","[1, 2]","[1, 2]",3,False,0.5,decreasing,,32,False,,2e-05,,minmax,True,AdamW,max,1e-07
33,0.3513893913514968,COMPLETE,2025-12-09 07:52:37.534751,2025-12-09 07:56:18.145946,0 days 00:03:40.611195,"[768, 640, 512]","[1, 2]","[1, 2]",3,False,0.5,decreasing,,32,False,,2e-05,,minmax,True,AdamW,max,1e-07
34,0.29798363219931845,COMPLETE,2025-12-09 07:56:18.147991,2025-12-09 08:18:48.534591,0 days 00:22:30.386600,"[896, 768, 640, 512]","[1, 2, 3]","[1, 2, 3]",4,False,0.3,decreasing,,16,True,,2e-05,0.7,L2,True,SGD,max,1e-05
35,0.2391413582281503,COMPLETE,2025-12-09 08:18:48.536095,2025-12-09 08:20:46.442970,0 days 00:01:57.906875,"[640, 512, 448]","[1, 2]","[1, 2]",3,False,0.5,decreasing,gelu,32,False,768.0,5e-05,,minmax,True,AdamW,max,1e-07
36,0.20158506595913325,COMPLETE,2025-12-09 08:20:46.443970,2025-12-09 08:25:07.025197,0 days 00:04:20.581227,"[768, 640, 512]","[1, 2]",[2],3,False,0.4,decreasing,leakyrelu,64,True,128.0,1e-05,0.0,L2,False,SGD,max,1e-05
37,0.27954270287214006,COMPLETE,2025-12-09 08:25:07.026222,2025-12-09 08:26:31.905836,0 days 00:01:24.879614,"[256, 384, 448, 512]","[1, 2, 3]","[1, 2, 3]",4,False,0.1,increasing,,96,False,,2e-05,,minmax,True,Adam,mean,1e-07
38,0.21758419036095988,COMPLETE,2025-12-09 08:26:31.907873,2025-12-09 08:29:54.310336,0 days 00:03:22.402463,"[512, 512, 512]","[1, 2]","[1, 2]",3,False,0.5,uniform,leakyrelu,48,True,1024.0,0.001,,L2,False,AdamW,max,1e-07
39,0.24712781375110587,COMPLETE,2025-12-09 08:29:54.311336,2025-12-09 08:30:48.799792,0 days 00:00:54.488456,"[384, 256]",[],[],2,False,0.0,decreasing,,32,False,,2e-05,0.8,minmax,True,SGD,last,1e-06
40,0.21758419036095988,COMPLETE,2025-12-09 08:30:48.800793,2025-12-09 08:42:14.447496,0 days 00:11:25.646703,"[896, 768, 640]",[1],[1],3,False,0.5,decreasing,silu,16,True,256.0,0.0002,,minmax,False,RMSprop,attention,1e-05
41,0.33275434043200147,COMPLETE,2025-12-09 08:42:14.448496,2025-12-09 08:46:41.556909,0 days 00:04:27.108413,"[768, 640, 512]","[1, 2]","[1, 2]",3,False,0.5,decreasing,,32,False,,2e-05,,minmax,True,AdamW,max,1e-07
42,0.2613264292068894,COMPLETE,2025-12-09 08:46:41.557910,2025-12-09 08:49:10.987211,0 days 00:02:29.429301,"[768, 640, 512]","[1, 2]","[1, 2]",3,False,0.5,decreasing,,32,False,,2e-05,,minmax,True,AdamW,max,1e-07
43,0.31168863586736656,COMPLETE,2025-12-09 08:49:10.989211,2025-12-09 08:51:44.873451,0 days 00:02:33.884240,"[640, 512, 448]","[1, 2]",[2],3,False,0.5,decreasing,,32,False,,2e-05,,minmax,True,AdamW,max,1e-07
44,0.4389126781179039,COMPLETE,2025-12-09 08:51:44.874955,2025-12-09 08:56:33.189755,0 days 00:04:48.314800,"[768, 640, 512]",[2],"[1, 2]",3,False,0.1,decreasing,relu,64,False,768.0,2e-05,,minmax,True,AdamW,max,1e-07
45,0.29035606939063957,COMPLETE,2025-12-09 08:56:33.190808,2025-12-09 08:57:27.499887,0 days 00:00:54.309079,"[64, 128, 192]",[2],"[1, 2]",3,False,0.1,increasing,relu,64,False,768.0,1e-05,,L2,True,AdamW,max,1e-07
46,0.31047253414697923,COMPLETE,2025-12-09 08:57:27.501887,2025-12-09 08:58:27.042921,0 days 00:00:59.541034,[512],[],[],1,True,0.0,decreasing,relu,64,False,768.0,2e-05,,minmax,True,AdamW,last,1e-07
47,0.23127410620748678,COMPLETE,2025-12-09 08:58:27.043925,2025-12-09 08:58:55.495106,0 days 00:00:28.451181,"[192, 192]",[],[],2,True,0.1,uniform,relu,64,False,768.0,5e-05,,minmax,True,AdamW,max,0.0
48,0.21758419036095988,COMPLETE,2025-12-09 08:58:55.496165,2025-12-09 09:00:57.123725,0 days 00:02:01.627560,"[768, 640, 512]",[],[],3,False,0.0,decreasing,relu,64,False,512.0,2e-05,,minmax,True,Adam,max,1e-07
49,0.4374272388034874,COMPLETE,2025-12-09 09:00:57.125229,2025-12-09 09:07:30.748012,0 days 00:06:33.622783,"[640, 512, 448, 384]",[2],"[1, 2]",4,False,0.2,decreasing,tanh,48,True,768.0,0.0001,,L2,False,AdamW,max,1e-06
