number,value,state,datetime_start,datetime_complete,duration,layer_sizes,dropout_layers,norm_layers,num_layers,native_mode,dropout,architecture_pattern,activation,batch_size,bidirectional,fc_hidden,lr,norm,norm_post_lstm,optimizer,pooling,weight_decay,momentum_sgd
33,0.3976838298846571,COMPLETE,2025-12-09 03:02:34.466418,2025-12-09 03:04:36.153489,0 days 00:02:01.687071,"[512, 448, 384, 256]",[],[1],4,False,0.0,decreasing,gelu,32,False,512.0,1e-05,L2,True,AdamW,mean,1e-07,
34,0.21758419036095988,COMPLETE,2025-12-09 03:04:36.154489,2025-12-09 03:05:47.157263,0 days 00:01:11.002774,"[384, 448, 512, 640]","[2, 3]","[1, 2, 3]",4,False,0.3,increasing,gelu,48,False,512.0,5e-05,minmax,False,AdamW,mean,1e-07,
35,0.21758419036095988,COMPLETE,2025-12-09 03:05:47.158268,2025-12-09 03:07:52.518075,0 days 00:02:05.359807,"[512, 448, 384, 256]",[],[1],4,False,0.0,decreasing,leakyrelu,32,True,768.0,0.001,L2,True,Adam,mean,1e-05,
36,0.21371716415888864,COMPLETE,2025-12-09 03:07:52.519080,2025-12-09 03:08:47.766269,0 days 00:00:55.247189,"[640, 512, 448]",[2],"[1, 2]",3,False,0.4,decreasing,relu,128,False,512.0,1e-05,L2,False,SGD,mean,1e-06,0.0
37,0.4063907168817356,COMPLETE,2025-12-09 03:08:47.768323,2025-12-09 03:16:30.290869,0 days 00:07:42.522546,"[384, 448, 512, 640]",[2],"[1, 2]",4,False,0.3,increasing,silu,16,True,1024.0,0.0001,L2,True,AdamW,attention,1e-07,
38,0.21758419036095988,COMPLETE,2025-12-09 03:16:30.292321,2025-12-09 03:17:33.028435,0 days 00:01:02.736114,"[768, 640]",[],[],2,False,0.0,decreasing,gelu,32,False,768.0,1e-05,minmax,False,RMSprop,mean,1e-07,
39,0.4134715986591136,COMPLETE,2025-12-09 03:17:33.029440,2025-12-09 03:18:44.298643,0 days 00:01:11.269203,[896],[],[],1,True,0.0,decreasing,,96,False,,2e-05,L2,True,Adam,last,1e-06,
40,0.26263826292952386,COMPLETE,2025-12-09 03:18:44.299643,2025-12-09 03:22:32.019187,0 days 00:03:47.719544,"[896, 768, 640]",[],[1],3,False,0.0,decreasing,silu,64,True,512.0,5e-05,L2,False,SGD,max,0.0,0.9
41,0.4217683743726597,COMPLETE,2025-12-09 03:22:32.020691,2025-12-09 03:25:36.742923,0 days 00:03:04.722232,"[768, 640, 512, 448]",[2],"[1, 2]",4,False,0.3,decreasing,gelu,32,False,512.0,1e-05,L2,True,AdamW,mean,1e-07,
42,0.43215441793118725,COMPLETE,2025-12-09 03:25:36.743922,2025-12-09 03:28:57.519227,0 days 00:03:20.775305,"[768, 640, 512, 448]",[2],"[1, 2]",4,False,0.3,decreasing,gelu,32,False,512.0,1e-05,L2,True,AdamW,mean,1e-07,
43,0.4399279528245964,COMPLETE,2025-12-09 03:28:57.520227,2025-12-09 03:31:41.010955,0 days 00:02:43.490728,"[512, 448, 384, 256]",[2],"[1, 2]",4,False,0.3,decreasing,gelu,32,False,512.0,1e-05,L2,True,AdamW,mean,1e-07,
44,0.42599198193825993,COMPLETE,2025-12-09 03:31:41.012957,2025-12-09 03:33:49.802399,0 days 00:02:08.789442,"[640, 512, 448, 384]","[1, 2]","[1, 2]",4,False,0.3,decreasing,gelu,48,False,128.0,0.0001,L2,True,AdamW,attention,1e-07,
45,0.21758419036095988,COMPLETE,2025-12-09 03:33:49.804400,2025-12-09 03:35:54.667990,0 days 00:02:04.863590,"[896, 768, 640, 512]",[2],"[1, 2]",4,False,0.5,decreasing,relu,32,False,512.0,0.001,L2,True,RMSprop,mean,1e-07,
46,0.39647214876784453,COMPLETE,2025-12-09 03:35:54.668995,2025-12-09 03:39:51.074580,0 days 00:03:56.405585,"[768, 768, 768, 768]","[1, 2]","[1, 2]",4,False,0.4,uniform,silu,128,False,256.0,1e-05,L2,True,AdamW,last,1e-05,
47,0.21758419036095988,COMPLETE,2025-12-09 03:39:51.075581,2025-12-09 03:40:57.430282,0 days 00:01:06.354701,"[768, 640, 512]",[2],[2],3,False,0.3,decreasing,tanh,64,False,768.0,0.0002,minmax,True,AdamW,mean,1e-07,
48,0.40901578299163,COMPLETE,2025-12-09 03:40:57.432320,2025-12-09 03:41:39.782628,0 days 00:00:42.350308,[128],[],[],1,True,0.0,decreasing,gelu,32,True,512.0,0.0001,L2,True,AdamW,last,1e-07,
49,0.22614014607164384,COMPLETE,2025-12-09 03:41:39.783627,2025-12-09 03:42:27.597582,0 days 00:00:47.813955,"[448, 448]",[],[1],2,False,0.0,uniform,leakyrelu,32,False,128.0,1e-05,L2,False,SGD,attention,1e-07,0.7
